id,name,nameDisplay,abv,availableId,styleId,isOrganic,labels/icon,labels/medium,labels/large,status,statusDisplay,createDate,updateDate,available/id,available/name,available/description,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,style/createDate,style/updateDate,description,ibu,glasswareId,srmId,glass/id,glass/name,glass/createDate,srm/id,srm/name,srm/hex,year,servingTemperature,servingTemperatureDisplay,foodPairings,originalGravity,style/ogMax
jK6yuo,5 Rabbit,5 Rabbit,5.3,1,36,N,https://s3.amazonaws.com/brewerydbapi/beer/jK6yuo/upload_HyfagC-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/jK6yuo/upload_HyfagC-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/jK6yuo/upload_HyfagC-large.png,verified,Verified,2012-01-03 02:42:37,2015-12-16 09:13:32,1,Year Round,Available year round as a staple beer.,36,3,3,North American Origin Ales,2012-03-21 20:06:45,Golden or Blonde Ale,Blonde,"Golden or Blonde ales are straw to golden blonde in color. They have a crisp, dry palate, light to medium body, and light malt sweetness. Low to medium hop aroma may be present but does not dominate. Bitterness is low to medium. Fruity esters may be perceived but do not predominate. Diacetyl should not be perceived. Chill haze should be absent.",15,25,4,5,3,7,1.045,1.008,1.016,2012-03-21 20:06:46,2015-04-07 15:27:26,"5 Rabbit is an elegant beer that shows hints of light caramel and honeyed malt notes, carefully balanced with a sophisticated European noble hop aroma, with fruity and spicy flavors.

In Aztec mythology, 5 Rabbit (Macuiltochtli) is one of the 5 Gods of Excess (Ahuiateteo) and symbolizes the excess of pride. The long ears of the rabbit invite us to learn and listen, not only to others, but also the messages of the being and spirit. 5 Rabbit also represents vitality, happiness and fertility.

Suggested food pairings include: Huachinango a la Veracruzana, whole fried fish, chiles rellenos, roasted chicken and pizza.",30,4,5,4,Pilsner,2012-01-03 02:41:33,5,5,FBB123,,,,,,
DepAgO,5 Sciences Saison,5 Sciences Saison,6.5,,72,N,https://s3.amazonaws.com/brewerydbapi/beer/DepAgO/upload_FxJ5bo-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/DepAgO/upload_FxJ5bo-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/DepAgO/upload_FxJ5bo-large.png,verified,Verified,2013-03-25 14:54:06,2015-12-17 02:25:44,,,,72,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,French & Belgian-Style Saison,Saison,"Beers in this category are golden to deep amber in color. There may be quite a variety of characters within this style. Generally: They are light to medium in body. Malt aroma is low to medium-low. Esters are medium to high in  aroma, while, complex alcohols, herbs, spices, low Brettanomyces character and even clove and smoke-like phenolics may or may not be evident in the overall balanced beer. Hop aroma and flavor may be at low to medium levels. Malt flavor is low but provides foundation for the overall balance. Hop bitterness is moderate to moderately assertive. Herb and/or spice flavors, including black pepper-like notes, may or may not be evident. Fruitiness from fermentation is generally in character. A balanced small amount of sour or acidic flavors is acceptable when in balance with other components. Earthy, cellar-like, musty aromas are okay. Diacetyl should not be perceived. Chill or slight yeast haze is okay. Often bottle conditioned with some yeast character and high carbonation. French & Belgian-Style Saison may have Brettanomyces characters that are slightly acidity, fruity, horsey, goaty and/or leather-like.",20,40,4.5,8.5,4,14,1.055,1.004,1.016,2012-03-21 20:06:46,2015-04-07 15:34:55,,,,,,,,,,,,,,,,
3AJboH,5 Vulture,5 Vulture,6.4,1,125,N,https://s3.amazonaws.com/brewerydbapi/beer/3AJboH/upload_4FNu5q-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/3AJboH/upload_4FNu5q-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/3AJboH/upload_4FNu5q-large.png,verified,Verified,2012-01-03 02:42:37,2015-12-16 09:52:23,1,Year Round,Available year round as a staple beer.,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,"5 Vulture is a deep ambered-colored ale with complex caramel aromas with toasted sugar notes and a long, elegant spicy finish. Roasted ancho chile is used to add depth and complexity, without adding heat or strong chile flavors.

In Aztec mythology, 5 Vulture (Macuilcozcacuauhtli) is one of the 5 Gods of Excess (Ahuiateteo) and symbolizes the excess of lust and envy. The scavenging nature of the vulture represents the stripping off of deeply rooted lust and envy impulses in our being. 5 Vulture is also associated with wisdom and longevity.

Suggested food pairings include: Carne asada, chorizo sausage dishes, mole, cochinita pibil and hamburger",,6,18,6,Snifter,2012-01-03 02:41:33,18,18,A63E00,,,,,,
snf1Sj,5 Whistle Wheat Ale,5 Whistle Wheat Ale,,,112,N,https://s3.amazonaws.com/brewerydbapi/beer/snf1Sj/upload_SaMnFA-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/snf1Sj/upload_SaMnFA-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/snf1Sj/upload_SaMnFA-large.png,verified,Verified,2012-01-03 02:42:37,2015-12-16 09:49:20,,,,112,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Light American Wheat Ale or Lager with Yeast,Wheat Ale,"This beer can be made using either ale or lager yeast. It can be brewed with 30 to 75 percent wheat malt, and hop rates may be low to medium. Hop characters may be light to moderate in bitterness, flavor and aroma. Fruity-estery aroma and flavor are typical but at low levels however, phenolic, clove-like characteristics should not be perceived. Color is usually straw to light amber, and the body should be light to medium in character. Diacetyl should not be perceived. Because this style is served with yeast the character should portray a full yeasty mouthfeel and appear hazy to very cloudy. Chill haze is also acceptable. Yeast flavor and aroma should be low to medium but not overpowering the balance and character of malt and hops. These beers are typically served with the yeast in the bottle, and are cloudy when served.",10,35,3.5,5.5,4,10,1.036,1.006,1.018,2012-03-21 20:06:46,2015-04-07 15:42:48,,,5,,5,Pint,2012-01-03 02:41:33,,,,,,,,,
4XTqCU,5 Years Later,5 Years Later,10,2,25,N,https://s3.amazonaws.com/brewerydbapi/beer/4XTqCU/upload_bWVQOS-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/4XTqCU/upload_bWVQOS-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/4XTqCU/upload_bWVQOS-large.png,verified,Verified,2012-01-03 02:42:37,2015-12-16 06:26:13,2,Limited,Limited availability.,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,"..it is hard to believe we have been brewing beer for 5 years. So to commemorate this event we have brewed a new beer with 5 different malts and hops. Deep, dark and very hoppy this beer is packed with the flavors of roasted malts and American grown hops. 10% abv",,5,,5,Pint,2012-01-03 02:41:33,,,,,,,,,
xuC5wi,5-Day IPA,5-Day IPA,6.1,1,30,N,https://s3.amazonaws.com/brewerydbapi/beer/xuC5wi/upload_eLMoED-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/xuC5wi/upload_eLMoED-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/xuC5wi/upload_eLMoED-large.png,verified,Verified,2013-11-17 01:35:26,2015-12-17 06:58:58,1,Year Round,Available year round as a staple beer.,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,We dry-hop this American Style India Pale Ale with seven grains and four domestic hop varieties by adding dry whole hops to the finishing tank so the beer rests “on top” of the hops for five extra days! Malty sweetness up front with big cascade and glacier hops in the finish — a wonderfully drinkable IPA!,66,,9,,,,9,9,E58500,,,,,,
JmZIiE,5.56 Dry-Hopped Lager,5.56 Dry-Hopped Lager,5.6,4,93,N,https://s3.amazonaws.com/brewerydbapi/beer/JmZIiE/upload_DH09rz-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/JmZIiE/upload_DH09rz-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/JmZIiE/upload_DH09rz-large.png,verified,Verified,2015-04-01 19:41:49,2015-12-18 00:23:14,4,Seasonal,"Available at the same time of year, every year.",93,8,8,North American Lager,2012-03-21 20:06:46,American-Style Lager,American Lager,"Light in body and very light to straw in color, American lagers are very clean and crisp and aggressively carbonated. Flavor components should b e subtle and complex, with no one ingredient dominating the others. Malt sweetness is light to mild. Corn, rice, or other grain or sugar adjuncts are often used. Hop bitterness, flavor and aroma are negligible to very light. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,13,3.8,5,2,4,1.04,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:39:26,"OBC's new spring release, the 5.56 India Pale Lager, pours with a brilliantly transparent clarity and is dry-hopped with all-American hops; Cascade, Mosaic, and Citra. The crisp mouthfeel combined with robust piney, citrus, and grapefruit aromas make for a sessionable spring lager you'll surely enjoy.",45.6,,,,,,,,,,,,,,
yPfr6o,5/5 Pepper Beer,5/5 Pepper Beer,6,2,120,N,https://s3.amazonaws.com/brewerydbapi/beer/yPfr6o/upload_ESmnbC-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/yPfr6o/upload_ESmnbC-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/yPfr6o/upload_ESmnbC-large.png,verified,Verified,2014-09-10 13:29:25,2015-12-17 17:48:10,2,Limited,Limited availability.,120,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Field Beer,Field Beer,"Field beers are any beers using vegetables as an adjunct in either the mash, kettle, primary or secondary fermentation, providing obvious (ranging from subtle to intense), yet harmonious, qualities. Vegetable qualities should not be overpowered by hop character. If a vegetable has an herbal or spice quality (such as the ""heat"" of a chili pepper), it should be classified as herb/spice beer style.  Note Chili-flavored beer with notable roast or vegetal character is evident it should be entered as Field Beer.  A statement by the brewer explaining what vegetables are used is essential in order for fair assessment in competitions. If this beer is a classic style with vegetables, the brewer should also specify the classic style. Note: If no Pumpkin beer category exists in a competition, then Pumpkin beers should be entered in this category.",5,70,2.5,13.1,5,50,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:25,"5/5 Pepper Beer –A nice pale ale provides the platform to showcase the Jalapeno and Serrano peppers used in this spicy Cinco de Mayo brew.  Aromas and flavors abound, without the extreme heat.

O.G: 1.056  ABV: 6.0%  IBU:30",30,5,5,5,Pint,2012-01-03 02:41:33,5,5,FBB123,,cold,Cold - (4-7C/39-45F),,,
blMKT5,50 Back,50 Back,4.9,1,93,N,https://s3.amazonaws.com/brewerydbapi/beer/blMKT5/upload_e1h40j-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/blMKT5/upload_e1h40j-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/blMKT5/upload_e1h40j-large.png,verified,Verified,2012-01-03 02:42:37,2015-12-16 11:33:51,1,Year Round,Available year round as a staple beer.,93,8,8,North American Lager,2012-03-21 20:06:46,American-Style Lager,American Lager,"Light in body and very light to straw in color, American lagers are very clean and crisp and aggressively carbonated. Flavor components should b e subtle and complex, with no one ingredient dominating the others. Malt sweetness is light to mild. Corn, rice, or other grain or sugar adjuncts are often used. Hop bitterness, flavor and aroma are negligible to very light. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,13,3.8,5,2,4,1.04,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:39:26,"A crisp and refreshingly smooth American Lager brewed with a complex blend of hops to give it a distinctive hop note taste. It boasts a special touch of sweetness to quench the thirst and satisfy the taste buds.

50 BACK is the best tasting premium quality American Lager you will find, but what makes it more exceptional is that it says ""thank you"" at the same time.

By choosing 50 BACK, you have allowed us to donate 50% of our proceeds to Charities committed to directly supporting and enriching the lives of our Nation's Veterans and their Families.",,5,,5,Pint,2012-01-03 02:41:33,,,,,,,,,
F4oGX1,50 Nodi,50 Nodi,5.8,,30,N,https://s3.amazonaws.com/brewerydbapi/beer/F4oGX1/upload_yr2qM4-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/F4oGX1/upload_yr2qM4-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/F4oGX1/upload_yr2qM4-large.png,verified,Verified,2015-08-19 10:01:21,2015-12-18 03:08:48,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,,,,,,,,,,
EMiEgU,500 BC,500 BC,8.3,1,31,N,https://s3.amazonaws.com/brewerydbapi/beer/EMiEgU/upload_whuzyK-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/EMiEgU/upload_whuzyK-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/EMiEgU/upload_whuzyK-large.png,verified,Verified,2013-11-16 14:04:54,2015-12-17 07:33:40,1,Year Round,Available year round as a staple beer.,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,"All of the wonderful hop-driven flavors of Nectar IPA turned up to create a classic DIPA. Big herbal resinous hop flavor with balancing stone fruit notes, round malt middle and assertive hop bitterness in the finish.

This double IPA does everything twice. Double the hops, double the ABV = one heck of a brew. Named for the California coastal redwoods, one of the oldest and tallest living species in America, we think this big brew does these imperial giants justice.",80,,,,,,,,,,,,,,
GZPXkv,500 Monks Strong Belgian Ale,500 Monks Strong Belgian Ale,8,4,62,N,https://s3.amazonaws.com/brewerydbapi/beer/GZPXkv/upload_Av8SB1-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/GZPXkv/upload_Av8SB1-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/GZPXkv/upload_Av8SB1-large.png,verified,Verified,2012-10-01 00:53:05,2015-12-16 19:50:59,4,Seasonal,"Available at the same time of year, every year.",62,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Pale Ale,Belgian Pale,"Belgian-style pale ales are characterized by low but noticeable hop bitterness, flavor, and aroma. Light to medium body and low malt aroma are typical. They are light amber to deep amber in color. Noble-type hops are commonly used. Low to medium fruity esters are evident in aroma and flavor. Low levels of phenolic spiciness from yeast byproducts may be perceived. Low caramel or toasted malt flavor is okay. Diacetyl should not be perceived. Chill haze is allowable at cold temperatures.",20,30,4,6,6,12,1.044,1.008,1.014,2012-03-21 20:06:46,2015-04-07 15:32:06,"Sweet, strong and amazing 500 Monks will help you gain enlightenment! A traditional Belgian Dark Strong Ale!",29,,19,,,,19,19,A13700,,,,,1.081,
vgo2H8,501 - American Red Ale,501 - American Red Ale,,,32,N,https://s3.amazonaws.com/brewerydbapi/beer/vgo2H8/upload_v08CSy-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/vgo2H8/upload_v08CSy-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/vgo2H8/upload_v08CSy-large.png,verified,Verified,2012-04-12 01:18:25,2015-12-16 16:22:21,,,,32,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,"American amber/red ales range from light copper to light brown in color. They are characterized by American-variety hops used to produce the perception of medium hop bitterness, flavor, and medium aroma. Amber ales have medium-high to high maltiness with medium to low caramel character. They should have medium to medium-high body. The style may have low levels of fruityester flavor and aroma. Diacetyl can be either absent or barely perceived at very low levels. Chill haze is allowable at cold temperatures. Slight yeast haze is acceptable for bottle-conditioned products.",30,40,4.5,6,11,18,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,A refreshing Red Ale; Nicely hopped with a clean finish.  Pairs great with our savory meatloaf,,,,,,,,,,,,,,,
hnAczC,509 Style,509 Style,5,1,25,N,https://s3.amazonaws.com/brewerydbapi/beer/hnAczC/upload_I3JOiU-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/hnAczC/upload_I3JOiU-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/hnAczC/upload_I3JOiU-large.png,verified,Verified,2012-01-03 02:42:37,2015-12-16 07:05:35,1,Year Round,Available year round as a staple beer.,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,"A medium-bodied, lightly-malty ale with medium hop presence that finishes exceedingly smooth. A blend of three domestic hop varieties, including Cascades, provides a light and subtle aroma and flavor. 509: area code of the eastside. 509 Style: ale of the eastside. 5% ABV",,5,,5,Pint,2012-01-03 02:41:33,,,,,,,,,
RNhbEt,50ft Jackrabbit,50ft Jackrabbit,7,,30,N,https://s3.amazonaws.com/brewerydbapi/beer/RNhbEt/upload_dsaDFX-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/RNhbEt/upload_dsaDFX-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/RNhbEt/upload_dsaDFX-large.png,verified,Verified,2015-04-28 20:10:11,2015-12-18 00:11:56,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,"But expect to be greeted by a surprising smoothness and a composed presence of tropical and citrus humulus lupulus. Only spotted in Texas, this IPA is our celebration of the most flavorful American grown hops.

BIG TASTE. BIG AROMA. YOU BET.",70,,,,,,,,,,,,,,
WWCO6w,51/50 IPA,51/50 IPA,7.2,1,30,N,https://s3.amazonaws.com/brewerydbapi/beer/WWCO6w/upload_hZ8T03-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/WWCO6w/upload_hZ8T03-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/WWCO6w/upload_hZ8T03-large.png,verified,Verified,2013-02-08 12:32:53,2016-03-07 18:51:28,1,Year Round,Available year round as a staple beer.,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,"51/50 IPA is brewed to meet the standards of even the most judgemental hop snobs. Dry-hopping over several weeks allows us to create a pungent and dank aroma with a spicy and piney finish. Next time you want to stick your nose in a glass of hops, grab a 51/50 IPA. Why call it 51/50? Because we have to be crazy to put this amount of hops in a beer.",75,5,,5,Pint,2012-01-03 02:41:33,,,,,,,,,
DisQYV,51K IPA,51K IPA,7,1,30,N,https://s3.amazonaws.com/brewerydbapi/beer/DisQYV/upload_QO1xIt-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/DisQYV/upload_QO1xIt-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/DisQYV/upload_QO1xIt-large.png,verified,Verified,2013-07-26 12:17:41,2015-12-17 04:50:30,1,Year Round,Available year round as a staple beer.,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,"Bursting hops all over your face, our American IPA is full of earthy grapefruit, apricot, and piney hop flavors and aromas with a nice balanced yet dry finish.",,5,,5,Pint,2012-01-03 02:41:33,,,,,,,,,
zWd40Z,525,525,5.7,,12,N,https://s3.amazonaws.com/brewerydbapi/beer/zWd40Z/upload_jOiRF5-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/zWd40Z/upload_jOiRF5-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/zWd40Z/upload_jOiRF5-large.png,verified,Verified,2013-03-08 13:14:49,2015-12-17 02:15:45,,,,12,1,1,British Origin Ales,2012-03-21 20:06:45,English-Style Brown Ale,English Brown,"English brown ales range from copper to brown in color. They have medium body and range from dry to sweet maltiness with very little hop flavor or aroma. Roast malt tones may sometimes contribute to the flavor and aroma profile. Low to medium-low levels of fruity-ester flavors are appropriate. Diacetyl should be very low, if evident. Chill haze is allowable at cold temperatures.",15,25,4,5.5,13,25,1.04,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:20:51,,32,,,,,,,,,,,,,1.056,
QxSuzN,530 Belgian Pale Ale,530 Belgian Pale Ale,5.3,4,62,N,https://s3.amazonaws.com/brewerydbapi/beer/QxSuzN/upload_VMN7ZU-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/QxSuzN/upload_VMN7ZU-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/QxSuzN/upload_VMN7ZU-large.png,verified,Verified,2015-03-25 17:57:02,2015-12-18 00:12:47,4,Seasonal,"Available at the same time of year, every year.",62,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Pale Ale,Belgian Pale,"Belgian-style pale ales are characterized by low but noticeable hop bitterness, flavor, and aroma. Light to medium body and low malt aroma are typical. They are light amber to deep amber in color. Noble-type hops are commonly used. Low to medium fruity esters are evident in aroma and flavor. Low levels of phenolic spiciness from yeast byproducts may be perceived. Low caramel or toasted malt flavor is okay. Diacetyl should not be perceived. Chill haze is allowable at cold temperatures.",20,30,4,6,6,12,1.044,1.008,1.014,2012-03-21 20:06:46,2015-04-07 15:32:06,"A true original, this Belgian pale ale is dedicated to all of the people living within the 530 area code who have turned the Mt. Shasta Brewing Company into what it is today. Deep orange in color, this sweet, yet balanced ale is brewed with authentic Belgian malts and a truly distinctive Belgian yeast strain. Try our Mount Shasta Ale on Tap now November 2014.",22,,9,,,,9,9,E58500,,,,,,
