id,name,nameDisplay,description,abv,ibu,glasswareId,srmId,availableId,styleId,isOrganic,labels/icon,labels/medium,labels/large,status,statusDisplay,servingTemperature,servingTemperatureDisplay,createDate,updateDate,glass/id,glass/name,glass/createDate,srm/id,srm/name,srm/hex,available/id,available/name,available/description,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,style/createDate,style/updateDate,originalGravity,foodPairings
EPnv3B,(916),(916),"(916) is an Uber hopped American pale ale made with 25 hop additions. This beer is a re-imagination and reinvention of our much fabled, award winning, Colonial Pale Ale. Buckets of Centennial, Cascade, Saphir, El Dorado and Fuggle went into this beer, a celebration of the hop growing prowess of the Sacramento region. This beer is aromatic and deeply hoppy without being to bitter; massive late hop additions created a mass of green goo on the floor of our kettle and a beer that wallops you from a mile away with its intense hop aroma. Its nose is so full of deep earthy spice notes, with overtones of pear and fresh stone fruit that it leaves a sillage of aroma as you hold your pint.",5.2,35,13,8,1,25,N,,,,verified,Verified,cool,Cool - (8-12C/45-54F),2014-09-10 22:51:11,2014-09-11 12:31:12,13,Willi,2012-01-03 02:41:33,8,8,EA8F00,1,Year Round,Available year round as a staple beer.,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,1.05,
AoV1KP,(H)ombre Saison,(H)ombre Saison,"This perfect little Belgian angel is our lightest offering, but by no means is it light on the flavor. It drinks a cloudy straw yellow color with lots of belgian citrus and clove esters. This one is very dry and crisp with a peppery finish to round it out.",5.5,,,,2,72,Y,,,,verified,Verified,,,2015-07-13 18:19:44,2015-07-13 18:19:44,,,,,,,2,Limited,Limited availability.,72,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,French & Belgian-Style Saison,Saison,"Beers in this category are golden to deep amber in color. There may be quite a variety of characters within this style. Generally: They are light to medium in body. Malt aroma is low to medium-low. Esters are medium to high in  aroma, while, complex alcohols, herbs, spices, low Brettanomyces character and even clove and smoke-like phenolics may or may not be evident in the overall balanced beer. Hop aroma and flavor may be at low to medium levels. Malt flavor is low but provides foundation for the overall balance. Hop bitterness is moderate to moderately assertive. Herb and/or spice flavors, including black pepper-like notes, may or may not be evident. Fruitiness from fermentation is generally in character. A balanced small amount of sour or acidic flavors is acceptable when in balance with other components. Earthy, cellar-like, musty aromas are okay. Diacetyl should not be perceived. Chill or slight yeast haze is okay. Often bottle conditioned with some yeast character and high carbonation. French & Belgian-Style Saison may have Brettanomyces characters that are slightly acidity, fruity, horsey, goaty and/or leather-like.",20,40,4.5,8.5,4,14,1.055,1.004,1.016,2012-03-21 20:06:46,2015-04-07 15:34:55,,
9zhGcY,(Jean Claude) Van Damme Good,(Jean Claude) Van Damme Good,"Brewed with six different malts and Tettnang hops and fermented with a Belgian Wit yeast, this light and easy drinking Wit will have you thanking the Muscles from Brussels for lending his name to this one.",4.4,18,,,,65,N,,,,verified,Verified,,,2015-03-27 16:33:44,2015-03-27 16:33:44,,,,,,,,,,65,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style White (or Wit) / Belgian-Style Wheat,Witbier,Belgian white ales are very pale in color and are brewed using unmalted wheat and malted barley and are spiced with coriander and orange peel. Coriander and light orange peel aroma should be perceived as such or as an unidentified spiciness. Phenolic spiciness and yeast flavors may be evident at mild levels. These beers are traditionally bottle conditioned and served cloudy. An unfiltered starch and yeast haze should be part of the appearance. The low to medium body should have some degree of creaminess from wheat starch. The style is further characterized by the use of noble-type hops to achieve low hop bitterness and little to no apparent hop flavor. This beer has no diacetyl and a low to medium fruity-ester level. Mild acidity is appropriate.,10,17,4.8,5.2,2,4,1.044,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:32:30,1.04,
FLkbzq,(KU)Jenga Smash,(KU)Jenga Smash,IPA Collab w/ Two Stones Brewpub.,7.7,,5,,,30,N,,,,verified,Verified,cold,Cold - (4-7C/39-45F),2015-07-08 13:24:18,2015-07-08 13:24:18,5,Pint,2012-01-03 02:41:33,,,,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,
hmOjdb,(Roma Pomodori) Grindhouse Ale,(Roma Pomodori) Grindhouse Ale,,,12,,,,109,Y,,,,verified,Verified,,,2015-07-21 18:40:28,2015-07-21 18:40:28,,,,,,,,,,109,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,American-Style Cream Ale or Lager,Cream Ale,"Mild, pale, light-bodied ale, made using a warm fermentation (top or bottom) and cold lagering. Hop bitterness and flavor range from very low to low. Hop aroma is often absent. Sometimes referred to as cream ales, these beers are crisp and refreshing. Pale malt character predominates. Caramelized malt character should be absent. A fruity or estery aroma may be perceived. Diacetyl and chill haze should not be perceived. Sulfur character and/or sweet corn-like dimethylsulfide (DMS) should be extremely low or absent from this style of beer.",10,22,4.2,5.6,2,5,1.044,1.004,1.01,2012-03-21 20:06:46,2015-04-07 15:42:30,,
K67Xn2,(Roma Pomodori) Hornet’s Revenge,(Roma Pomodori) Hornet’s Revenge,,,36,,,,41,Y,,,,verified,Verified,,,2015-07-21 18:41:07,2015-07-21 18:41:07,,,,,,,,,,41,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Black Ale,Black Ale,"American-style Black Ales are very dark to black and perceived to have medium high to high hop bitterness, flavor and aroma with medium-high alcohol content, balanced with a medium body. Fruity, floral and herbal character from hops of all origins may contribute character. The style is further characterized by a balanced and moderate degree of caramel malt and dark roasted malt flavor and aroma. High astringency and high degree of burnt roast malt character should be absent.",50,70,6,7.5,35,35,1.056,1.012,1.018,2012-03-21 20:06:46,2015-04-07 15:28:36,,
Ydra7E,(S)Wheat,(S)Wheat,"This aptly-named offering brewed from white wheat and barley is crisp and quaffable.  Light additions of Liberty and Cluster hops blend with coriander, chamomile, and orange peel in a refreshing medley of citrus and spice.",5.1,,,,1,124,N,,,,verified,Verified,,,2014-09-10 23:04:00,2014-09-15 20:36:04,,,,,,,1,Year Round,Available year round as a staple beer.,124,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Herb and Spice Beer,Spice Beer,"Herb beers use herbs or spices (derived from roots, seeds, fruits, vegetable, flowers, etc.) other than or in addition to hops to create a distinct (ranging from subtle to intense) character, though individual characters of herbs and/or spices used may not always be identifiable. Under hopping often, but not always, allows the spice or herb to contribute to the flavor profile. Positive evaluations are significantly based on perceived balance of flavors. Note: Chili-flavored beers that emphasize heat rather than chili flavor should be entered as a ""spiced"" beer.  A statement by the brewer explaining what herbs or spices are used is essential in order for fair assessment in competitions. Specifying a style upon which the beer is based may help evaluation. If this beer is a classic style with an herb or spice, the brewer should specify the classic style. If no Chocolate or Coffee category exists in a competition, then chocolate and coffee beers should be entered in this category.",5,70,2.5,12,5,50,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:45,,
3BSrTW,(Take The) Causeway IPA,(Take The) Causeway IPA,"Copious amounts of Citra and Simcoe hops are used throughout the brewing process in this American India Pale Ale. From first-wort to bittering, flavor, aroma and dry hops, an artful combination of just two extraordinary hops leads to an explosively hoppy finish on the palate. These hops are hard for us to get our hands on, so get it while you can.",7.5,56,,,1,30,N,https://s3.amazonaws.com/brewerydbapi/beer/3BSrTW/upload_c9mjLD-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/3BSrTW/upload_c9mjLD-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/3BSrTW/upload_c9mjLD-large.png,verified,Verified,,,2015-03-11 18:58:53,2015-12-17 23:00:12,,,,,,,1,Year Round,Available year round as a staple beer.,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,1.069,
lhxuiw,(Valley Below),(Valley Below),"A bright, earthy & alluring Saison infused with bluejacket-brewed cold-press coffee; this coffee employed Ethiopian Bulga (notes of red grape & strawberry) & Gorema beans (notes of lemongrass, vanilla & white fig) selected & roasted by four barrel (san francisco, california); brewed with horizon, tradition & East Kent Goldings hops; fermented exclusively with Brettanomyces Bruxellensis.",6.8,24.5,,,,72,N,,,,verified,Verified,,,2015-04-13 12:57:20,2015-04-13 14:04:30,,,,,,,,,,72,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,French & Belgian-Style Saison,Saison,"Beers in this category are golden to deep amber in color. There may be quite a variety of characters within this style. Generally: They are light to medium in body. Malt aroma is low to medium-low. Esters are medium to high in  aroma, while, complex alcohols, herbs, spices, low Brettanomyces character and even clove and smoke-like phenolics may or may not be evident in the overall balanced beer. Hop aroma and flavor may be at low to medium levels. Malt flavor is low but provides foundation for the overall balance. Hop bitterness is moderate to moderately assertive. Herb and/or spice flavors, including black pepper-like notes, may or may not be evident. Fruitiness from fermentation is generally in character. A balanced small amount of sour or acidic flavors is acceptable when in balance with other components. Earthy, cellar-like, musty aromas are okay. Diacetyl should not be perceived. Chill or slight yeast haze is okay. Often bottle conditioned with some yeast character and high carbonation. French & Belgian-Style Saison may have Brettanomyces characters that are slightly acidity, fruity, horsey, goaty and/or leather-like.",20,40,4.5,8.5,4,14,1.055,1.004,1.016,2012-03-21 20:06:46,2015-04-07 15:34:55,,
QT9hB8,+1 Pumpkin,+1 Pumpkin,,6.3,24,6,13,4,121,N,,,,verified,Verified,cold,Cold - (4-7C/39-45F),2015-09-25 19:21:06,2015-09-25 20:30:33,6,Snifter,2012-01-03 02:41:33,13,13,CB6200,4,Seasonal,"Available at the same time of year, every year.",121,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Pumpkin Beer,Pumpkin Beer,"Pumpkin beers are any beers using pumpkins (Cucurbito pepo) as an adjunct in either mash, kettle, primary or secondary fermentation, providing obvious (ranging from subtle to intense), yet harmonious, qualities. Pumpkin qualities should not be overpowered by hop character. These may or may not be spiced or flavored with other things. A statement by the brewer explaining the nature of the beer is essential for fair assessment in competitions. If this beer is a classic style with pumpkin, the brewer should also specify the classic style.",5,70,2.5,12,5,50,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:28,1.067,"Candy Corns, Reeses, Butterfingers"
7gbcyI,+353 Stout,+353 Stout,"In Ireland the stout is know as Mothers Milk. We have taken that one step further and added a healthy dose of milk sugar.

To phone Ireland, you need to call country code 353, we think when you drink this stout, it will be just like calling home.

Staying true to the tradition of the Irish to never trust a beer that you can see through, we tossed in a massive dose of  chocolate malt and even a splash of roasted barley.

To finish this elixir from the mother land, we added a couple of hops from jolly 'ol England.",5.1,27.9,5,41,,20,N,,,,verified,Verified,,,2012-04-13 14:41:25,2012-04-13 14:42:36,5,Pint,2012-01-03 02:41:33,41,Over 40,000000,,,,20,1,1,British Origin Ales,2012-03-21 20:06:45,Sweet or Cream Stout,Sweet Stout,"Sweet stouts, also referred to as cream stouts, have less roasted bitter flavor and a full-bodied mouthfeel. The style can be given more body with milk sugar (lactose) before bottling. Malt sweetness, chocolate, and caramel flavor should dominate the flavor profile and contribute to the aroma. Hops should balance and suppress some of the sweetness without contributing apparent flavor or aroma. The overall impression should be sweet and full-bodied.",15,25,3,6,40,40,1.045,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:24:41,1.058,
n3GrA9,.38 Special Bitter,.38 Special Bitter,"Don't let the name scare you, this is an easy drinker, slightly sweet and bitter.",3.8,,,,,3,N,,,,verified,Verified,,,2012-01-03 02:42:36,2012-03-22 13:05:03,,,,,,,,,,3,1,1,British Origin Ales,2012-03-21 20:06:45,Ordinary Bitter,Bitter,"Ordinary bitter is gold to copper colored with medium bitterness, light to medium body, and low to medium residual malt sweetness. Hop flavor and aroma character may be evident at the brewer's discretion. Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity-ester character and very low diacetyl (butterscotch) character are acceptable in aroma and flavor, but should be minimized in this form of bitter. Chill haze is allowable at cold temperatures. (English and American hop character may be specified in subcategories.)",20,35,3,4.1,5,12,1.033,1.006,1.012,2012-03-21 20:06:45,2015-04-07 15:18:39,,
ljNzIS,.58 Caliber,.58 Caliber,,,,,,1,30,N,,,,verified,Verified,,,2015-08-28 14:07:22,2015-08-28 19:42:45,,,,,,,1,Year Round,Available year round as a staple beer.,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,
nMK1nd,.999,.999,,,,,,,30,N,https://s3.amazonaws.com/brewerydbapi/beer/nMK1nd/upload_2lmQHA-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/nMK1nd/upload_2lmQHA-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/nMK1nd/upload_2lmQHA-large.png,verified,Verified,,,2014-07-10 13:12:39,2015-12-17 14:47:51,,,,,,,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,
qbsiWU,007 PALE,007 PALE,A SINGLE HOP PALE WITH EXPERIMENTAL 007 HOPS,5.5,45,,,,25,N,https://s3.amazonaws.com/brewerydbapi/beer/qbsiWU/upload_ZAm6Hc-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/qbsiWU/upload_ZAm6Hc-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/qbsiWU/upload_ZAm6Hc-large.png,verified,Verified,,,2015-03-15 20:26:29,2015-12-17 22:24:12,,,,,,,,,,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,
IWY0Yp,007 Undercover IPA,007 Undercover IPA,"Named for our seventh batch of beer, code named 007 Undercover IPA, our larger-than-life American IPA produces a hop aroma so thick you can almost see it. Pale, Caramel, and Caravienne malts create the big body and supporting grainy sweetness, while hops deliver pronounced bitterness with a dominant citrus aroma and flavor. Hopped to perfection with seven different varieties including Simcoe, Cascade, Chinook and Amarillo, to name a few. This IPA slips under the radar as a strong ale like no other.",7,70,,,,30,N,,,,verified,Verified,,,2015-11-04 03:18:07,2015-11-04 18:19:27,,,,,,,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,
RYSZyK,0311 Ale,0311 Ale,,5.2,,,,,125,N,https://s3.amazonaws.com/brewerydbapi/beer/RYSZyK/upload_iGGMFp-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/RYSZyK/upload_iGGMFp-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/RYSZyK/upload_iGGMFp-large.png,verified,Verified,,,2014-04-09 10:55:14,2015-12-17 12:00:33,,,,,,,,,,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,,
b0mE6Y,05.30.16 Tangerine IPA,05.30.16 Tangerine IPA,"After brewing this intense double IPA with more than 10 different hops and consistently delivering it faster than any bottled IPA on the planet, we decided to do something different with this Stone Enjoy By IPA—we took it to another level, again. Puréed tangerines were added to the batch to create a devastatingly fresh IPA with a tang of tangerine. The orangey, tangerine flavors yielded by this addition to the recipe meld beautifully with the bitterness of the hops. True to this series, Stone Enjoy By Tangerine IPA is brewed specifically NOT to last, and should be enjoyed within 37 days.",9.4,90,,,,30,N,https://s3.amazonaws.com/brewerydbapi/beer/b0mE6Y/upload_Q89vb2-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/b0mE6Y/upload_Q89vb2-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/b0mE6Y/upload_Q89vb2-large.png,verified,Verified,,,2016-04-26 23:11:11,2016-04-28 14:49:18,,,,,,,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,
btwcy1,077XX India Pale Ale,077XX India Pale Ale,"Like all things truly Jersey, 077XX makes the most in balancing through its accentuation of extremes. Inspired by the west coast IPAs we love, we added a thump of hops to a dynamic malt profile and chose a yeast to drive these two further than they wanted to go. Throw our water into this mix and you will find dank green resinous hops popping over orange, mango and papaya aromas, with just enough sweetness of body to make the long finish a pleasure to have around. A double IPA perfect for adding fuel to the fire of a dinner, a game, or an idea, drink it when your night matters. (Available only in NJ)",7.8,80,5,5,1,31,N,https://s3.amazonaws.com/brewerydbapi/beer/btwcy1/upload_i7ZBNw-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/btwcy1/upload_i7ZBNw-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/btwcy1/upload_i7ZBNw-large.png,verified,Verified,,,2012-01-03 02:42:36,2015-12-16 13:16:15,5,Pint,2012-01-03 02:41:33,5,5,FBB123,1,Year Round,Available year round as a staple beer.,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,
FWiYZi,08.08.08 Vertical Epic Ale,08.08.08 Vertical Epic Ale,"No single day can contain something as momentous as our 20th anniversary here at Stone Brewing. So we’re celebrating this milestone over the course of an entire year by releasing some fan-favorite beers from our 20-year history, using their original recipes and bottle art, and looking back on some highlights from the past on our way into a future filled with continued creativity, passion and a helluva lot of fun.",8.9,45,,5,,62,N,https://s3.amazonaws.com/brewerydbapi/beer/FWiYZi/upload_fQcVbg-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/FWiYZi/upload_fQcVbg-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/FWiYZi/upload_fQcVbg-large.png,verified,Verified,,,2015-10-15 00:50:38,2016-01-11 21:44:09,,,,5,5,FBB123,,,,62,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Pale Ale,Belgian Pale,"Belgian-style pale ales are characterized by low but noticeable hop bitterness, flavor, and aroma. Light to medium body and low malt aroma are typical. They are light amber to deep amber in color. Noble-type hops are commonly used. Low to medium fruity esters are evident in aroma and flavor. Low levels of phenolic spiciness from yeast byproducts may be perceived. Low caramel or toasted malt flavor is okay. Diacetyl should not be perceived. Chill haze is allowable at cold temperatures.",20,30,4,6,6,12,1.044,1.008,1.014,2012-03-21 20:06:46,2015-04-07 15:32:06,,
CBR0BZ,1 Grain 1 Hop 1 Beer,1 Grain 1 Hop 1 Beer,SmAsH double IPA with a rotating grain and hop. An educational beer for the hop lovers.,,,,,,31,N,,,,verified,Verified,,,2015-03-02 18:58:28,2015-04-10 15:05:48,,,,,,,,,,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,
