id,name,nameDisplay,description,abv,styleId,isOrganic,status,statusDisplay,createDate,updateDate,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,style/createDate,style/updateDate,availableId,foodPairings,available/id,available/name,available/description,ibu,glasswareId,srmId,labels/icon,labels/medium,labels/large,servingTemperature,servingTemperatureDisplay,originalGravity,glass/id,glass/name,glass/createDate,srm/id,srm/name,srm/hex,year
QwmAOE,#SS2012,#SS2012,,8.4,31,N,verified,Verified,2013-05-08 18:53:44,2013-05-09 00:18:45,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,2,,2,Limited,Limited availability.,,,,,,,,,,,,,,,,
cBKBoK,#‎NOHOLDSIE‬ Holdsie Uno,#‎NOHOLDSIE‬ Holdsie Uno,Rye Tripel aged in White Wine Barrels,8.2,59,N,verified,Verified,2014-11-26 20:14:57,2015-12-17 20:03:28,59,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Tripel,Belgian Tripel,"Tripels are often characterized by a complex, sometimes mild spicy character. Clove-like phenolic flavor and aroma may be evident at extremely low levels. Yeast-generated  fruity esters, including banana, are also common, but not necessary. These pale/light-colored ales may finish sweet, though any sweet finish should be light. The beer is characteristically medium and clean in body with an equalizing hop/malt balance and a perception of medium to medium high hop bitterness. Traditional Belgian Tripels are often well attenuated. Brewing sugar may be used to lighten the perception of body. Its sweetness will come from very pale malts. There should not be character from any roasted or dark malts. Low hop flavor is acceptable. Alcohol strength and flavor should be perceived as evident. Head retention is dense and mousse-like. Chill haze is acceptable at low serving temperatures. Traditional Tripels are bottle conditioned, may exhibit slight yeast haze but the yeast should not be intentionally roused. Oxidative character if evident in aged Tripels should be mild and pleasant.",20,45,7,10,4,9,1.07,1.01,1.018,2012-03-21 20:06:46,2015-04-07 15:31:50,2,,2,Limited,Limited availability.,,,,https://s3.amazonaws.com/brewerydbapi/beer/cBKBoK/upload_TEDqCp-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/cBKBoK/upload_TEDqCp-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/cBKBoK/upload_TEDqCp-large.png,,,,,,,,,,
Ek2uj8,$600 Lizard Shoes,$600 Lizard Shoes,"It’s all about Stylin’ and Profilin’. We’re talking about the Rolex wearin’, kiss stealin’, wheelin’ dealin’, limousine ridin’, jet flyin’ son of a gun. “You’ve got to make the assault on life itself! WOOOOO!”",6.9,30,N,verified,Verified,2016-05-23 15:12:06,2016-05-23 15:12:06,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,74,,,,,,,,,,,,,,,
Dk2xuM,'37 Flood,'37 Flood,,6.6,30,N,verified,Verified,2015-03-09 20:33:04,2015-03-09 20:33:04,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,66,,,,,,,,1.065,,,,,,,
sVIbQO,'400' Honey Ale,'400' Honey Ale,Toasty malt and plenty of local wildflower honey make this golden blonde ale one of our most popular beers. Named after the famous “400” Chicago and Northwestern passenger train.,4,36,N,verified,Verified,2012-01-03 02:42:36,2015-05-07 14:39:54,36,3,3,North American Origin Ales,2012-03-21 20:06:45,Golden or Blonde Ale,Blonde,"Golden or Blonde ales are straw to golden blonde in color. They have a crisp, dry palate, light to medium body, and light malt sweetness. Low to medium hop aroma may be present but does not dominate. Bitterness is low to medium. Fruity esters may be perceived but do not predominate. Diacetyl should not be perceived. Chill haze should be absent.",15,25,4,5,3,7,1.045,1.008,1.016,2012-03-21 20:06:46,2015-04-07 15:27:26,1,,1,Year Round,Available year round as a staple beer.,,5,,,,,,,,5,Pint,2012-01-03 02:41:33,,,,
kq3Bxm,'77 Stout,'77 Stout,"Named in honor of the Trail Blazers' only NBA title, this American stout has a smooth, full body and rich dark-fruit flavor from Belgian Special B malt, with a mild roastiness. It finishes dry...unlike a champagne-spewed celebration.",7.7,42,Y,verified,Verified,2015-05-11 17:55:47,2015-05-11 17:55:48,42,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Stout,American Stout,"Initial low to medium malt sweetness with a degree of caramel, chocolate and/or roasted coffee flavor with a distinctive dryroasted bitterness in the finish. Coffee-like roasted barley and roasted malt aromas are prominent. Some slight roasted malt acidity is permissible and a medium- to full-bodied mouthfeel is appropriate. Hop bitterness may be moderate to high. Hop aroma and flavor is moderate to high, often with American citrus-type and/or resiny hop character. The perception of fruity esters is low. Roasted malt/barley astringency may be low but not excessive. Diacetyl (butterscotch) should be negligible or not perceived. Head retention is excellent.",35,60,5.7,8.8,40,40,1.05,1.01,1.022,2012-03-21 20:06:46,2015-04-07 15:28:43,,,,,,40,,,,,,,,,,,,,,,
u8frJ3,'A' Mountain Red,'A' Mountain Red,A medium bodied ale with a copper red color and malty caramel flavor that has a mild hop flavor and aroma.,,32,N,verified,Verified,2012-01-03 02:42:36,2012-03-22 13:05:34,32,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,"American amber/red ales range from light copper to light brown in color. They are characterized by American-variety hops used to produce the perception of medium hop bitterness, flavor, and medium aroma. Amber ales have medium-high to high maltiness with medium to low caramel character. They should have medium to medium-high body. The style may have low levels of fruityester flavor and aroma. Diacetyl can be either absent or barely perceived at very low levels. Chill haze is allowable at cold temperatures. Slight yeast haze is acceptable for bottle-conditioned products.",30,40,4.5,6,11,18,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,,,,,,,5,,,,,,,,5,Pint,2012-01-03 02:41:33,,,,
R1KUhf,'Bombs Away' Double IPA,'Bombs Away' Double IPA,This powerful India Pale Ale is dry-hopped with both Mt. Hood and Liberty hops to make an unbeatable brew.,11.5,31,N,verified,Verified,2012-01-03 02:42:36,2015-06-04 17:25:04,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,4,,4,Seasonal,"Available at the same time of year, every year.",,5,,,,,,,,5,Pint,2012-01-03 02:41:33,,,,
DOc9Bw,'Heifer' Weizen,'Heifer' Weizen,,5.2,48,N,verified,Verified,2012-04-15 19:46:36,2015-01-21 17:53:54,48,4,4,German Origin Ales,2012-03-21 20:06:46,South German-Style Hefeweizen / Hefeweissbier,Hefeweizen,"The aroma and flavor of a Weissbier with yeast is decidedly fruity and phenolic. The phenolic characteristics are often described as clove-, nutmeg-like, mildly smoke-like or even vanilla-like. Banana-like esters should be present at low to medium-high levels. These beers are made with at least 50 percent malted wheat, and hop rates are quite low. Hop flavor and aroma are absent or present at very low levels. Weissbier is well attenuated and very highly carbonated and a medium to full bodied beer. The color is very pale to pale amber. Because yeast is present, the beer will have yeast flavor and a characteristically fuller mouthfeel and may be appropriately very cloudy. No diacetyl should be perceived.",10,15,4.9,5.5,3,9,1.047,1.008,1.016,2012-03-21 20:06:46,2015-04-07 15:29:27,,,,,,,9,,,,,,,,9,Weizen,2012-01-03 02:41:33,,,,
35lHUq,'Inappropriate' Cream Ale,'Inappropriate' Cream Ale,"So named for the lack of family-friendly names that our employees came up with for this beer. As Porter’s 8-year-old son would say, “They were all ‘Inappropriate’.” A preprohibition style cream ale that uses a solid proportion of flaked corn in the malt as was typical of that time period. With a light bready aroma and light body, it is refreshing for a hot Summer day. To ferment, we used an ale/lager hybrid yeast strain that finishes crisp to quench your thirst. Also, as its clarity reveals, it is one of our few filtered beers.",5.3,109,N,verified,Verified,2013-08-13 01:40:44,2015-06-17 20:09:21,109,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,American-Style Cream Ale or Lager,Cream Ale,"Mild, pale, light-bodied ale, made using a warm fermentation (top or bottom) and cold lagering. Hop bitterness and flavor range from very low to low. Hop aroma is often absent. Sometimes referred to as cream ales, these beers are crisp and refreshing. Pale malt character predominates. Caramelized malt character should be absent. A fruity or estery aroma may be perceived. Diacetyl and chill haze should not be perceived. Sulfur character and/or sweet corn-like dimethylsulfide (DMS) should be extremely low or absent from this style of beer.",10,22,4.2,5.6,2,5,1.044,1.004,1.01,2012-03-21 20:06:46,2015-04-07 15:42:30,6,,6,Summer,Available during the summer months.,18,5,5,,,,cold,Cold - (4-7C/39-45F),1.048,5,Pint,2012-01-03 02:41:33,5,5,FBB123,
JUfNjz,'lil Butler Blue,'lil Butler Blue,"Our 5th Double Berliner weiss with bluberries, kettle soured.",,46,N,verified,Verified,2015-08-07 17:20:45,2015-08-07 17:20:45,46,4,4,German Origin Ales,2012-03-21 20:06:46,Berliner-Style Weisse (Wheat),Berlinerweisse,"This is very pale in color and the lightest of all the German wheat beers. The unique combination of yeast and lactic acid bacteria fermentation yields a beer that is acidic, highly attenuated, and very light bodied. The carbonation of a Berliner Weisse is high, and hop rates are very low. Clarity may be hazy or cloudy from yeast or chill haze. Hop character should not be perceived. Fruity esters will be evident. No diacetyl should be perceived.",3,6,2.8,3.4,2,4,1.028,1.004,1.006,2012-03-21 20:06:46,2015-04-07 15:29:14,,,,,,,,,,,,,,,,,,,,,
ZQzj1u,'Lil Griz,'Lil Griz,"Deliberately blazing our own trail, we brewed this barrel aged brown ale believing there is room for a new craft beer category: “Sessionable Bourbon Barrel Aged Beers”. Weighing in at 6.8% ABV ( Alc. 6.8% by Vol. ), the rich chocolate notes & creaminess of the flaked oats easily justify this beer bringing home a FoBAB medal this year. We hope you enjoy the ‘Lil Griz.",6.8,37,N,verified,Verified,2015-02-25 14:30:03,2015-12-17 22:55:35,37,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Brown Ale,American Brown,"American brown ales range from deep copper to brown in color. Roasted malt caramel-like and chocolate-like characters should be of medium intensity in both flavor and aroma. American brown ales have evident low to medium hop flavor and aroma, medium to high hop bitterness, and a medium body. Estery and fruity-ester characters should be subdued. Diacetyl should not be perceived. Chill haze is allowable at cold temperatures.",25,45,4,6.4,15,26,1.04,1.01,1.018,2012-03-21 20:06:46,2015-04-07 15:27:35,,,,,,34,,,https://s3.amazonaws.com/brewerydbapi/beer/ZQzj1u/upload_0hoJ8r-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/ZQzj1u/upload_0hoJ8r-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/ZQzj1u/upload_0hoJ8r-large.png,,,,,,,,,,
7WoDkH,'Merican,'Merican,,5.8,32,N,verified,Verified,2013-11-01 12:36:31,2015-12-17 06:41:04,32,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,"American amber/red ales range from light copper to light brown in color. They are characterized by American-variety hops used to produce the perception of medium hop bitterness, flavor, and medium aroma. Amber ales have medium-high to high maltiness with medium to low caramel character. They should have medium to medium-high body. The style may have low levels of fruityester flavor and aroma. Diacetyl can be either absent or barely perceived at very low levels. Chill haze is allowable at cold temperatures. Slight yeast haze is acceptable for bottle-conditioned products.",30,40,4.5,6,11,18,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,,,,,,,5,,https://s3.amazonaws.com/brewerydbapi/beer/7WoDkH/upload_JsZsYY-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/7WoDkH/upload_JsZsYY-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/7WoDkH/upload_JsZsYY-large.png,,,,5,Pint,2012-01-03 02:41:33,,,,
bRGRZj,'Merican Wheat,'Merican Wheat,,5.6,112,N,verified,Verified,2015-08-19 15:30:33,2015-08-19 20:38:38,112,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Light American Wheat Ale or Lager with Yeast,Wheat Ale,"This beer can be made using either ale or lager yeast. It can be brewed with 30 to 75 percent wheat malt, and hop rates may be low to medium. Hop characters may be light to moderate in bitterness, flavor and aroma. Fruity-estery aroma and flavor are typical but at low levels however, phenolic, clove-like characteristics should not be perceived. Color is usually straw to light amber, and the body should be light to medium in character. Diacetyl should not be perceived. Because this style is served with yeast the character should portray a full yeasty mouthfeel and appear hazy to very cloudy. Chill haze is also acceptable. Yeast flavor and aroma should be low to medium but not overpowering the balance and character of malt and hops. These beers are typically served with the yeast in the bottle, and are cloudy when served.",10,35,3.5,5.5,4,10,1.036,1.006,1.018,2012-03-21 20:06:46,2015-04-07 15:42:48,,,,,,,,,,,,,,,,,,,,,
