"id","name","nameDisplay","description","abv","ibu","availableId","glasswareId","srmId","styleId","isOrganic","year","labels__icon","labels__medium","labels__large","status","statusDisplay","servingTemperature","servingTemperatureDisplay","originalGravity","createDate","updateDate","available__id","available__name","available__description","glass__id","glass__name","glass__createDate","srm__id","srm__name","srm__hex","style__id","style__categoryId","style__category__id","style__category__name","style__category__createDate","style__name","style__shortName","style__description","style__ibuMin","style__ibuMax","style__abvMin","style__abvMax","style__srmMin","style__srmMax","style__ogMin","style__fgMin","style__fgMax","style__createDate","style__updateDate"
"AXmvOd","""Dust Up"" Cloudy Pale Ale | 1 of 4 Part Pale Ale Series","""Dust Up"" Cloudy Pale Ale | 1 of 4 Part Pale Ale Series","The Pale Ale series will feature 4 distinct variations within the Pale Ale category. ""Dust Up"" Cloudy Pale Ale, the first of the series, showcases caramelized wheat, an abundant amount of earthy forest hops and finishes crisp and snappy. Unfiltered, untamed, yet friendly to consume.","5.4","54","","","11","25","N","","","","","verified","Verified","","","","2016-05-11 15:02:31","2016-05-11 15:02:32","","","","","","","11","11","D77200","25","3","3","North American Origin Ales","2012-03-21 20:06:45","American-Style Pale Ale","American Pale","American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.","30","42","4.5","5.6","6","14","1.044","1.008","1.014","2012-03-21 20:06:45","2015-04-07 15:25:18"
"c5pZg5","""EVL1"" Imperial Red Ale","""EVL1"" Imperial Red Ale","10.4% ABV 64 IBU’s Born from a Robust Porter recipe, it shows it origins with coffee and roasted malt notes. A kicked-up red ale with a deep copper red color and a rich, malty sweet flavor.","10.4","64","","","","33","N","","","","","verified","Verified","","","","2015-03-18 18:17:15","2015-03-18 18:17:15","","","","","","","","","","33","3","3","North American Origin Ales","2012-03-21 20:06:45","Imperial Red Ale","Imperial Red","Imperial Red Ales are deep amber to dark copper/reddish brown. A small amount of chill haze is allowable at cold temperatures. Fruity-ester aroma is medium. Hop aroma is intense, arising from any variety of hops. Medium to high caramel malt character is present. Hop flavor is intense, and balanced with other beer characters. They may use any variety of hops. Hop bitterness is intense. Alcohol content is very high and of notable character. Complex alcohol flavors may be evident. Fruity-ester flavors are medium. Diacetyl should not be perceived. Body is full.","55","85","7.9","10.5","10","15","1.08","1.02","1.028","2012-03-21 20:06:46","2015-04-07 17:05:43"
"xBKAka","""Galactic Wrath"" IPA","""Galactic Wrath"" IPA","In August 2012, for the First Year Anniversary at our Tap Room and Restaurant, we decided to take two of our favorite Dust Bowl beers…Galaxy Pale Ale and Son of Wrath Double IPA…and formulate a new IPA recipe using elements from both beers. The result was a delicious, bold IPA with the fruity, citrus character and malt backbone of Son of Wrath, as well as the tropical aroma and easy drinkability of Galaxy Pale. It was so popular with our fans, we decided to brew more.","7.5","75","2","","","30","N","","","","","verified","Verified","","","","2015-03-25 20:28:19","2015-03-25 20:28:19","2","Limited","Limited availability.","","","","","","","30","3","3","North American Origin Ales","2012-03-21 20:06:45","American-Style India Pale Ale","American IPA","American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale","50","70","6.3","7.5","6","14","1.06","1.012","1.018","2012-03-21 20:06:45","2015-04-07 15:26:37"
"Hr5A0t","""God Country"" Kolsch","""God Country"" Kolsch","Good, dense head retention is desirable. Light pearapple-Riesling wine-like fruitiness may be apparent, but is not necessary for this style. Caramel character should not be evident. The body is light to medium-light. This beer has low hop flavor and aroma with medium bitterness. Wheat can be used in brewing this beer. Ale yeast is used for fermentation, though lager yeast is sometimes used in the bottle or final cold conditioning process. Fruity esters should be minimally perceived, if at all. Chill haze should be absent.","5.6","28.2","1","","5","45","N","","","","","verified","Verified","","","","2013-04-28 20:21:56","2016-05-05 14:07:35","1","Year Round","Available year round as a staple beer.","","","","5","5","FBB123","45","4","4","German Origin Ales","2012-03-21 20:06:46","German-Style Kölsch / Köln-Style Kölsch","Kölsch","Kölsch is warm fermented and aged at cold temperatures (German ale or alt-style beer). Kölsch is characterized by a golden to straw color and a slightly dry, subtly sweet softness on the palate, yet crisp. Good, dense head retention is desirable. Light pearapple-Riesling wine-like fruitiness may be apparent, but is not necessary for this style. Caramel character should not be evident. The body is light to medium-light. This beer has low hop flavor and aroma with medium bitterness. Wheat can be used in brewing this beer. Ale yeast is used for fermentation, though lager yeast is sometimes used in the bottle or final cold conditioning process. Fruity esters should be minimally perceived, if at all. Chill haze should be absent.","18","25","4.8","5.3","4","6","1.042","1.006","1.01","2012-03-21 20:06:46","2015-04-07 15:29:04"
"UjFyXJ","""Hey Victor"" Smoked Porter","""Hey Victor"" Smoked Porter","Rooted in Western pop culture, our porter is named for the film, Smoke Signals, and is also related to Sherman Alexie’s story, “This is What it Means to Say, ‘Phoenix, Arizona.’”    Our smoked porter is very approachable; it’s not overly smoky and its blend of malts (Maris Otter, English Brown and chocolate) and hops (East Kent Golding, & Fuggle) will remind you of hikes, s’mores and cool, dusky campfires in the Snowies. Take a growler to the mountains and enjoy its rich color and flavor.","5.5","","","","","129","N","","","","","verified","Verified","","","","2014-09-18 18:42:18","2015-05-20 13:48:06","","","","","","","","","","129","11","11","Hybrid/mixed Beer","2012-03-21 20:06:46","Smoke Beer (Lager or Ale)","Smoke Beer","Any style of beer can be smoked; the goal is to reach a balance between the style's character and the smoky properties. Type of wood or other sources of smoke should be specified as well as the style the beer is based upon.","","","","","","","","","","2012-03-21 20:06:46","2015-04-07 15:45:19"
"5UcMBc","""Ignition"" IPA","""Ignition"" IPA","This medium amber beer is infused with a blend of 2-row malted barley and caramel malts. Its balance acquired by using a combination of Pacific Northwest hops for bitterness and aroma.","6.6","45","1","5","","30","N","","","","","verified","Verified","","","","2013-07-27 14:02:13","2015-03-18 18:05:08","1","Year Round","Available year round as a staple beer.","5","Pint","2012-01-03 02:41:33","","","","30","3","3","North American Origin Ales","2012-03-21 20:06:45","American-Style India Pale Ale","American IPA","American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale","50","70","6.3","7.5","6","14","1.06","1.012","1.018","2012-03-21 20:06:45","2015-04-07 15:26:37"
"mrVjY4","""Jemez Field Notes"" Golden Lager","""Jemez Field Notes"" Golden Lager","This straw-blond lager is an easy going brew created to help celebrate the oncoming warm summer months. Luke chose a variety of pilsner malts, to convey delightful bready notes, an even mouthfeel and a clean, refreshing finish. Jemez Field Notes pairs well with exploring the outdoors and getting dirty in the field.","4.9","20","","","5","36","N","","","","","verified","Verified","","","","2016-05-11 15:04:06","2016-05-11 15:04:06","","","","","","","5","5","FBB123","36","3","3","North American Origin Ales","2012-03-21 20:06:45","Golden or Blonde Ale","Blonde","Golden or Blonde ales are straw to golden blonde in color. They have a crisp, dry palate, light to medium body, and light malt sweetness. Low to medium hop aroma may be present but does not dominate. Bitterness is low to medium. Fruity esters may be perceived but do not predominate. Diacetyl should not be perceived. Chill haze should be absent.","15","25","4","5","3","7","1.045","1.008","1.016","2012-03-21 20:06:46","2015-04-07 15:27:26"
"54rSgo","""Jemmy Dean"" Breakfast Stout","""Jemmy Dean"" Breakfast Stout","The stout style lends itself well to pairing with coffee.  Our Jemmy stout uses over eight different malts and has a complexity that is complemented by our special cold-pressed Java Vino blend added into the serving tank - yielding our ""Jemmy Dean"" breakfast stout.","","","1","5","","20","N","","","","","verified","Verified","","","","2012-09-29 17:22:22","2015-04-24 13:24:02","1","Year Round","Available year round as a staple beer.","5","Pint","2012-01-03 02:41:33","","","","20","1","1","British Origin Ales","2012-03-21 20:06:45","Sweet or Cream Stout","Sweet Stout","Sweet stouts, also referred to as cream stouts, have less roasted bitter flavor and a full-bodied mouthfeel. The style can be given more body with milk sugar (lactose) before bottling. Malt sweetness, chocolate, and caramel flavor should dominate the flavor profile and contribute to the aroma. Hops should balance and suppress some of the sweetness without contributing apparent flavor or aroma. The overall impression should be sweet and full-bodied.","15","25","3","6","40","40","1.045","1.012","1.02","2012-03-21 20:06:45","2015-04-07 15:24:41"
"JsKjkk","""Mauvaises Choses""","""Mauvaises Choses""","…meaning “Very Bad Things” in French…    As the name suggests this beer is naughty. She creeps up on you and packs a punch, but the best part about her…she never talks back     A Belgian Golden Ale brewed with California Golden raisins and Canadian Maple Syrup. Trappist yeast creates a strong phenolic aroma reminiscent of passion fruit, plums, and mangos. French and Czech hops add a complex flavor, while taking care not to obstruct the delicate phenols of the Belgian yeast.    Drink up, but be careful, she’s a feisty one!","7","30","","8","","63","N","","","","","verified","Verified","","","","2012-04-12 00:01:51","2014-10-13 14:54:52","","","","8","Tulip","2012-01-03 02:41:33","","","","63","5","5","Belgian And French Origin Ales","2012-03-21 20:06:46","Belgian-Style Pale Strong Ale","Belgian Pale Strong","Belgian pale strong ales are pale to golden in color with relatively light body for a beer of its alcoholic strength. Often brewed with light colored Belgian ""candy"" sugar, these beers are well attenuated. The perception of hop bitterness is medium-low to medium -high, with hop flavor and aroma also in this range. These beers are highly attenuated and have a perceptively deceiving high alcoholic character-being light to medium bodied rather than full bodied. The intensity of malt character should be low to medium, often surviving along with a complex fruitiness. Very little or no diacetyl is perceived. Herbs and spices are sometimes used to delicately flavor these strong ales. Low levels of phenolic spiciness from yeast byproducts may also be perceived. Chill haze is allowable at cold temperatures.","20","50","7","11","4","10","1.064","1.012","1.024","2012-03-21 20:06:46","2015-04-07 15:32:16"
"b7WWL6","""Mike Saw a Sasquatch"" Session Ale","""Mike Saw a Sasquatch"" Session Ale","The true Summer Ale of Central Oregon! A Golden Ale, light and smooth. You can taste the craftsmanship in this easy drinking ale with a smooth blend of Cascade and Sterling hops and finished with a touch of Honey malt to balance it out. This is a great introduction if you are new to the world of Craft Brewing.  For established craft enthusiasts, 10 Barrel Summer Ale is a good reprieve from overly hopped and overly malty alternatives.","4.7","26","1","5","","36","N","","","","","verified","Verified","","","","2012-01-03 02:44:19","2015-05-22 02:27:37","1","Year Round","Available year round as a staple beer.","5","Pint","2012-01-03 02:41:33","","","","36","3","3","North American Origin Ales","2012-03-21 20:06:45","Golden or Blonde Ale","Blonde","Golden or Blonde ales are straw to golden blonde in color. They have a crisp, dry palate, light to medium body, and light malt sweetness. Low to medium hop aroma may be present but does not dominate. Bitterness is low to medium. Fruity esters may be perceived but do not predominate. Diacetyl should not be perceived. Chill haze should be absent.","15","25","4","5","3","7","1.045","1.008","1.016","2012-03-21 20:06:46","2015-04-07 15:27:26"
"HXmS9k","""My"" Bock","""My"" Bock","Amber, malty and not too heavy, all around favorite even for the drinkers of the yellow fizzy stuff","6","","1","5","","88","N","","","","","verified","Verified","","","","2012-01-03 02:42:36","2014-11-11 15:04:34","1","Year Round","Available year round as a staple beer.","5","Pint","2012-01-03 02:41:33","","","","88","7","7","European-germanic Lager","2012-03-21 20:06:46","Traditional German-Style Bock","Bock","Traditional bocks are made with all malt and are strong, malty, medium- to full-bodied, bottom-fermented beers with moderate hop bitterness that should increase proportionately with the starting gravity. Malt character should be a balance of sweetness and toasted/nut-like malt; not caramel. Hop flavor should be low and hop aroma should be very low. Bocks can range in color from deep copper to dark brown. Fruity esters should be minimal. Diacetyl should be absent.","20","30","6.3","7.5","20","30","1.066","1.018","1.024","2012-03-21 20:06:46","2015-04-07 15:38:54"
"giqbO2","""Not Just Some"" Oatmeal Stout","""Not Just Some"" Oatmeal Stout","Made with two-row pale malt, dark chocolate malt, black malt, and flaked oats - this rich stout is brewed with twelve additions of Fuggle hops.  Originally Just Some Oatmeal Stout, the name was changed by popular demand as this truly is unlike any ordinary stout!","","","","","","21","N","","","","","verified","Verified","","","","2012-01-03 02:42:36","2015-06-05 15:27:01","","","","","","","","","","21","1","1","British Origin Ales","2012-03-21 20:06:45","Oatmeal Stout","Oatmeal Stout","Oatmeal stouts include oatmeal in their grist, resulting in a pleasant, full flavor and a smooth profile that is rich without being grainy. A roasted malt character which is caramel-like and chocolate-like should be evident - smooth and not bitter. Coffee-like roasted barley and roasted malt aromas (chocolate and nut-like) are prominent. Color is dark brown to black. Bitterness is moderate, not high. Hop flavor and aroma are optional but should not overpower the overall balance if present. This is a medium- to full- bodied beer, with minimal fruity esters. Diacetyl should be absent or at extremely low levels. Original gravity range and alcohol levels are indicative of English tradition of oatmeal stout.","20","40","3.8","6","20","20","1.038","1.008","1.02","2012-03-21 20:06:45","2015-04-07 15:22:53"
"HhyVO1","""Pinch"" Pilsner","""Pinch"" Pilsner","","4.9","25","","","","98","N","","","","","verified","Verified","","","","2015-11-03 16:58:17","2015-11-03 16:58:17","","","","","","","","","","98","8","8","North American Lager","2012-03-21 20:06:46","American-Style Pilsener","American Pilsener","This classic and unique pre-Prohibition American-style Pilsener is straw to deep gold in color. Hop bitterness, flavor and aroma are medium to high, and use of noble-type hops for flavor and aroma is preferred. Up to 25 percent corn and/or rice in the grist should be used. Malt flavor and aroma are medium. This is a light-medium to medium-bodied beer. Sweet corn-like dimethylsulfide (DMS), fruity esters and American hop-derived citrus flavors or aromas should not be perceived. Diacetyl is not acceptable. There should be no chill haze. Competition organizers may wish to subcategorize this style into rice and corn subcategories.","25","40","5","6","3","6","1.045","1.012","1.018","2012-03-21 20:06:46","2015-04-07 15:40:08"
