id,name,nameDisplay,description,abv,ibu,availableId,styleId,isOrganic,labels/icon,labels/medium,labels/large,status,statusDisplay,createDate,updateDate,available/id,available/name,available/description,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,style/createDate,style/updateDate,glasswareId,glass/id,glass/name,glass/createDate,year,foodPairings,servingTemperature,servingTemperatureDisplay,srmId,srm/id,srm/name,srm/hex,originalGravity,style/ogMax
gUzwHu,3rd Anniversary,3rd Anniversary,,9.9,,2,64,N,https://s3.amazonaws.com/brewerydbapi/beer/gUzwHu/upload_PWwiYd-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/gUzwHu/upload_PWwiYd-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/gUzwHu/upload_PWwiYd-large.png,verified,Verified,2013-02-22 18:09:37,2015-12-16 23:05:40,2,Limited,Limited availability.,64,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Dark Strong Ale,Belgian Dark Strong,"Belgian dark strong ales are amber to dark brown in color. Often, though not always, brewed with dark Belgian ""candy"" sugar, these beers can be well attenuated, ranging from medium to full-bodied. The perception of hop bitterness is low to medium, with hop flavor and aroma also in this range. Fruity complexity along with the soft flavors of roasted malts add distinct character. The alcohol strength of these beers can often be deceiving to the senses. The intensity of malt character can be rich, creamy, and sweet with intensities ranging from medium to high. Very little or no diacetyl is perceived. Herbs and spices are sometimes used to delicately flavor these strong ales. Low levels of phenolic spiciness from yeast byproducts may also be perceived. Chill haze is allowable at cold temperatures.",20,50,7,11,9,35,1.064,1.012,1.024,2012-03-21 20:06:46,2015-04-07 15:32:23,,,,,,,,,,,,,,
WLSh47,3rd Anniversary Ale,3rd Anniversary Ale,"For our 3rd Anniversary, we wanted to make the ultimate Belgian summer beer. Aromas of clove, pineapple and bubblegum spill from the glass. The flavor is a combination of spicy Belgian yeast with hints of pear & nutmeg. It finishes with a pleasant tartness. 3rd Anniversary Ale is very light & refreshing and at the same time complex & intriguing.

In order to get the characteristic tartness in this beer, we employed a technique called Sour Mashing. This procedure allows natural bacteria to produce a small level of lactic acid prior to fermentation. The result is a complex, slightly sour treat.",8,15,2,61,N,https://s3.amazonaws.com/brewerydbapi/beer/WLSh47/upload_5zHppi-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/WLSh47/upload_5zHppi-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/WLSh47/upload_5zHppi-large.png,verified,Verified,2013-05-09 02:22:01,2015-12-17 02:09:40,2,Limited,Limited availability.,61,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Blonde Ale,Belgian Blonde,"Belgian-style blond ales are characterized by low yet evident hop bitterness, flavor, and sometimes aroma. Light to medium body and low malt aroma with a sweet, spiced and a low to medium fruity-ester character orchestrated in flavor and aroma. Sugar may be used to lighten perceived body. They are blonde to golden in color. Noble-type hops are commonly used. Low levels of phenolic spiciness from yeast byproducts may be perceived. Diacetyl should not be perceived. Acidic character should not be present. Chill haze is allowable at cold temperatures.",15,30,6,7.8,4,7,1.054,1.008,1.014,2012-03-21 20:06:46,2015-04-07 15:32:01,8,8,Tulip,2012-01-03 02:41:33,,"Fruit salad, calamari, grilled fish, light pastas. Gouda & fresh buffalo mozzarella.",cold,Cold - (4-7C/39-45F),,,,,,
oCIJrL,3rd Anniversary Ale,3rd Anniversary Ale,,8,,2,72,N,https://s3.amazonaws.com/brewerydbapi/beer/oCIJrL/upload_LXqfov-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/oCIJrL/upload_LXqfov-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/oCIJrL/upload_LXqfov-large.png,verified,Verified,2015-10-21 14:54:10,2015-12-18 04:54:52,2,Limited,Limited availability.,72,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,French & Belgian-Style Saison,Saison,"Beers in this category are golden to deep amber in color. There may be quite a variety of characters within this style. Generally: They are light to medium in body. Malt aroma is low to medium-low. Esters are medium to high in  aroma, while, complex alcohols, herbs, spices, low Brettanomyces character and even clove and smoke-like phenolics may or may not be evident in the overall balanced beer. Hop aroma and flavor may be at low to medium levels. Malt flavor is low but provides foundation for the overall balance. Hop bitterness is moderate to moderately assertive. Herb and/or spice flavors, including black pepper-like notes, may or may not be evident. Fruitiness from fermentation is generally in character. A balanced small amount of sour or acidic flavors is acceptable when in balance with other components. Earthy, cellar-like, musty aromas are okay. Diacetyl should not be perceived. Chill or slight yeast haze is okay. Often bottle conditioned with some yeast character and high carbonation. French & Belgian-Style Saison may have Brettanomyces characters that are slightly acidity, fruity, horsey, goaty and/or leather-like.",20,40,4.5,8.5,4,14,1.055,1.004,1.016,2012-03-21 20:06:46,2015-04-07 15:34:55,,,,,,,,,,,,,,
cRlSpp,3rd Anniversary Saison (Chardonnay Barrel),3rd Anniversary Saison (Chardonnay Barrel),Saison aged in chardonnay wine barrels.,9,20,2,135,N,https://s3.amazonaws.com/brewerydbapi/beer/cRlSpp/upload_cYEYXK-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/cRlSpp/upload_cYEYXK-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/cRlSpp/upload_cYEYXK-large.png,verified,Verified,2015-08-18 17:35:05,2015-12-18 05:07:07,2,Limited,Limited availability.,135,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Wood- and Barrel-Aged Strong Beer,BBL Aged Strong,"Any strong classic style or unique, experimental style of beer can be wood or barrel-aged for a period of time in a wooden barrel or in contact with wood. This beer is aged with the intention of imparting the particularly unique character of the wood and/or what has previously been in the barrel. New wood character can be characterized as a complex blend of vanillin and unique wood character but wood aged is not necessarily synonymous with imparting wood-flavors. Used sherry, rum, bourbon, scotch, port, wine and other barrels are often used, imparting complexity and uniqueness to beer. Ultimately a balance of flavor, aroma and mouthfeel are sought with the marriage of new beer with wood and/or barrel flavors. Primary character of the beer style may or may not be apparent. Sour wood-aged beer of any color is outlined in other categories. Beers in this style may or may not have Brettanomyces character. The brewer must explain the special nature of the beer to allow for accurate judging. Comments could include: type of wood used (new or old, oak or other wood type), type of barrel used (new, port/ whiskey/ wine/ sherry/ other), base beer style or achieved character. Beer entries not accompanied by this information will be at a disadvantage during judging.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:46:50,8,8,Tulip,2012-01-03 02:41:33,,,,,4,4,4,FFBF42,,
082egO,3rd Anniversary Saison (Red Wine Barrel),3rd Anniversary Saison (Red Wine Barrel),Saison aged in a variety of red wine barrels.,9,20,2,135,N,https://s3.amazonaws.com/brewerydbapi/beer/082egO/upload_E23Irc-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/082egO/upload_E23Irc-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/082egO/upload_E23Irc-large.png,verified,Verified,2015-08-18 17:32:56,2015-12-18 05:15:21,2,Limited,Limited availability.,135,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Wood- and Barrel-Aged Strong Beer,BBL Aged Strong,"Any strong classic style or unique, experimental style of beer can be wood or barrel-aged for a period of time in a wooden barrel or in contact with wood. This beer is aged with the intention of imparting the particularly unique character of the wood and/or what has previously been in the barrel. New wood character can be characterized as a complex blend of vanillin and unique wood character but wood aged is not necessarily synonymous with imparting wood-flavors. Used sherry, rum, bourbon, scotch, port, wine and other barrels are often used, imparting complexity and uniqueness to beer. Ultimately a balance of flavor, aroma and mouthfeel are sought with the marriage of new beer with wood and/or barrel flavors. Primary character of the beer style may or may not be apparent. Sour wood-aged beer of any color is outlined in other categories. Beers in this style may or may not have Brettanomyces character. The brewer must explain the special nature of the beer to allow for accurate judging. Comments could include: type of wood used (new or old, oak or other wood type), type of barrel used (new, port/ whiskey/ wine/ sherry/ other), base beer style or achieved character. Beer entries not accompanied by this information will be at a disadvantage during judging.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:46:50,8,8,Tulip,2012-01-03 02:41:33,,,,,4,4,4,FFBF42,,
NpIhiz,3rd Ring Belgian Strong Ale,3rd Ring Belgian Strong Ale,"The third ring of hell is the ring of gluttony. This ale is big and high in alcohol. Don’t fall into the third ring by overindulgence. Light in color and body yet big on the Belgian flavor with slight fruity notes and plenty of residual sweetness from the candi sugar added late in the boil. Even though the beer has a high ABV, a traditional Belgian yeast was used and we aged the beer for just the right duration so it doesn't taste or feel “hot.”",10.5,21,1,64,N,https://s3.amazonaws.com/brewerydbapi/beer/NpIhiz/upload_crfjmm-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/NpIhiz/upload_crfjmm-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/NpIhiz/upload_crfjmm-large.png,verified,Verified,2014-08-12 20:03:32,2015-12-17 15:50:09,1,Year Round,Available year round as a staple beer.,64,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Dark Strong Ale,Belgian Dark Strong,"Belgian dark strong ales are amber to dark brown in color. Often, though not always, brewed with dark Belgian ""candy"" sugar, these beers can be well attenuated, ranging from medium to full-bodied. The perception of hop bitterness is low to medium, with hop flavor and aroma also in this range. Fruity complexity along with the soft flavors of roasted malts add distinct character. The alcohol strength of these beers can often be deceiving to the senses. The intensity of malt character can be rich, creamy, and sweet with intensities ranging from medium to high. Very little or no diacetyl is perceived. Herbs and spices are sometimes used to delicately flavor these strong ales. Low levels of phenolic spiciness from yeast byproducts may also be perceived. Chill haze is allowable at cold temperatures.",20,50,7,11,9,35,1.064,1.012,1.024,2012-03-21 20:06:46,2015-04-07 15:32:23,6,6,Snifter,2012-01-03 02:41:33,,,cold,Cold - (4-7C/39-45F),15,15,15,BB5100,,
TFro2U,3rd Stone (Apricot Sour Ale),3rd Stone (Apricot Sour Ale),3rd Anniversary + Sour Beer + Stone Fruit = 3rd Stone Apricot Sour. Take a trip to the sunny side of sour with this 5.5,5.5,,,40,N,https://s3.amazonaws.com/brewerydbapi/beer/TFro2U/upload_w7Dj0R-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/TFro2U/upload_w7Dj0R-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/TFro2U/upload_w7Dj0R-large.png,verified,Verified,2015-09-03 04:03:01,2015-12-18 05:13:04,,,,40,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Sour Ale,Sour,"American sour ales can be very light to black or take on the color of added fruits or other ingredients. There is no Brettanomyces character in this style of beer. Wood- and barrel-aged sour ales are classified elsewhere. If acidity is present it is usually in the form of lactic, acetic and other organic acids naturally developed with acidified malt in the mash or in fermentation by the use of various microorganisms including certain bacteria and yeasts. Acidic character can be a complex balance of several types of acid and characteristics of age. The evolution of natural acidity develops balanced complexity. Residual flavors that come from liquids previously aged in a barrel such as bourbon or sherry should not be present. Wood vessels may be used during the fermentation and aging process, but wood-derived flavors such as vanillin must not be present. In darker versions, roasted malt, caramel-like and chocolate-like characters should be subtle in both flavor and aroma. American sour may have evident full range of hop aroma and hop bitterness with a full range of body. Estery and fruity-ester characters are evident, sometimes moderate and sometimes intense, yet balanced. Diacetyl and sweet corn-like dimethylsulfide (DMS) should not be perceived. Chill haze, bacteria and yeast-induced haze are allowable at low to medium levels at any temperature. Fruited American-Style Sour Ales will exhibit fruit flavors in harmonious balance with other characters.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:28:32,,,,,,,,,,,,,,
lvM4ky,3rd Year Beer,3rd Year Beer,,11.2,,2,34,N,https://s3.amazonaws.com/brewerydbapi/beer/lvM4ky/upload_qkgIPl-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/lvM4ky/upload_qkgIPl-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/lvM4ky/upload_qkgIPl-large.png,verified,Verified,2013-01-05 19:27:51,2015-12-16 23:07:38,2,Limited,Limited availability.,34,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Barley Wine Ale,American Barleywine,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",60,100,8.4,12,11,22,1.09,1.024,1.028,2012-03-21 20:06:46,2015-04-07 15:27:08,,,,,,,,,,,,,,
IJRx7g,3X Mild Ale,3X Mild Ale,,7.2,38,,11,N,https://s3.amazonaws.com/brewerydbapi/beer/IJRx7g/upload_8S4otf-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/IJRx7g/upload_8S4otf-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/IJRx7g/upload_8S4otf-large.png,verified,Verified,2015-01-01 02:06:40,2016-05-20 10:00:12,,,,11,1,1,British Origin Ales,2012-03-21 20:06:45,English-Style Dark Mild Ale,English Dark Mild,"English dark mild ales range from deep copper to dark brown (often with a red tint) in color. Malt flavor and caramel are part of the flavor and aroma profile while, licorice and roast malt tones may sometimes contribute to the flavor and aroma profile. Body should be low-medium to medium. These beers have very little hop flavor or aroma. Very low diacetyl flavors may be appropriate in this low-alcohol beer. Fruity-ester level is very low.",10,24,3.2,4,17,34,1.03,1.004,1.008,2012-03-21 20:06:45,2015-04-07 15:20:43,,,,,,,,,29,29,29,660D00,,
XV0VtF,3X Mild Ale - Union Series #4,3X Mild Ale - Union Series #4,"Presenting a whole new take on the Mild Ales of 19th century England. With a new American base malt and an experimental hop variety artfully blended with a traditional English yeast strain. For a rich, malt-driven beer that’s perfect for cooler months. 
This beer can be enjoyed “young” now, of course, but it will also age well if you lay some away in the cellar, essentially creating your own version of an Old Ale. You’ll notice changes in the ale’s character with more pronounced sherry notes.",7.2,38,2,10,N,https://s3.amazonaws.com/brewerydbapi/beer/XV0VtF/upload_E5t2oq-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/XV0VtF/upload_E5t2oq-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/XV0VtF/upload_E5t2oq-large.png,verified,Verified,2015-01-19 15:20:35,2015-12-17 19:59:21,2,Limited,Limited availability.,10,1,1,British Origin Ales,2012-03-21 20:06:45,English-Style Pale Mild Ale,English Pale Mild,English pale mild ales range from golden to amber in color. Malt flavor dominates the flavor profile with little hop bitterness or flavor. Hop aroma can be light. Very low diacetyl flavors may be appropriate in this low-alcohol beer. Fruity-ester level is very low. Chill haze is allowable at cold temperatures.,10,20,3.2,4,8,17,1.03,1.004,1.008,2012-03-21 20:06:45,2015-04-07 15:20:35,8,8,Tulip,2012-01-03 02:41:33,,"Grilled lamb chops, Cumberland sausages, Beef Wellington, roasted root vegetables, aged gouda and cheddar, mild blue cheese, sticky toffee pudding.",cool,Cool - (8-12C/45-54F),,,,,1.072,
GUcxuR,4,4,,,,2,33,N,https://s3.amazonaws.com/brewerydbapi/beer/GUcxuR/upload_iiexVl-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/GUcxuR/upload_iiexVl-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/GUcxuR/upload_iiexVl-large.png,verified,Verified,2014-04-18 11:47:14,2015-12-17 12:27:32,2,Limited,Limited availability.,33,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial Red Ale,Imperial Red,"Imperial Red Ales are deep amber to dark copper/reddish brown. A small amount of chill haze is allowable at cold temperatures. Fruity-ester aroma is medium. Hop aroma is intense, arising from any variety of hops. Medium to high caramel malt character is present. Hop flavor is intense, and balanced with other beer characters. They may use any variety of hops. Hop bitterness is intense. Alcohol content is very high and of notable character. Complex alcohol flavors may be evident. Fruity-ester flavors are medium. Diacetyl should not be perceived. Body is full.",55,85,7.9,10.5,10,15,1.08,1.02,1.028,2012-03-21 20:06:46,2015-04-07 17:05:43,,,,,,,,,,,,,,
w1mLvS,4,4,,8,,2,125,N,https://s3.amazonaws.com/brewerydbapi/beer/w1mLvS/upload_F1GPOM-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/w1mLvS/upload_F1GPOM-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/w1mLvS/upload_F1GPOM-large.png,verified,Verified,2014-03-26 11:49:21,2015-12-17 11:40:02,2,Limited,Limited availability.,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,,,,,,,,,,,,,,
P7xBAz,4 C's Pale Ale,4 C's Pale Ale,"A malty pale with Cascade, Centennial, Columbus and Chinook hops creating a citrus and piney flavor and assertive bitterness.",6,55,1,25,N,https://s3.amazonaws.com/brewerydbapi/beer/P7xBAz/upload_EEWs0y-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/P7xBAz/upload_EEWs0y-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/P7xBAz/upload_EEWs0y-large.png,verified,Verified,2012-05-05 12:29:22,2015-12-16 17:25:17,1,Year Round,Available year round as a staple beer.,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,5,5,Pint,2012-01-03 02:41:33,,,,,,,,,,
ru4guO,4 Calling Birds,4 Calling Birds (2011),"Spiced Strong Dark Ale. The Twelve Days of Christmas series continues! We took inspiration from the traditional winter warmer for our fourth verse, integrating gingerbread spices into a robust dark ale. Notes of licorice & banana bread mingle with dark fruit, molasses and bitter chocolate for a perfect cold weather sipper!",11,,2,64,N,https://s3.amazonaws.com/brewerydbapi/beer/ru4guO/upload_psTVZ2-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/ru4guO/upload_psTVZ2-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/ru4guO/upload_psTVZ2-large.png,verified,Verified,2012-01-03 02:42:37,2015-12-16 14:44:19,2,Limited,Limited availability.,64,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Dark Strong Ale,Belgian Dark Strong,"Belgian dark strong ales are amber to dark brown in color. Often, though not always, brewed with dark Belgian ""candy"" sugar, these beers can be well attenuated, ranging from medium to full-bodied. The perception of hop bitterness is low to medium, with hop flavor and aroma also in this range. Fruity complexity along with the soft flavors of roasted malts add distinct character. The alcohol strength of these beers can often be deceiving to the senses. The intensity of malt character can be rich, creamy, and sweet with intensities ranging from medium to high. Very little or no diacetyl is perceived. Herbs and spices are sometimes used to delicately flavor these strong ales. Low levels of phenolic spiciness from yeast byproducts may also be perceived. Chill haze is allowable at cold temperatures.",20,50,7,11,9,35,1.064,1.012,1.024,2012-03-21 20:06:46,2015-04-07 15:32:23,8,8,Tulip,2012-01-03 02:41:33,2011,,,,,,,,,
e2IZZS,4 Degrees Pale Ale,4 Degrees Pale Ale,"4 Degrees Pale Ale is a well balanced, full flavoured handcrafted ale. made with pale, wheat and crystal malts, cascade and sauvin hops. No preservatives and no chemicals.",5,30,,25,N,https://s3.amazonaws.com/brewerydbapi/beer/e2IZZS/upload_j0hjWd-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/e2IZZS/upload_j0hjWd-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/e2IZZS/upload_j0hjWd-large.png,verified,Verified,2015-03-20 18:14:18,2015-12-17 23:31:21,,,,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,,,,,,,,,,,,,
1iZlQ1,4 Degrees Summer Wheat,4 Degrees Summer Wheat,"Summer wheat is a well balanced, full flavoured handcrafted ale. made with pilsner, wheat, vienna and crystal malts, tettnanger hops and German wheat beer yeast. No preservatives and no chemicals.",5,14,,112,N,https://s3.amazonaws.com/brewerydbapi/beer/1iZlQ1/upload_H7kRE5-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/1iZlQ1/upload_H7kRE5-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/1iZlQ1/upload_H7kRE5-large.png,verified,Verified,2015-03-20 18:12:52,2015-12-18 00:08:50,,,,112,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Light American Wheat Ale or Lager with Yeast,Wheat Ale,"This beer can be made using either ale or lager yeast. It can be brewed with 30 to 75 percent wheat malt, and hop rates may be low to medium. Hop characters may be light to moderate in bitterness, flavor and aroma. Fruity-estery aroma and flavor are typical but at low levels however, phenolic, clove-like characteristics should not be perceived. Color is usually straw to light amber, and the body should be light to medium in character. Diacetyl should not be perceived. Because this style is served with yeast the character should portray a full yeasty mouthfeel and appear hazy to very cloudy. Chill haze is also acceptable. Yeast flavor and aroma should be low to medium but not overpowering the balance and character of malt and hops. These beers are typically served with the yeast in the bottle, and are cloudy when served.",10,35,3.5,5.5,4,10,1.036,1.006,1.018,2012-03-21 20:06:46,2015-04-07 15:42:48,,,,,,,,,,,,,,
93GmvB,4 Elf Winter Warmer Ale,4 Elf Winter Warmer Ale,"A spiced Winter Warmer brewed with nutmeg, clove, allspice and other holiday flavors.",8.75,,8,124,N,https://s3.amazonaws.com/brewerydbapi/beer/93GmvB/upload_HAaMkh-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/93GmvB/upload_HAaMkh-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/93GmvB/upload_HAaMkh-large.png,verified,Verified,2014-06-16 15:17:47,2015-12-17 14:27:41,8,Winter,Available during the winter months.,124,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Herb and Spice Beer,Spice Beer,"Herb beers use herbs or spices (derived from roots, seeds, fruits, vegetable, flowers, etc.) other than or in addition to hops to create a distinct (ranging from subtle to intense) character, though individual characters of herbs and/or spices used may not always be identifiable. Under hopping often, but not always, allows the spice or herb to contribute to the flavor profile. Positive evaluations are significantly based on perceived balance of flavors. Note: Chili-flavored beers that emphasize heat rather than chili flavor should be entered as a ""spiced"" beer.  A statement by the brewer explaining what herbs or spices are used is essential in order for fair assessment in competitions. Specifying a style upon which the beer is based may help evaluation. If this beer is a classic style with an herb or spice, the brewer should specify the classic style. If no Chocolate or Coffee category exists in a competition, then chocolate and coffee beers should be entered in this category.",5,70,2.5,12,5,50,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:45,,,,,,,,,,,,,,
xeAkc5,4 Hop IPA,4 Hop IPA,"In a bold collaboration with Mother Nature, we grow our own varieties of aroma hops at Rogue Farms in Independence, OR. We also string, stake, train, test, trim, separate, sort, kiln and cool them. Brewmaster John Maier meticulously selected and blended 4 varieties of our aroma hops to create the approachable and aromatic signature of our 4 Hop IPA.",4.44,55,1,164,N,https://s3.amazonaws.com/brewerydbapi/beer/xeAkc5/upload_ZDz3xs-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/xeAkc5/upload_ZDz3xs-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/xeAkc5/upload_ZDz3xs-large.png,verified,Verified,2015-11-30 20:15:19,2016-05-19 10:00:08,1,Year Round,Available year round as a staple beer.,164,3,3,North American Origin Ales,2012-03-21 20:06:45,Session India Pale Ale,Session IPA,"Session India Pale Ales are gold to copper. Chill haze is allowable at cold temperatures and hop haze is allowable at any temperature. Fruity-ester aroma is light to moderate. Hop aroma is medium to high with qualities from a wide variety of hops from all over the world. Low to medium maltiness is present. Hop flavor is strong, characterized by flavors from a wide variety of hops. Hop bitterness is medium to high. Fruity-ester flavors are low to moderate. Diacetyl is absent or at very low levels. Body is low to medium.",,,,,,,,,,2015-04-07 17:07:27,,,,,,,,,,,,,,,
bKdrSr,4-Play Porter,4-Play Porter,,4,,,18,N,https://s3.amazonaws.com/brewerydbapi/beer/bKdrSr/upload_1oyH97-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/bKdrSr/upload_1oyH97-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/bKdrSr/upload_1oyH97-large.png,verified,Verified,2012-01-03 02:42:37,2015-12-16 10:18:39,,,,18,1,1,British Origin Ales,2012-03-21 20:06:45,Brown Porter,Brown Porter,"Brown porters are mid to dark brown (may have red tint) in color. No roast barley or strong burnt/black malt character should be perceived. Low to medium malt sweetness, caramel and chocolate is acceptable along with medium hop bitterness. This is a lightto medium-bodied beer. Fruity esters are acceptable. Hop flavor and aroma may vary from being negligible to medium in character.",20,30,4.5,6,20,35,1.04,1.006,1.014,2012-03-21 20:06:45,2015-04-07 15:21:43,5,5,Pint,2012-01-03 02:41:33,,,,,,,,,,
3Lk3SF,40 Is Just A Number,40 Is Just A Number,,,,,18,N,https://s3.amazonaws.com/brewerydbapi/beer/3Lk3SF/upload_bXHem9-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/3Lk3SF/upload_bXHem9-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/3Lk3SF/upload_bXHem9-large.png,verified,Verified,2014-01-16 18:18:42,2015-12-17 08:33:35,,,,18,1,1,British Origin Ales,2012-03-21 20:06:45,Brown Porter,Brown Porter,"Brown porters are mid to dark brown (may have red tint) in color. No roast barley or strong burnt/black malt character should be perceived. Low to medium malt sweetness, caramel and chocolate is acceptable along with medium hop bitterness. This is a lightto medium-bodied beer. Fruity esters are acceptable. Hop flavor and aroma may vary from being negligible to medium in character.",20,30,4.5,6,20,35,1.04,1.006,1.014,2012-03-21 20:06:45,2015-04-07 15:21:43,,,,,,,,,,,,,,
