id,name,nameDisplay,description,abv,styleId,isOrganic,status,statusDisplay,createDate,updateDate,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,style/createDate,style/updateDate,ibu,glasswareId,availableId,originalGravity,glass/id,glass/name,glass/createDate,available/id,available/name,available/description,beerVariationId,year,labels/icon,labels/medium,labels/large,beerVariation/id,beerVariation/name,beerVariation/nameDisplay,beerVariation/description,beerVariation/abv,beerVariation/glasswareId,beerVariation/availableId,beerVariation/styleId,beerVariation/isOrganic,beerVariation/year,beerVariation/status,beerVariation/statusDisplay,beerVariation/createDate,beerVariation/updateDate,beerVariation/glass/id,beerVariation/glass/name,beerVariation/glass/createDate,beerVariation/available/id,beerVariation/available/name,beerVariation/available/description,beerVariation/style/id,beerVariation/style/categoryId,beerVariation/style/category/id,beerVariation/style/category/name,beerVariation/style/category/createDate,beerVariation/style/name,beerVariation/style/shortName,beerVariation/style/description,beerVariation/style/ibuMin,beerVariation/style/ibuMax,beerVariation/style/abvMin,beerVariation/style/abvMax,beerVariation/style/srmMin,beerVariation/style/srmMax,beerVariation/style/ogMin,beerVariation/style/fgMin,beerVariation/style/fgMax,beerVariation/style/createDate,beerVariation/style/updateDate,foodPairings,srmId,srm/id,srm/name,srm/hex,servingTemperature,servingTemperatureDisplay
jsf8kz,10°,10°,Quad brewed a year before being released in bottles. Giving this robust beer time to age properly was essential in bringing the dark specialty malts forward and allowing the alcohol to mellow.,9.8,60,N,verified,Verified,2015-01-10 00:37:28,2015-12-17 19:34:50,60,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Quadrupel,Belgian Quad,"Quadrupels or ""Quads"" are characterized by the immense presence of alcohol and balanced flavor, bitterness and aromas. Its color is deep amber to rich chestnut/garnet brown. Often characterized by a mousse-like dense, sometimes amber head will top off a properly poured and served quad. Complex fruity aroma and flavor emerge reminiscent of raisins, dates, figs, grapes, plums often accompanied with a hint of winy character. Caramel, dark sugar and malty sweet flavors and aromas can be intense, not cloying, while complementing fruitiness. Though well attenuated it usually has a full, creamy body. Hop characters do not dominate; low to low-medium bitterness is perceived. Perception of alcohol can be extreme. Clove-like phenolic flavor and aroma should not be evident. Chill haze is acceptable at low serving temperatures. Diacetyl and DMS should not be perceived. Well balanced with savoring/sipping drinkability. Oxidative character if evident in aged Quads should be mild and pleasant.",25,50,9,14,8,20,1.084,1.014,1.02,2012-03-21 20:06:46,2015-04-07 15:33:33,,,,,,,,,,,,,https://s3.amazonaws.com/brewerydbapi/beer/jsf8kz/upload_BHlulj-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/jsf8kz/upload_BHlulj-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/jsf8kz/upload_BHlulj-large.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uBUilT,10° Below,10° Below,,7.4,52,N,verified,Verified,2015-03-18 17:54:16,2015-12-17 23:56:39,52,4,4,German Origin Ales,2012-03-21 20:06:46,South German-Style Dunkel Weizen / Dunkel Weissbier,Dunkelweizen,"This beer style is characterized by a distinct sweet maltiness and a chocolate-like character from roasted malt. Estery and phenolic elements of this Weissbier should be evident but subdued. Color can range from copper-brown to dark brown. Dunkel Weissbier is well attenuated and very highly carbonated, and hop bitterness is low. Hop flavor and aroma are absent. Usually dark barley malts are used in conjunction with dark cara or color malts, and the percentage of wheat malt is at least 50 percent. If this is served with yeast, the beer may be appropriately very cloudy. No diacetyl should be perceived.",10,15,4.8,5.4,10,19,1.048,1.008,1.016,2012-03-21 20:06:46,2015-04-07 15:30:09,22,,4,,,,,4,Seasonal,"Available at the same time of year, every year.",,,https://s3.amazonaws.com/brewerydbapi/beer/uBUilT/upload_lI8InY-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/uBUilT/upload_lI8InY-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/uBUilT/upload_lI8InY-large.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEon99,11,11,A distinctly hoppy Double IPA fermented with our House strain of Scottish ale yeast and dry hopped twice with Amarillo and Summit hops. We think you'll agree that this beer goes to 11.,8.2,31,N,verified,Verified,2012-01-03 02:42:36,2015-06-10 17:37:52,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,5,3,,5,Pint,2012-01-03 02:41:33,3,Not Available,Beer is not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qHOBcs,11 Point Pilsner,11 Point Pilsner,"This Pilsner is a straight ahead, German-style pilsner; dry, clean with a bracing hop finish. 11 Point Pilsner is brewed with premium 2-row malted barley, noble hops, soft water and Bavarian lager yeast, and is the type of beer that goes well with a range of food, or simply enjoyed on its own.",5.5,75,Y,verified,Verified,2013-08-12 17:29:17,2015-07-10 16:52:38,75,7,7,European-germanic Lager,2012-03-21 20:06:46,German-Style Pilsener,German Pilsener,"A classic German Pilsener is very light straw or golden in color and well hopped. Perception of hop bitterness is medium to high. Noble-type hop aroma and flavor are moderate and quite obvious. It is a well-attenuated, medium-light bodied beer, but a malty residual sweetness can be perceived in aroma and flavor. Very low levels of sweet corn-like dimethylsulfide (DMS) character are below most beer drinkers' taste thresholds and are usually not detectable except to the trained or sensitive palate. Other fermentation or hop related sulfur compounds, when perceived at low levels, may be characteristic of this style. Fruity esters and diacetyl should not be perceived. There should be no chill haze. Its head should be dense and rich.",25,40,4,5,3,4,1.044,1.006,1.012,2012-03-21 20:06:46,2015-04-07 15:35:59,35,,1,1.048,,,,1,Year Round,Available year round as a staple beer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DyNPlC,11/11 India Pale Ale,11/11 India Pale Ale,,,30,N,verified,Verified,2014-05-06 13:08:12,2015-12-17 11:48:16,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,,,,,,,https://s3.amazonaws.com/brewerydbapi/beer/DyNPlC/upload_71zbue-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/DyNPlC/upload_71zbue-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/DyNPlC/upload_71zbue-large.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hNPjUO,1100 Wheat Wine,1100 Wheat Wine,,11.5,35,N,verified,Verified,2012-01-03 02:42:36,2014-10-09 14:32:53,35,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Wheat Wine Ale,Wheatwine,"American style wheat wines range from gold to deep amber and are brewed with 50% or more wheat malt. They have full body and high residual malty sweetness. Perception of bitterness is moderate to medium -high. Fruity-ester characters are often high and counterbalanced by complexity of alcohols and high alcohol content. Hop aroma and flavor are at low to medium levels. Very low levels of diacetyl may be acceptable. Bready, wheat, honey-like and/or caramel aroma and flavor are often part of the character. Phenolic yeast character, sulfur, and/or sweet corn-like dimethylsulfide (DMS) should not be present. Oxidized, stale and aged characters are not typical of this style. Chill haze is allowable.",45,85,8.4,12,8,15,1.088,1.024,1.032,2012-03-21 20:06:46,2015-04-07 15:27:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ySo6qj,110K+OT Batch #1,110K+OT Batch #1,Der Rauch Gott (Imperial Smoked Ale),11.4,129,N,verified,Verified,2012-01-03 02:42:36,2015-12-16 08:15:01,129,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Smoke Beer (Lager or Ale),Smoke Beer,Any style of beer can be smoked; the goal is to reach a balance between the style's character and the smoky properties. Type of wood or other sources of smoke should be specified as well as the style the beer is based upon.,,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:45:19,,,2,,,,,2,Limited,Limited availability.,,,https://s3.amazonaws.com/brewerydbapi/beer/ySo6qj/upload_L6NBT9-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/ySo6qj/upload_L6NBT9-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/ySo6qj/upload_L6NBT9-large.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1QEd4I,110K+OT Batch #2,110K+OT Batch #2,I.R.I.S (India Russian Imperial Stout),11.4,43,N,verified,Verified,2013-02-12 11:44:06,2015-12-17 01:01:56,43,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Imperial Stout,American Imperial Stout,"Black in color, American-style imperial stouts typically have a high alcohol content. Generally characterized as very robust. The extremely rich malty flavor and aroma are balanced with assertive hopping and fruity-ester characteristics. Bitterness should be moderately high to very high and balanced with full sweet malt character. Roasted malt astringency and bitterness can be moderately perceived but should not overwhelm the overall character. Hop aroma is usually moderately-high to overwhelmingly hop-floral, -citrus or -herbal. Diacetyl (butterscotch) levels should be absent.",50,80,7,12,40,40,1.08,1.02,1.03,2012-03-21 20:06:46,2015-04-07 15:28:49,,,2,,,,,2,Limited,Limited availability.,,,https://s3.amazonaws.com/brewerydbapi/beer/1QEd4I/upload_JCw6qU-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/1QEd4I/upload_JCw6qU-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/1QEd4I/upload_JCw6qU-large.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
djxRDj,110K+OT Batch #3,110K+OT Batch #3,,10,31,N,verified,Verified,2013-02-12 11:44:26,2015-12-16 22:49:22,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,110,,2,,,,,2,Limited,Limited availability.,,,https://s3.amazonaws.com/brewerydbapi/beer/djxRDj/upload_NKTg88-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/djxRDj/upload_NKTg88-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/djxRDj/upload_NKTg88-large.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3gFNA,110K+OT Batch #4,110K+OT Batch #4,,10.1,32,N,verified,Verified,2013-02-12 11:45:03,2015-12-16 22:50:39,32,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,"American amber/red ales range from light copper to light brown in color. They are characterized by American-variety hops used to produce the perception of medium hop bitterness, flavor, and medium aroma. Amber ales have medium-high to high maltiness with medium to low caramel character. They should have medium to medium-high body. The style may have low levels of fruityester flavor and aroma. Diacetyl can be either absent or barely perceived at very low levels. Chill haze is allowable at cold temperatures. Slight yeast haze is acceptable for bottle-conditioned products.",30,40,4.5,6,11,18,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,,,2,,,,,2,Limited,Limited availability.,,,https://s3.amazonaws.com/brewerydbapi/beer/G3gFNA/upload_1kSx6r-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/G3gFNA/upload_1kSx6r-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/G3gFNA/upload_1kSx6r-large.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CJXVvn,11th Anniversary Lager,11th Anniversary Lager,"A new twist on an old classic, we started with the basis of a nice German-style lager but then went all Pacific Northwest on it using assertive American hops like Cascade, Chinook and Columbus. Light bodied, golden in color with a clean malty backbone and infused with a touch of hop goodness.   Neo-American Lager",5,112,N,verified,Verified,2015-04-24 21:17:40,2015-04-24 21:17:40,112,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Light American Wheat Ale or Lager with Yeast,Wheat Ale,"This beer can be made using either ale or lager yeast. It can be brewed with 30 to 75 percent wheat malt, and hop rates may be low to medium. Hop characters may be light to moderate in bitterness, flavor and aroma. Fruity-estery aroma and flavor are typical but at low levels however, phenolic, clove-like characteristics should not be perceived. Color is usually straw to light amber, and the body should be light to medium in character. Diacetyl should not be perceived. Because this style is served with yeast the character should portray a full yeasty mouthfeel and appear hazy to very cloudy. Chill haze is also acceptable. Yeast flavor and aroma should be low to medium but not overpowering the balance and character of malt and hops. These beers are typically served with the yeast in the bottle, and are cloudy when served.",10,35,3.5,5.5,4,10,1.036,1.006,1.018,2012-03-21 20:06:46,2015-04-07 15:42:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
