id,name,nameDisplay,description,abv,ibu,glasswareId,availableId,styleId,isOrganic,labels/icon,labels/medium,labels/large,status,statusDisplay,createDate,updateDate,glass/id,glass/name,glass/createDate,available/id,available/name,available/description,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,style/createDate,style/updateDate,srmId,srm/id,srm/name,srm/hex,servingTemperature,servingTemperatureDisplay,originalGravity,style/ogMax,foodPairings
eUFQzN,100 Barrel Series #11 Framboise,100 Barrel Series #11 Framboise,"Framboise, French for ""raspberry"", is a Belgian-style fruit lambic. Made with more than 4,600 pounds of raspberries, 50% wheat at a gravity of 14°p it has all the makings of a great summer time beer. Highly carbonated, it produces a wonderfully pink, lacey head. The burgundy color foretells of intense raspberry aromas. A nice, sweet start finishing with a tart and acidic finish that is light and refreshing.",5.3,8,,2,68,N,,,,verified,Verified,2012-03-21 02:02:24,2012-03-22 13:05:53,,,,2,Limited,Limited availability.,68,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Fruit Lambic,Fruit Lambic,"These beers, also known by the names framboise, kriek, peche, cassis, etc., are characterized by fruit flavors and aromas. The color reflects the choice of fruit. Sourness is an important part of the flavor profile, though sweetness may compromise the intensity. These flavored lambic beers may be very dry or mildly sweet and range from a dry to a full-bodied mouthfeel. Characteristic horsey, goaty, leathery and phenolic character evolved from Brettanomyces yeast is often present at moderate levels. Vanillin and other woody flavors should not be evident. Versions of this beer made outside of the Brussels area of Belgium cannot be true lambics. These versions are said to be ""lambic-style"" and may be made to resemble many of the beers of true origin. Historically, traditional lambics are dry and completely attenuated, exhibiting no residual sweetness either from malt, sugar, fruit or artificial sweeteners. Some versions often have a degree of sweetness, contributed by fruit sugars, other sugars or artificial sweeteners. Competition organizers may choose to subcategorize this style into A) Traditional and B) Sweet.  Artificial sweeteners are sometimes used in some brands.",15,21,5.6,8.6,,,1.04,1.008,1.016,2012-03-21 20:06:46,2015-04-07 15:32:47,,,,,,,,,
BDMCNd,100 Barrel Series #12 Imperial Stout,100 Barrel Series #12 Imperial Stout,"Imperial Stout had its noble beginnings in the late 18th century to appease the Tsarist courts of Empress Catherine II. With an original gravity of 19° P, high percentages of roasted barley, brown and caramel malts, and the finest noble English hops, this beer will surely keep the winter chill off.",7.7,50,,2,43,N,,,,verified,Verified,2012-03-21 02:00:09,2015-05-18 21:54:44,,,,2,Limited,Limited availability.,43,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Imperial Stout,American Imperial Stout,"Black in color, American-style imperial stouts typically have a high alcohol content. Generally characterized as very robust. The extremely rich malty flavor and aroma are balanced with assertive hopping and fruity-ester characteristics. Bitterness should be moderately high to very high and balanced with full sweet malt character. Roasted malt astringency and bitterness can be moderately perceived but should not overwhelm the overall character. Hop aroma is usually moderately-high to overwhelmingly hop-floral, -citrus or -herbal. Diacetyl (butterscotch) levels should be absent.",50,80,7,12,40,40,1.08,1.02,1.03,2012-03-21 20:06:46,2015-04-07 15:28:49,,,,,,,,,
hwSxlt,100 Barrel Series #13 Kellerbier,100 Barrel Series #13 Kellerbier,"Our Kellerbier is made in the German style that is traditionally matured in un-bunged wooden barrels in caves. The lower alcohol and low carbonation accent the balance between the generous amounts of German malts and hops used to make this beer. Surprisingly thirst quenching, this beer goes wonderfully with many different food styles—or by itself. Prosit! (Cheers!)",5.2,45,,2,125,N,,,,verified,Verified,2012-03-21 01:57:43,2015-04-14 14:37:45,,,,2,Limited,Limited availability.,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,,,,,,,,,
qzIXJa,100 Barrel Series #2 Wit Beer,100 Barrel Series #2 Wit Beer,"Our Wit features a cloudy yellow body with a rich white head. The nose is simply beautiful: curacao, orange peel, and coriander dominate. Light bodied with a soft yeast and spice mix, it finishes smooth with a slight tartness and spice. The perfect beer for a summer afternoon.",4.5,20,,2,65,N,,,,verified,Verified,2012-03-21 01:55:38,2014-07-02 23:12:51,,,,2,Limited,Limited availability.,65,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style White (or Wit) / Belgian-Style Wheat,Witbier,Belgian white ales are very pale in color and are brewed using unmalted wheat and malted barley and are spiced with coriander and orange peel. Coriander and light orange peel aroma should be perceived as such or as an unidentified spiciness. Phenolic spiciness and yeast flavors may be evident at mild levels. These beers are traditionally bottle conditioned and served cloudy. An unfiltered starch and yeast haze should be part of the appearance. The low to medium body should have some degree of creaminess from wheat starch. The style is further characterized by the use of noble-type hops to achieve low hop bitterness and little to no apparent hop flavor. This beer has no diacetyl and a low to medium fruity-ester level. Mild acidity is appropriate.,10,17,4.8,5.2,2,4,1.044,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:32:30,,,,,,,,,
TJ1LT1,100 Barrel Series #3 Abbey Style Ale,100 Barrel Series #3 Abbey Style Ale,"Our version of this classic Belgian style is slightly cloudy with a deep golden color. The complex, fruity aroma is a result of the esters produced by our special yeast. The soft malty flavor finishes smoothly with a slight sweetness.",6.5,22,,2,70,N,,,,verified,Verified,2012-03-21 01:56:08,2012-03-22 13:05:53,,,,2,Limited,Limited availability.,70,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Other Belgian-Style Ales,Belgian Ale,"Recognizing the uniqueness and traditions of several other styles of Belgian Ales, the beers entered in this category will be assessed on the merits that they do not fit existing style guidelines and information that the brewer provides explaining the history and tradition of the style. Balance of character is a key component when assessing these beers. Barrel or wood-aged entries in competitions may be directed to other categories by competition director. In competitions the brewer must provide the historical or regional tradition of the style, or his interpretation of the style, in order to be assessed properly by the judges.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:33:05,,,,,,,,,
Gn1xK0,100 Barrel Series #31 -  Single Hop ESB,100 Barrel Series #31 -  Single Hop ESB,"The 31st offering from the Harpoon 100 Barrel Series is the Single Hop ESB, brewed by Harpoon brewer Charlie Cummings. Already excited about crafting an Extra Special Bitter, Charlie jumped at the rare opportunity to brew this beer using one hop varietal, Delta, exclusively throughout the process.",5.8,38,5,2,5,N,,,,verified,Verified,2012-01-03 02:43:10,2015-06-02 20:47:54,5,Pint,2012-01-03 02:41:33,2,Limited,Limited availability.,5,1,1,British Origin Ales,2012-03-21 20:06:45,Extra Special Bitter,ESB,"Extra special bitter possesses medium to strong hop aroma, flavor, and bitterness. The residual malt and defining sweetness of this richly flavored, full-bodied bitter is more pronounced than in other styles of bitter. It is light amber to copper colored with medium to medium-high bitterness. Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity-ester character is acceptable in aroma and flavor. Diacetyl (butterscotch character) is acceptable and characteristic when at very low levels. The absence of diacetyl is also acceptable. Chill haze is allowable at cold temperatures. English or American hops may be used. (English and American hop character may be specified in subcategories.)",30,45,4.8,5.8,8,14,1.046,1.01,1.016,2012-03-21 20:06:45,2015-04-07 15:19:20,,,,,,,,,
xtVLLZ,100 Barrel Series #33 - Glacier Harvest '10 Wet Hop Ale,100 Barrel Series #33 - Glacier Harvest '10 Wet Hop Ale,"For the 33rd session of the Harpoon 100 Barrel Series, we’re using locally grown hops and malted barley in our Glacier Harvest Wet Hop Ale, a pale ale made with fresh Glacier hops.",6.7,38,5,2,25,N,,,,verified,Verified,2012-01-03 02:43:16,2015-06-04 16:40:03,5,Pint,2012-01-03 02:41:33,2,Limited,Limited availability.,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,,,,,,,,
xboODl,100 Barrel Series #34 Oak Aged Dunkel,100 Barrel Series #34 Oak Aged Dunkel,,5.7,,,,52,N,,,,verified,Verified,2014-11-16 18:39:55,2014-11-20 16:38:39,,,,,,,52,4,4,German Origin Ales,2012-03-21 20:06:46,South German-Style Dunkel Weizen / Dunkel Weissbier,Dunkelweizen,"This beer style is characterized by a distinct sweet maltiness and a chocolate-like character from roasted malt. Estery and phenolic elements of this Weissbier should be evident but subdued. Color can range from copper-brown to dark brown. Dunkel Weissbier is well attenuated and very highly carbonated, and hop bitterness is low. Hop flavor and aroma are absent. Usually dark barley malts are used in conjunction with dark cara or color malts, and the percentage of wheat malt is at least 50 percent. If this is served with yeast, the beer may be appropriately very cloudy. No diacetyl should be perceived.",10,15,4.8,5.4,10,19,1.048,1.008,1.016,2012-03-21 20:06:46,2015-04-07 15:30:09,,,,,,,,,
C8c8j9,100 Barrel Series #38 - Dočesná Czech,100 Barrel Series #38 - Dočesná Czech,"Beer has inspired traditions and celebrations across the world. As brewers, there is one festival in particular that has intrigued us because it is devoted to a single beer ingredient: hops. The Dočesná hop festival celebrates the harvest of hops, grown in the area surrounding the Bohemian city of Zatec. The area has a long history as one of the world’s eminent hop growing regions.  This is commemorated annually with music, dancing, hop-picking competitions, and beer drinking.  An inspiration indeed for brewing a beer! 
 
This deep chestnut colored ale uses Sládek hops imported from the Zatec region. The Sladek hops provide a clean, slightly bitter but smooth finish. With a medium body, it is well balanced beer.  A great choice for celebrations.",6.1,35,5,2,125,N,https://s3.amazonaws.com/brewerydbapi/beer/C8c8j9/upload_6nVvCZ-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/C8c8j9/upload_6nVvCZ-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/C8c8j9/upload_6nVvCZ-large.png,verified,Verified,2012-01-03 02:43:05,2015-12-16 09:58:54,5,Pint,2012-01-03 02:41:33,2,Limited,Limited availability.,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,,,,,,,1.062,,
VXcVrg,100 Barrel Series #39 - Vermont Spruce Tip Ale,100 Barrel Series #39 - Vermont Spruce Tip Ale,,7,38,5,2,125,N,https://s3.amazonaws.com/brewerydbapi/beer/VXcVrg/upload_RT7Zk5-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/VXcVrg/upload_RT7Zk5-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/VXcVrg/upload_RT7Zk5-large.png,verified,Verified,2012-01-03 02:44:27,2015-12-16 13:53:25,5,Pint,2012-01-03 02:41:33,2,Limited,Limited availability.,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,,,,,,,,,
