id,name,nameDisplay,description,abv,availableId,styleId,isOrganic,labels/icon,labels/medium,labels/large,status,statusDisplay,createDate,updateDate,available/id,available/name,available/description,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,style/createDate,style/updateDate,ibu,originalGravity,glasswareId,servingTemperature,servingTemperatureDisplay,glass/id,glass/name,glass/createDate,srmId,srm/id,srm/name,srm/hex,foodPairings,year
W93OE7,7 Hop,7 Hop,"This is John Maier's secret recipe that blends all seven hops grown in the hopyard of Rogue Farms. It is a true taste of the terroir of the Wigrich Appellation, the oldest hops growing region in Oregon.",7.77,1,30,N,https://s3.amazonaws.com/brewerydbapi/beer/W93OE7/upload_IPXSHF-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/W93OE7/upload_IPXSHF-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/W93OE7/upload_IPXSHF-large.png,verified,Verified,2013-11-13 02:05:56,2016-05-18 10:00:12,1,Year Round,Available year round as a staple beer.,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,90,1.074,5,,,5,Pint,2012-01-03 02:41:33,17,17,17,B04500,"Beef, Hot & Spicy",
TYV2z6,7 Swans-A-Swimming,7 Swans-A-Swimming (2014),"Delightfully malty Belgian-style quadrupel.  Notes of caramel, raisins, and fruity yeast.",11,2,60,N,https://s3.amazonaws.com/brewerydbapi/beer/TYV2z6/upload_sX6lRe-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/TYV2z6/upload_sX6lRe-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/TYV2z6/upload_sX6lRe-large.png,verified,Verified,2014-09-10 22:07:10,2015-12-17 16:43:26,2,Limited,Limited availability.,60,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Quadrupel,Belgian Quad,"Quadrupels or ""Quads"" are characterized by the immense presence of alcohol and balanced flavor, bitterness and aromas. Its color is deep amber to rich chestnut/garnet brown. Often characterized by a mousse-like dense, sometimes amber head will top off a properly poured and served quad. Complex fruity aroma and flavor emerge reminiscent of raisins, dates, figs, grapes, plums often accompanied with a hint of winy character. Caramel, dark sugar and malty sweet flavors and aromas can be intense, not cloying, while complementing fruitiness. Though well attenuated it usually has a full, creamy body. Hop characters do not dominate; low to low-medium bitterness is perceived. Perception of alcohol can be extreme. Clove-like phenolic flavor and aroma should not be evident. Chill haze is acceptable at low serving temperatures. Diacetyl and DMS should not be perceived. Well balanced with savoring/sipping drinkability. Oxidative character if evident in aged Quads should be mild and pleasant.",25,50,9,14,8,20,1.084,1.014,1.02,2012-03-21 20:06:46,2015-04-07 15:33:33,15,,8,cool,Cool - (8-12C/45-54F),8,Tulip,2012-01-03 02:41:33,20,20,20,9B3200,Your favorite Christmas meal.,2014
WrRWfX,72 Eldorado Ale,72 Eldorado Ale,,,,,N,https://s3.amazonaws.com/brewerydbapi/beer/WrRWfX/upload_jhw0fH-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/WrRWfX/upload_jhw0fH-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/WrRWfX/upload_jhw0fH-large.png,verified,Verified,2012-01-03 02:42:37,2012-03-22 13:05:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MqTIG4,72 Imperial,72 Imperial,"Just sit back and enjoy the ride.

Brewed with chocolate from Colorado's very own Rocky Mountain Chocolate Factory, Inc., this Imperial Chocolate Cream Stout is full of rich, toasted chocolate notes with hints of dark fruit. 72 Imperial will take you where you need to go. Just sit back and enjoy the ride.",7.2,2,44,N,https://s3.amazonaws.com/brewerydbapi/beer/MqTIG4/upload_0mNn6W-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/MqTIG4/upload_0mNn6W-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/MqTIG4/upload_0mNn6W-large.png,verified,Verified,2014-07-17 14:35:54,2015-12-17 15:22:33,2,Limited,Limited availability.,44,3,3,North American Origin Ales,2012-03-21 20:06:45,Specialty Stouts,Stout,"See British Origin American-Style Imperial Porter Imperial porters are very dark brown to black in color. No roast barley or strong burnt/astringent black malt character should be perceived. Medium malt, caramel and cocoa-like sweetness should be in harmony with medium-low to medium hop bitterness. This is a full bodied beer. Ale-like fruity esters should be evident but not overpowering and compliment malt derived sweetness and hop character. Hop flavor and aroma may vary from being low to medium-high. Diacetyl (butterscotch) levels should be absent.",35,50,7,12,40,40,1.08,1.02,1.03,2012-03-21 20:06:46,2015-04-07 15:28:58,11,,,,,,,,,,,,,
ovCoQh,75 Minute IPA,75 Minute IPA,"Blend two Dogfish Head favorites, add maple syrup and carbonate the mixture naturally. What do you get? 75 Minute IPA.
The carbon dioxide trapped during bottle conditioning gives 75 Minute IPA a soft and velvety mouthfeel. Dry-hopped with whole-leaf Cascades, this complex IPA has been known to inspire pilgrimages to our brewpub.
Now we're sharing this animated blend of 60 Minute and 90 Minute with the rest of our fans, 750 milliliters at a time.",7.5,2,30,N,https://s3.amazonaws.com/brewerydbapi/beer/ovCoQh/upload_xpdbny-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/ovCoQh/upload_xpdbny-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/ovCoQh/upload_xpdbny-large.png,verified,Verified,2012-01-03 02:42:37,2015-12-16 04:49:24,2,Limited,Limited availability.,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,,,13,13,13,CB6200,"Burgers, grilled meats, avocado",
Xl1rDs,75th Anniversary Ale,75th Anniversary Ale,West Point Pale Ale,5.2,2,25,N,https://s3.amazonaws.com/brewerydbapi/beer/Xl1rDs/upload_YG0sUa-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/Xl1rDs/upload_YG0sUa-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/Xl1rDs/upload_YG0sUa-large.png,verified,Verified,2012-01-03 02:42:37,2015-12-16 10:27:25,2,Limited,Limited availability.,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,38,,5,,,5,Pint,2012-01-03 02:41:33,,,,,,
2qGII9,77 Fremont Select,77 Fremont Select,"A crisp and refreshing spring wunderbeer, 77 Select is made with 7 choice ingredients and Fire Brewed in the pits of Fremont Brewing to achieve its rarefied Session IPA status. With this brew we respect Seattle's old Horlucks & Sicks Brewing Companies, predecessors of Rainier Brewing, and their flagship beers 66 Select and Rainier. ""Alcohol may not solve your provlems, but neither will water or milk."" -VWP",4,5,164,N,https://s3.amazonaws.com/brewerydbapi/beer/2qGII9/upload_3BKKlZ-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/2qGII9/upload_3BKKlZ-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/2qGII9/upload_3BKKlZ-large.png,verified,Verified,2012-11-25 13:32:30,2015-12-21 20:36:48,5,Spring,Available during the spring months.,164,3,3,North American Origin Ales,2012-03-21 20:06:45,Session India Pale Ale,Session IPA,"Session India Pale Ales are gold to copper. Chill haze is allowable at cold temperatures and hop haze is allowable at any temperature. Fruity-ester aroma is light to moderate. Hop aroma is medium to high with qualities from a wide variety of hops from all over the world. Low to medium maltiness is present. Hop flavor is strong, characterized by flavors from a wide variety of hops. Hop bitterness is medium to high. Fruity-ester flavors are low to moderate. Diacetyl is absent or at very low levels. Body is low to medium.",,,,,,,,,,2015-04-07 17:07:27,,,,5,,,5,Pint,2012-01-03 02:41:33,,,,,,
M522pB,77 Lager,77 Lager,"A Lager that actually tastes of something?

You have to be kidding, right?

77 lager is made with 100% malt and whole leaf hops.

It contains no preservatives, additives, cheap substitutes or any other junk.

Maybe we are crazy. So what?

Taste 77 Lager and we are pretty sure you will agree that the fine line between genius and insanity has just become a little more blurred.",4.9,3,75,N,https://s3.amazonaws.com/brewerydbapi/beer/M522pB/upload_faJ412-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/M522pB/upload_faJ412-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/M522pB/upload_faJ412-large.png,verified,Verified,2012-01-03 02:42:37,2015-12-16 05:45:12,3,Not Available,Beer is not available.,75,7,7,European-germanic Lager,2012-03-21 20:06:46,German-Style Pilsener,German Pilsener,"A classic German Pilsener is very light straw or golden in color and well hopped. Perception of hop bitterness is medium to high. Noble-type hop aroma and flavor are moderate and quite obvious. It is a well-attenuated, medium-light bodied beer, but a malty residual sweetness can be perceived in aroma and flavor. Very low levels of sweet corn-like dimethylsulfide (DMS) character are below most beer drinkers' taste thresholds and are usually not detectable except to the trained or sensitive palate. Other fermentation or hop related sulfur compounds, when perceived at low levels, may be characteristic of this style. Fruity esters and diacetyl should not be perceived. There should be no chill haze. Its head should be dense and rich.",25,40,4,5,3,4,1.044,1.006,1.012,2012-03-21 20:06:46,2015-04-07 15:35:59,35,,5,,,5,Pint,2012-01-03 02:41:33,,,,,,
grBMfJ,7th Anniversary Ale,7th Anniversary Ale,,10,2,125,N,https://s3.amazonaws.com/brewerydbapi/beer/grBMfJ/upload_vcNpRO-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/grBMfJ/upload_vcNpRO-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/grBMfJ/upload_vcNpRO-large.png,verified,Verified,2013-04-26 11:43:45,2015-12-17 02:33:59,2,Limited,Limited availability.,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,,,,,,,,,,,,,,
YNP1P7,7th Street Wheat,7th Street Wheat,"“7th Street Wheat” started out as our Summer seasonal, but due to its popularity has made its own place in our year round ales.  Named in honor of the 7th Street wharf across the street from the brewery, this filtered wheat ale is light-bodied American style with pounds of fresh lemon basil added after fermentation.  The light citrus taste with a hint of spicy herb on the back goes well with almost any seafood dish, and from what we hear, is a favorite at bars as a stand alone refreshing beer.",4.5,1,113,N,https://s3.amazonaws.com/brewerydbapi/beer/YNP1P7/upload_j9jiX0-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/YNP1P7/upload_j9jiX0-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/YNP1P7/upload_j9jiX0-large.png,verified,Verified,2014-09-17 21:07:17,2015-12-17 17:05:40,1,Year Round,Available year round as a staple beer.,113,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Light American Wheat Ale or Lager without Yeast,Wheat Ale,"This beer can be made using either ale or lager yeast. It can be brewed with 30 to 75 percent wheat malt, and hop rates may be low to medium. Hop characters may be light to moderate in bitterness, flavor and aroma. A fruity-estery aroma and flavor are typical but at low levels however, phenolic, clove-like characteristics should not be perceived. Appearance can be clear or with chill haze, golden to light amber, and the body should be light to medium in character. Diacetyl should not be perceived. Because this style is packaged and served without yeast, no yeast characters should be evident in mouthfeel, flavor, or aroma.",10,35,3.8,5,2,10,1.036,1.004,1.016,2012-03-21 20:06:46,2015-04-07 15:42:53,,,,cold,Cold - (4-7C/39-45F),,,,,,,,,
Jra85l,8 Ball Rye IPA,8 Ball Rye IPA,,6.2,,30,N,https://s3.amazonaws.com/brewerydbapi/beer/Jra85l/upload_f6uKCT-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/Jra85l/upload_f6uKCT-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/Jra85l/upload_f6uKCT-large.png,verified,Verified,2015-02-16 18:41:35,2015-12-17 21:04:04,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,65,,,,,,,,,,,,,
obLB4O,8 Hop IPA,8 Hop IPA,"In a bold collaboration with Mother Nature, we grow our own varieties of aroma hops at Rogue Farms in Independence, OR. We also string, stake, train, test, trim, separate, sort, kiln and cool them. Brewmaster John Maier meticulously selected and blended 8 varieties of our hops to create the big, beautiful bite of our 8 Hop IPA.",8.88,1,30,N,https://s3.amazonaws.com/brewerydbapi/beer/obLB4O/upload_M3T6SQ-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/obLB4O/upload_M3T6SQ-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/obLB4O/upload_M3T6SQ-large.png,verified,Verified,2015-11-30 20:17:37,2015-12-18 05:42:29,1,Year Round,Available year round as a staple beer.,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,,,,,,,,
stnoot,8 Maids-A-Milking,8 Maids-A-Milking (2015),,11.5,2,20,N,https://s3.amazonaws.com/brewerydbapi/beer/stnoot/upload_AxxOIo-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/stnoot/upload_AxxOIo-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/stnoot/upload_AxxOIo-large.png,verified,Verified,2015-10-30 14:55:10,2016-01-04 19:48:26,2,Limited,Limited availability.,20,1,1,British Origin Ales,2012-03-21 20:06:45,Sweet or Cream Stout,Sweet Stout,"Sweet stouts, also referred to as cream stouts, have less roasted bitter flavor and a full-bodied mouthfeel. The style can be given more body with milk sugar (lactose) before bottling. Malt sweetness, chocolate, and caramel flavor should dominate the flavor profile and contribute to the aroma. Hops should balance and suppress some of the sweetness without contributing apparent flavor or aroma. The overall impression should be sweet and full-bodied.",15,25,3,6,40,40,1.045,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:24:41,,,,,,,,,40,40,40,36080A,,2015
fcNBEz,8 Malty Nights,8 Malty Nights,,6.5,4,18,N,https://s3.amazonaws.com/brewerydbapi/beer/fcNBEz/upload_t8c5Iy-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/fcNBEz/upload_t8c5Iy-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/fcNBEz/upload_t8c5Iy-large.png,verified,Verified,2012-10-29 15:28:10,2015-12-16 20:31:38,4,Seasonal,"Available at the same time of year, every year.",18,1,1,British Origin Ales,2012-03-21 20:06:45,Brown Porter,Brown Porter,"Brown porters are mid to dark brown (may have red tint) in color. No roast barley or strong burnt/black malt character should be perceived. Low to medium malt sweetness, caramel and chocolate is acceptable along with medium hop bitterness. This is a lightto medium-bodied beer. Fruity esters are acceptable. Hop flavor and aroma may vary from being negligible to medium in character.",20,30,4.5,6,20,35,1.04,1.006,1.014,2012-03-21 20:06:45,2015-04-07 15:21:43,,,,,,,,,,,,,,
bKbI5d,8 Point Porter,8 Point Porter,,5.3,,18,N,https://s3.amazonaws.com/brewerydbapi/beer/bKbI5d/upload_pIIxq2-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/bKbI5d/upload_pIIxq2-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/bKbI5d/upload_pIIxq2-large.png,verified,Verified,2015-02-11 12:51:41,2015-12-17 22:12:13,,,,18,1,1,British Origin Ales,2012-03-21 20:06:45,Brown Porter,Brown Porter,"Brown porters are mid to dark brown (may have red tint) in color. No roast barley or strong burnt/black malt character should be perceived. Low to medium malt sweetness, caramel and chocolate is acceptable along with medium hop bitterness. This is a lightto medium-bodied beer. Fruity esters are acceptable. Hop flavor and aroma may vary from being negligible to medium in character.",20,30,4.5,6,20,35,1.04,1.006,1.014,2012-03-21 20:06:45,2015-04-07 15:21:43,,,,,,,,,,,,,,
zZyHav,8 Second,8 Second,,4.2,,45,N,https://s3.amazonaws.com/brewerydbapi/beer/zZyHav/upload_gXIs3t-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/zZyHav/upload_gXIs3t-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/zZyHav/upload_gXIs3t-large.png,verified,Verified,2012-11-14 14:12:52,2015-12-16 21:40:41,,,,45,4,4,German Origin Ales,2012-03-21 20:06:46,German-Style Kölsch / Köln-Style Kölsch,Kölsch,"Kölsch is warm fermented and aged at cold temperatures (German ale or alt-style beer). Kölsch is characterized by a golden to straw color and a slightly dry, subtly sweet softness on the palate, yet crisp. Good, dense head retention is desirable. Light pearapple-Riesling wine-like fruitiness may be apparent, but is not necessary for this style. Caramel character should not be evident. The body is light to medium-light. This beer has low hop flavor and aroma with medium bitterness. Wheat can be used in brewing this beer. Ale yeast is used for fermentation, though lager yeast is sometimes used in the bottle or final cold conditioning process. Fruity esters should be minimally perceived, if at all. Chill haze should be absent.",18,25,4.8,5.3,4,6,1.042,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:29:04,12,1.044,13,,,13,Willi,2012-01-03 02:41:33,2,2,2,FFD878,"Lemon Pepper Shrimp, Rocky Mountain Oysters, and Salads",
1F19Gl,8 Tentacles,8 Tentacles,,9,,31,N,https://s3.amazonaws.com/brewerydbapi/beer/1F19Gl/upload_94lMms-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/1F19Gl/upload_94lMms-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/1F19Gl/upload_94lMms-large.png,verified,Verified,2013-11-12 02:23:36,2015-12-17 06:24:47,,,,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,,,,,,,,,,,,,
5uAHpz,8+35=20 Pilot Project,8+35=20 Pilot Project,"Two mash tuns, two sparge arms and one boil kettle. Add in 80lbs of grain and 35 gallons of water to achieve 20 gallons of beer. To balance it out, 175 IBUs. No question, this is an absolutely insane way to make a beer. It took all day, but we love the result.

We won’t make a beer this way again and hope you enjoy this limited unique offering.",12,3,43,N,https://s3.amazonaws.com/brewerydbapi/beer/5uAHpz/upload_botzCW-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/5uAHpz/upload_botzCW-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/5uAHpz/upload_botzCW-large.png,verified,Verified,2012-01-03 02:42:38,2015-12-16 07:18:11,3,Not Available,Beer is not available.,43,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Imperial Stout,American Imperial Stout,"Black in color, American-style imperial stouts typically have a high alcohol content. Generally characterized as very robust. The extremely rich malty flavor and aroma are balanced with assertive hopping and fruity-ester characteristics. Bitterness should be moderately high to very high and balanced with full sweet malt character. Roasted malt astringency and bitterness can be moderately perceived but should not overwhelm the overall character. Hop aroma is usually moderately-high to overwhelmingly hop-floral, -citrus or -herbal. Diacetyl (butterscotch) levels should be absent.",50,80,7,12,40,40,1.08,1.02,1.03,2012-03-21 20:06:46,2015-04-07 15:28:49,175,,,cellar,Cellar - (12-14C/54-57F),,,,,,,,,
GANyEU,8-Ball Stout,8-Ball Stout,,,,42,N,https://s3.amazonaws.com/brewerydbapi/beer/GANyEU/upload_rwQwSU-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/GANyEU/upload_rwQwSU-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/GANyEU/upload_rwQwSU-large.png,verified,Verified,2012-01-03 02:42:38,2015-12-15 21:56:36,,,,42,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Stout,American Stout,"Initial low to medium malt sweetness with a degree of caramel, chocolate and/or roasted coffee flavor with a distinctive dryroasted bitterness in the finish. Coffee-like roasted barley and roasted malt aromas are prominent. Some slight roasted malt acidity is permissible and a medium- to full-bodied mouthfeel is appropriate. Hop bitterness may be moderate to high. Hop aroma and flavor is moderate to high, often with American citrus-type and/or resiny hop character. The perception of fruity esters is low. Roasted malt/barley astringency may be low but not excessive. Diacetyl (butterscotch) should be negligible or not perceived. Head retention is excellent.",35,60,5.7,8.8,40,40,1.05,1.01,1.022,2012-03-21 20:06:46,2015-04-07 15:28:43,,,,,,,,,,,,,,
odItSS,8-Bit Pale Ale,8-Bit Pale Ale,"Just like a classic video game, 8-Bit Pale Ale seems at first spectacularly simple, but then you realize this beer is also remarkably complex and fun. Our “Hop Rocket” infuses the character of Australian-grown Galaxy Hops into an American Pale Ale, giving 8-Bit Pale Ale a uniquely tropical, almost melon-like aroma. A Hop-Rocket is a stainless steel vessel we pack full of hops, then “rocket” the beer through for seven hours before packaging. Hop-Rocketing adds those unique hops characters, flavors and aromas lost in the brewing process back into the beer.",5.2,1,25,N,https://s3.amazonaws.com/brewerydbapi/beer/odItSS/upload_jtRB3g-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/odItSS/upload_jtRB3g-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/odItSS/upload_jtRB3g-large.png,verified,Verified,2012-04-23 23:48:13,2015-12-16 16:59:48,1,Year Round,Available year round as a staple beer.,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,40,,5,,,5,Pint,2012-01-03 02:41:33,,,,,,
