id,name,nameDisplay,description,abv,ibu,srmId,styleId,isOrganic,labels/icon,labels/medium,labels/large,status,statusDisplay,createDate,updateDate,srm/id,srm/name,srm/hex,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/createDate,style/updateDate,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,glasswareId,availableId,servingTemperature,servingTemperatureDisplay,originalGravity,glass/id,glass/name,glass/createDate,available/id,available/name,available/description,foodPairings,year
myCAim,1st Street Ale,1st Street Ale,"This Blonde Ale is dedicated to the city of Katy, Texas. Because Katy was known for its rice farming, we decided to brew this beer with a touch of rice, giving it a smooth, clean, and crisp finish. Perfect for all occasions. Come try it at one of our tasting or look for it at shelf near you.",5,14,,36,N,https://s3.amazonaws.com/brewerydbapi/beer/myCAim/upload_6291q0-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/myCAim/upload_6291q0-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/myCAim/upload_6291q0-large.png,verified,Verified,2015-11-27 23:48:26,2015-12-18 06:21:49,,,,36,3,3,North American Origin Ales,2012-03-21 20:06:45,Golden or Blonde Ale,Blonde,"Golden or Blonde ales are straw to golden blonde in color. They have a crisp, dry palate, light to medium body, and light malt sweetness. Low to medium hop aroma may be present but does not dominate. Bitterness is low to medium. Fruity esters may be perceived but do not predominate. Diacetyl should not be perceived. Chill haze should be absent.",2012-03-21 20:06:46,2015-04-07 15:27:26,15,25,4,5,3,7,1.045,1.008,1.016,,,,,,,,,,,,,
uV2xqH,1ZENUFF,1ZENUFF,"Another huge IPA knocking you out with a four-hop blend of Apollo, Centennial, Crystal, and Chinook hops. This imperial IPA clocks in at 100 IBUs and 11% ABV, making it just a bit bigger than last fall's Unsessionable, and certainly the kind of beer that you'll need just one of. Toasted malt flavors lurking behind massive levels of hop bitterness and flavor with a punch of of hop aroma reminiscent of fresh citrus rind.",11,100,13,31,N,https://s3.amazonaws.com/brewerydbapi/beer/uV2xqH/upload_QsAI37-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/uV2xqH/upload_QsAI37-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/uV2xqH/upload_QsAI37-large.png,verified,Verified,2015-06-30 20:38:39,2015-12-18 03:33:50,13,13,CB6200,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",2012-03-21 20:06:45,2015-04-07 15:26:46,65,100,7.5,10.5,5,13,1.075,1.012,1.02,,2,,,,,,,2,Limited,Limited availability.,,
7D0RRo,2,2,,7.5,,,41,N,https://s3.amazonaws.com/brewerydbapi/beer/7D0RRo/upload_iqLnpA-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/7D0RRo/upload_iqLnpA-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/7D0RRo/upload_iqLnpA-large.png,verified,Verified,2014-03-26 12:14:42,2015-12-17 11:39:13,,,,41,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Black Ale,Black Ale,"American-style Black Ales are very dark to black and perceived to have medium high to high hop bitterness, flavor and aroma with medium-high alcohol content, balanced with a medium body. Fruity, floral and herbal character from hops of all origins may contribute character. The style is further characterized by a balanced and moderate degree of caramel malt and dark roasted malt flavor and aroma. High astringency and high degree of burnt roast malt character should be absent.",2012-03-21 20:06:46,2015-04-07 15:28:36,50,70,6,7.5,35,35,1.056,1.012,1.018,,,,,,,,,,,,,
CxBdtx,2 Anniversary Ale,2 Anniversary Ale,"Rich mahogany color with ruby highlights, we offer you our second anniversary beer. This oak aged Belgian style dark ale is one to enjoy now, or savor for years to come. We feel this is one small way we can show our appreciation for your continued support of our dream.",9,,,64,N,https://s3.amazonaws.com/brewerydbapi/beer/CxBdtx/upload_zpzpxm-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/CxBdtx/upload_zpzpxm-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/CxBdtx/upload_zpzpxm-large.png,verified,Verified,2012-01-03 02:42:37,2015-12-16 10:58:47,,,,64,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Dark Strong Ale,Belgian Dark Strong,"Belgian dark strong ales are amber to dark brown in color. Often, though not always, brewed with dark Belgian ""candy"" sugar, these beers can be well attenuated, ranging from medium to full-bodied. The perception of hop bitterness is low to medium, with hop flavor and aroma also in this range. Fruity complexity along with the soft flavors of roasted malts add distinct character. The alcohol strength of these beers can often be deceiving to the senses. The intensity of malt character can be rich, creamy, and sweet with intensities ranging from medium to high. Very little or no diacetyl is perceived. Herbs and spices are sometimes used to delicately flavor these strong ales. Low levels of phenolic spiciness from yeast byproducts may also be perceived. Chill haze is allowable at cold temperatures.",2012-03-21 20:06:46,2015-04-07 15:32:23,20,50,7,11,9,35,1.064,1.012,1.024,,3,,,,,,,3,Not Available,Beer is not available.,,
MdaCfM,2 Biggie,2 Biggie,,7.1,,,34,N,https://s3.amazonaws.com/brewerydbapi/beer/MdaCfM/upload_ALYMX8-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/MdaCfM/upload_ALYMX8-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/MdaCfM/upload_ALYMX8-large.png,verified,Verified,2014-10-23 04:10:39,2015-12-17 19:19:12,,,,34,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Barley Wine Ale,American Barleywine,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",2012-03-21 20:06:46,2015-04-07 15:27:08,60,100,8.4,12,11,22,1.09,1.024,1.028,,,,,,,,,,,,,
dyydfi,2 Bit,2 Bit,,,,,30,N,https://s3.amazonaws.com/brewerydbapi/beer/dyydfi/upload_otCF76-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/dyydfi/upload_otCF76-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/dyydfi/upload_otCF76-large.png,verified,Verified,2014-04-29 10:06:12,2015-12-17 12:41:08,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",2012-03-21 20:06:45,2015-04-07 15:26:37,50,70,6.3,7.5,6,14,1.06,1.012,1.018,,,,,,,,,,,,,
HCUkDv,2 Brothers Session IPA,2 Brothers Session IPA,"This session IPA is an American Style Pale Ale, Copper in color, mildly malty and packed with citrusy American Cascade hop flavor and aroma.",4.7,61,,164,N,https://s3.amazonaws.com/brewerydbapi/beer/HCUkDv/upload_g5BzaM-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/HCUkDv/upload_g5BzaM-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/HCUkDv/upload_g5BzaM-large.png,verified,Verified,2015-06-16 13:43:14,2015-12-18 02:39:22,,,,164,3,3,North American Origin Ales,2012-03-21 20:06:45,Session India Pale Ale,Session IPA,"Session India Pale Ales are gold to copper. Chill haze is allowable at cold temperatures and hop haze is allowable at any temperature. Fruity-ester aroma is light to moderate. Hop aroma is medium to high with qualities from a wide variety of hops from all over the world. Low to medium maltiness is present. Hop flavor is strong, characterized by flavors from a wide variety of hops. Hop bitterness is medium to high. Fruity-ester flavors are low to moderate. Diacetyl is absent or at very low levels. Body is low to medium.",2015-04-07 17:07:27,,,,,,,,,,,,1,,,,,,,1,Year Round,Available year round as a staple beer.,Buffalo Wings & Blue Cheese,
O9Yz5Y,2 HOP PALE – CENTENNIAL / APOLLO,2 HOP PALE – CENTENNIAL / APOLLO,"2 HOP PALE (CENTENNIAL / APOLLO) IS PART OF OUR 2 HOP SERIES, THIS PALE ALE IS HOPPED WITH CENTENNIAL AND APOLLO.",5.8,40,,25,N,https://s3.amazonaws.com/brewerydbapi/beer/O9Yz5Y/upload_c9JoY5-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/O9Yz5Y/upload_c9JoY5-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/O9Yz5Y/upload_c9JoY5-large.png,verified,Verified,2015-03-15 21:40:35,2015-12-17 22:25:52,,,,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",2012-03-21 20:06:45,2015-04-07 15:25:18,30,42,4.5,5.6,6,14,1.044,1.008,1.014,,,,,,,,,,,,,
SvbWfv,2 HOP PALE – EL DORADO / CALYPSO,2 HOP PALE – EL DORADO / CALYPSO,"2 HOP PALE (EL DORADO / CALYPSO) IS PART OF OUR 2 HOP SERIES, THIS PALE ALE IS HOPPED WITH EL DORADO AND CALYPSO.",5.8,40,,25,N,https://s3.amazonaws.com/brewerydbapi/beer/SvbWfv/upload_fKtbKu-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/SvbWfv/upload_fKtbKu-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/SvbWfv/upload_fKtbKu-large.png,verified,Verified,2015-03-15 20:27:41,2015-12-17 22:22:08,,,,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",2012-03-21 20:06:45,2015-04-07 15:25:18,30,42,4.5,5.6,6,14,1.044,1.008,1.014,,,,,,,,,,,,,
ApwNaX,2 HOP PALE – MOSAIC / EQUINOX,2 HOP PALE – MOSAIC / EQUINOX,"2 HOP PALE (MOSAIC / EQUINOX) IS PART OF OUR 2 HOP SERIES, THIS PALE ALE IS HOPPED WITH MOSAIC AND EQUINOX.",5.8,40,,25,N,https://s3.amazonaws.com/brewerydbapi/beer/ApwNaX/upload_ZWdEKc-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/ApwNaX/upload_ZWdEKc-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/ApwNaX/upload_ZWdEKc-large.png,verified,Verified,2015-03-15 20:40:39,2015-12-17 23:08:03,,,,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",2012-03-21 20:06:45,2015-04-07 15:25:18,30,42,4.5,5.6,6,14,1.044,1.008,1.014,,,,,,,,,,,,,
hZ38yn,2 HOP PALE – NELSON / MOTUEKA,2 HOP PALE – NELSON / MOTUEKA,"2 HOP SERIES, THIS PALE ALE IS HOPPED WITH NELSON AND MOTUEKA.",5.8,40,,25,N,https://s3.amazonaws.com/brewerydbapi/beer/hZ38yn/upload_CHYvbY-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/hZ38yn/upload_CHYvbY-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/hZ38yn/upload_CHYvbY-large.png,verified,Verified,2015-03-15 20:32:32,2015-12-17 23:40:22,,,,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",2012-03-21 20:06:45,2015-04-07 15:25:18,30,42,4.5,5.6,6,14,1.044,1.008,1.014,,,,,,,,,,,,,
zeiI4B,2 HOP PALE – POLARIS / AMARILLO,2 HOP PALE – POLARIS / AMARILLO,"2 HOP PALE (POLARIS / AMARILLO) IS PART OF OUR 2 HOP SERIES, THIS PALE ALE IS HOPPED WITH POLARIS AND AMARILLO.",5.8,40,,25,N,https://s3.amazonaws.com/brewerydbapi/beer/zeiI4B/upload_6NaF7g-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/zeiI4B/upload_6NaF7g-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/zeiI4B/upload_6NaF7g-large.png,verified,Verified,2015-03-15 20:19:47,2015-12-17 23:11:32,,,,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",2012-03-21 20:06:45,2015-04-07 15:25:18,30,42,4.5,5.6,6,14,1.044,1.008,1.014,,,,,,,,,,,,,
0THnEz,2 HOP PALE – SIMCOE / AMARILLO,2 HOP PALE – SIMCOE / AMARILLO,"2 HOP PALE (SIMCOE / AMARILLO) IS PART OF OUR 2 HOP SERIES, THIS PALE ALE IS HOPPED WITH SIMCOE & AMARILLO.",5.8,40,,25,N,https://s3.amazonaws.com/brewerydbapi/beer/0THnEz/upload_5Y1J54-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/0THnEz/upload_5Y1J54-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/0THnEz/upload_5Y1J54-large.png,verified,Verified,2015-03-15 21:43:06,2015-12-18 00:16:17,,,,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",2012-03-21 20:06:45,2015-04-07 15:25:18,30,42,4.5,5.6,6,14,1.044,1.008,1.014,,,,,,,,,,,,,
oRrA7s,2 Turtle Doves,2 Turtle Doves,"2 Turtle Doves is the second in the 12 Days/Years of Christmas Series. We decided to take our inspiration from the name and base the beer on the ""turtle"" candy, brewing it with cocoa nibs, toasted pecans, caramelized sugar and a lot of caramel malts. Somewhere between a Belgian-style Dark Strong Ale and an Imperial Porter, this beer is designed to take the journey through time until 12 Drummers Drumming.",12,25,30,64,N,https://s3.amazonaws.com/brewerydbapi/beer/oRrA7s/upload_TixzR5-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/oRrA7s/upload_TixzR5-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/oRrA7s/upload_TixzR5-large.png,verified,Verified,2012-01-03 02:42:37,2015-12-16 13:58:04,30,30,600903,64,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Dark Strong Ale,Belgian Dark Strong,"Belgian dark strong ales are amber to dark brown in color. Often, though not always, brewed with dark Belgian ""candy"" sugar, these beers can be well attenuated, ranging from medium to full-bodied. The perception of hop bitterness is low to medium, with hop flavor and aroma also in this range. Fruity complexity along with the soft flavors of roasted malts add distinct character. The alcohol strength of these beers can often be deceiving to the senses. The intensity of malt character can be rich, creamy, and sweet with intensities ranging from medium to high. Very little or no diacetyl is perceived. Herbs and spices are sometimes used to delicately flavor these strong ales. Low levels of phenolic spiciness from yeast byproducts may also be perceived. Chill haze is allowable at cold temperatures.",2012-03-21 20:06:46,2015-04-07 15:32:23,20,50,7,11,9,35,1.064,1.012,1.024,8,2,,,,8,Tulip,2012-01-03 02:41:33,2,Limited,Limited availability.,,
YMwWL1,2 wheel Death Machine,2 wheel Death Machine,,6.5,,,31,N,https://s3.amazonaws.com/brewerydbapi/beer/YMwWL1/upload_wArC8D-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/YMwWL1/upload_wArC8D-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/YMwWL1/upload_wArC8D-large.png,verified,Verified,2012-12-13 21:10:56,2015-12-16 21:58:27,,,,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",2012-03-21 20:06:45,2015-04-07 15:26:46,65,100,7.5,10.5,5,13,1.075,1.012,1.02,,,,,,,,,,,,,
qGDeH1,2 x 4,2 x 4,"40% Belgian-style Quad Ale aged in brandy barrels with dates and currants added, 60% Belgian-style Dubbel Ale.",8.7,,,70,N,https://s3.amazonaws.com/brewerydbapi/beer/qGDeH1/upload_yrbAAo-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/qGDeH1/upload_yrbAAo-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/qGDeH1/upload_yrbAAo-large.png,verified,Verified,2012-01-03 02:42:37,2015-12-16 07:32:05,,,,70,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Other Belgian-Style Ales,Belgian Ale,"Recognizing the uniqueness and traditions of several other styles of Belgian Ales, the beers entered in this category will be assessed on the merits that they do not fit existing style guidelines and information that the brewer provides explaining the history and tradition of the style. Balance of character is a key component when assessing these beers. Barrel or wood-aged entries in competitions may be directed to other categories by competition director. In competitions the brewer must provide the historical or regional tradition of the style, or his interpretation of the style, in order to be assessed properly by the judges.",2012-03-21 20:06:46,2015-04-07 15:33:05,,,,,,,,,,5,,,,,5,Pint,2012-01-03 02:41:33,,,,,
MzyatC,2.0,2.0,APA elaborada con lúpulo experimental.,4,45,,25,N,https://s3.amazonaws.com/brewerydbapi/beer/MzyatC/upload_HZmyPd-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/MzyatC/upload_HZmyPd-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/MzyatC/upload_HZmyPd-large.png,verified,Verified,2016-05-01 16:43:41,2016-05-01 16:44:05,,,,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",2012-03-21 20:06:45,2015-04-07 15:25:18,30,42,4.5,5.6,6,14,1.044,1.008,1.014,,,,,,,,,,,,,
1ndAAm,"20"" Brown","20"" Brown","Named after the enormous Brown Trout found in Northwest streams, this beer lives up to the legend.  20"" Brown is medium bodied and has an extremely complex malty character.  Using 6 varieties of Northwest grown malt, we created a masterpiece of color, aroma and flavor.  Set your hook in one of these and you won't be disappointed!",5.3,35,,37,N,https://s3.amazonaws.com/brewerydbapi/beer/1ndAAm/upload_BTwU67-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/1ndAAm/upload_BTwU67-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/1ndAAm/upload_BTwU67-large.png,verified,Verified,2012-01-03 02:42:37,2015-12-16 08:46:16,,,,37,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Brown Ale,American Brown,"American brown ales range from deep copper to brown in color. Roasted malt caramel-like and chocolate-like characters should be of medium intensity in both flavor and aroma. American brown ales have evident low to medium hop flavor and aroma, medium to high hop bitterness, and a medium body. Estery and fruity-ester characters should be subdued. Diacetyl should not be perceived. Chill haze is allowable at cold temperatures.",2012-03-21 20:06:46,2015-04-07 15:27:35,25,45,4,6.4,15,26,1.04,1.01,1.018,5,1,,,,5,Pint,2012-01-03 02:41:33,1,Year Round,Available year round as a staple beer.,,
rGifX7,2009 Holiday Ale,2009 Holiday Ale,"To celebrate the 2009 holidays, we made a special batch of our Tripel. Featuring a new Pilsner malt, we also changed the hops to help profile the soft Pilsner flavors and aromas.

All bottles were sold with a customized To and From label. This example is just one way the bottles were labeled. We even had a couple of bottles leave from Santa!",10.4,,,59,N,https://s3.amazonaws.com/brewerydbapi/beer/rGifX7/upload_jI73Zh-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/rGifX7/upload_jI73Zh-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/rGifX7/upload_jI73Zh-large.png,verified,Verified,2012-01-03 02:42:37,2015-12-16 07:43:15,,,,59,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Tripel,Belgian Tripel,"Tripels are often characterized by a complex, sometimes mild spicy character. Clove-like phenolic flavor and aroma may be evident at extremely low levels. Yeast-generated  fruity esters, including banana, are also common, but not necessary. These pale/light-colored ales may finish sweet, though any sweet finish should be light. The beer is characteristically medium and clean in body with an equalizing hop/malt balance and a perception of medium to medium high hop bitterness. Traditional Belgian Tripels are often well attenuated. Brewing sugar may be used to lighten the perception of body. Its sweetness will come from very pale malts. There should not be character from any roasted or dark malts. Low hop flavor is acceptable. Alcohol strength and flavor should be perceived as evident. Head retention is dense and mousse-like. Chill haze is acceptable at low serving temperatures. Traditional Tripels are bottle conditioned, may exhibit slight yeast haze but the yeast should not be intentionally roused. Oxidative character if evident in aged Tripels should be mild and pleasant.",2012-03-21 20:06:46,2015-04-07 15:31:50,20,45,7,10,4,9,1.07,1.01,1.018,,3,,,,,,,3,Not Available,Beer is not available.,,
7zB0r4,201 Central Brett IPA,201 Central Brett IPA,,6.5,,,30,N,https://s3.amazonaws.com/brewerydbapi/beer/7zB0r4/upload_6WqPoE-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/7zB0r4/upload_6WqPoE-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/7zB0r4/upload_6WqPoE-large.png,verified,Verified,2015-02-23 13:24:00,2016-06-01 01:44:35,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",2012-03-21 20:06:45,2015-04-07 15:26:37,50,70,6.3,7.5,6,14,1.06,1.012,1.018,,,,,,,,,,,,,
TaRTgY,2010 Holiday Ale,2010 Holiday Ale,"To celebrate the 2010 holidays, we made a special batch of our Belgian Style Pale Ale. The first batch of Belgian Style Pale bottled from our new seven barrel brewhouse! By special request, a few bottles were our Indulgence.

All bottles were sold with a customized To and From label. This example is just one way the bottles were labeled. We even had a couple of bottles leave from Santa, the best wife ever and our most handsome fan!",,,,70,N,https://s3.amazonaws.com/brewerydbapi/beer/TaRTgY/upload_VOfipS-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/TaRTgY/upload_VOfipS-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/TaRTgY/upload_VOfipS-large.png,verified,Verified,2012-01-03 02:42:37,2015-12-16 07:43:32,,,,70,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Other Belgian-Style Ales,Belgian Ale,"Recognizing the uniqueness and traditions of several other styles of Belgian Ales, the beers entered in this category will be assessed on the merits that they do not fit existing style guidelines and information that the brewer provides explaining the history and tradition of the style. Balance of character is a key component when assessing these beers. Barrel or wood-aged entries in competitions may be directed to other categories by competition director. In competitions the brewer must provide the historical or regional tradition of the style, or his interpretation of the style, in order to be assessed properly by the judges.",2012-03-21 20:06:46,2015-04-07 15:33:05,,,,,,,,,,,3,,,,,,,3,Not Available,Beer is not available.,,
