id,name,nameDisplay,description,abv,ibu,glasswareId,availableId,styleId,isOrganic,labels/icon,labels/medium,labels/large,status,statusDisplay,originalGravity,createDate,updateDate,glass/id,glass/name,glass/createDate,available/id,available/name,available/description,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,style/createDate,style/updateDate,srmId,servingTemperature,servingTemperatureDisplay,srm/id,srm/name,srm/hex,year,foodPairings
VfUm4r,1634 Ale,1634 Ale,"Originally brewed in 2009, our 1634 Ale was commissioned by Historic Saint Mary’s City to celebrate the 375th anniversary of Maryland’s founding. Lacking any historically documented recipes, our brewers developed the 1634 Ale using malted barley, malted wheat, malted rye, molasses and caraway; ingredients known to be available to brewers in the austere conditions of early Colonial Maryland.",5.5,,5,1,117,N,https://s3.amazonaws.com/brewerydbapi/beer/VfUm4r/upload_ypAlUL-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/VfUm4r/upload_ypAlUL-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/VfUm4r/upload_ypAlUL-large.png,verified,Verified,,2012-01-03 02:42:36,2015-12-16 11:41:28,5,Pint,2012-01-03 02:41:33,1,Year Round,Available year round as a staple beer.,117,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Rye Ale or Lager with or without Yeast,Rye Ale,"Rye beers can be made using either ale or lager yeast. It should be brewed with at least 20 percent rye malt, and low to medium perception of hop bitterness. Hop aroma and flavor can be low to medium-high. These are often versions of classic styles that contain noticeable rye character in balance with other qualities of the beer. A spicy, fruity-estery aroma and flavor are typical but at low levels; however, phenolic, clove-like characteristics should not be perceived. Color is straw to amber, and the body should be light to medium in character. Diacetyl should not be perceived. If this style is packaged and served without yeast, no yeast characters should be evident in mouthfeel, flavor, or aroma. A low level of tannin derived astringency may be perceived. If this style is served with yeast, the character should portray a full yeasty mouthfeel and appear hazy to very cloudy. Yeast flavor and aroma should be low to medium but not overpowering the balance and character of rye and barley malt and hops. Darker versions of this style will be dark amber to dark brown, and the body should be light to medium in character. Roasted malts are optionally evident in aroma and flavor with a low level of roast malt astringency acceptable when appropriately balanced with malt sweetness. Roast malts may be evident as a cocoa/chocolate or caramel character. Aromatic toffee-like, caramel, or biscuit-like characters may be part of the overall flavor/aroma profile. As in the lighter colored versions, diacetyl should not be perceived. Competition directors may create specific styles of rye beer, such as Rye Pale Ale or Rye Brown Ale. A statement by the brewer indicating if the beer is based on a classic style is essential for accurate judging.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:44:12,,,,,,,,
wTgdy9,1664 Blanc,1664 Blanc,"As a modern, fruity and refreshing beer, Kronenbourg 1664 Blanc appeals to consumers all over the world with its unique taste and appearance.
 
Brewed with a hint of citrus and coriander spice, Blanc has an inimitable sweet and refreshing flavor that makes it special amongst all the other wheat beers (white beers). It appeals demanding quality seekers.
 
Kronenbourg 1664 Blanc’s modern identity is perfectly expressed by its unique shiny blue bottle.",5,,,,65,N,https://s3.amazonaws.com/brewerydbapi/beer/wTgdy9/upload_ypJTss-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/wTgdy9/upload_ypJTss-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/wTgdy9/upload_ypJTss-large.png,verified,Verified,,2014-06-23 19:59:50,2015-12-17 14:45:48,,,,,,,65,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style White (or Wit) / Belgian-Style Wheat,Witbier,Belgian white ales are very pale in color and are brewed using unmalted wheat and malted barley and are spiced with coriander and orange peel. Coriander and light orange peel aroma should be perceived as such or as an unidentified spiciness. Phenolic spiciness and yeast flavors may be evident at mild levels. These beers are traditionally bottle conditioned and served cloudy. An unfiltered starch and yeast haze should be part of the appearance. The low to medium body should have some degree of creaminess from wheat starch. The style is further characterized by the use of noble-type hops to achieve low hop bitterness and little to no apparent hop flavor. This beer has no diacetyl and a low to medium fruity-ester level. Mild acidity is appropriate.,10,17,4.8,5.2,2,4,1.044,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:32:30,,,,,,,,
8zCFMS,1687 Brown Ale,1687 Brown Ale,"Charter Oak's 1687 Brown Ale (this was the year the legend of the Charter Oak took place, and Wadsworth hid the document in the majestic Oak Tree - later to become know as The Charter Oak) is an American style which is slightly more robust than the traditional English Brown Ale. This beer is brewed to a dark copper shade and and well balanced malt and hop with distinctive toasted flavors from both our premium specialty roasted and chocolate malted barley, also allowing for a faint undertone of caramel. This style is lightly hopped for balance and this ale will prove to be a wonderful selection for a sessionable beer. Our medium-bodied, limited bitterness and hop aroma will make this an excellent choice. Look for our 1687 Brown Ale at your favorite watering hole in June.",5.5,30,,1,12,N,https://s3.amazonaws.com/brewerydbapi/beer/8zCFMS/upload_mpD3aH-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/8zCFMS/upload_mpD3aH-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/8zCFMS/upload_mpD3aH-large.png,verified,Verified,,2015-03-29 15:25:32,2015-12-17 22:53:53,,,,1,Year Round,Available year round as a staple beer.,12,1,1,British Origin Ales,2012-03-21 20:06:45,English-Style Brown Ale,English Brown,"English brown ales range from copper to brown in color. They have medium body and range from dry to sweet maltiness with very little hop flavor or aroma. Roast malt tones may sometimes contribute to the flavor and aroma profile. Low to medium-low levels of fruity-ester flavors are appropriate. Diacetyl should be very low, if evident. Chill haze is allowable at cold temperatures.",15,25,4,5.5,13,25,1.04,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:20:51,25,cool,Cool - (8-12C/45-54F),25,25,7B1A00,,
hvxtKZ,1698,1698,"First brewed in 1998 to celebrate Shepherd Neame's tercentenary, this copper-bronze, bottle conditioned beauty is an intense yet uniquely intricate offering thrice-hopped during the brewing process. This adds rich resinous notes and spikes of citrus to a moreish strong ale already rife with notes of liquorice, Masala wine, caramel and spicy orange. A frisson of dark fruit freshens the finish. Serve with smoked cheese.
 
Tasting notes by beer writer Ben McFarland",6.5,,,,138,N,https://s3.amazonaws.com/brewerydbapi/beer/hvxtKZ/upload_R49wUE-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/hvxtKZ/upload_R49wUE-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/hvxtKZ/upload_R49wUE-large.png,verified,Verified,,2014-08-01 05:02:37,2015-12-17 16:44:39,,,,,,,138,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Other Strong Ale or Lager,Strong Ale,"Any style of beer can be made stronger than the classic style guidelines. The goal should be to reach a balance between the style's character and the additional alcohol. Refer to this guide when making styles stronger and appropriately identify the style created (for example: double alt, triple fest, or quadruple Pilsener).",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:47:08,,,,,,,,
X1g9H2,16th Anniversary Ale,16th Anniversary Ale,,,,,2,125,N,https://s3.amazonaws.com/brewerydbapi/beer/X1g9H2/upload_loWb51-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/X1g9H2/upload_loWb51-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/X1g9H2/upload_loWb51-large.png,verified,Verified,,2014-03-27 12:53:21,2015-12-17 11:45:36,,,,2,Limited,Limited availability.,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,,,,,,,,
39oXMx,16th Anniversary Stout,16th Anniversary Stout (2014),,,,8,,42,N,https://s3.amazonaws.com/brewerydbapi/beer/39oXMx/upload_UNcy2D-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/39oXMx/upload_UNcy2D-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/39oXMx/upload_UNcy2D-large.png,verified,Verified,,2014-01-22 14:36:33,2015-12-17 09:44:43,8,Tulip,2012-01-03 02:41:33,,,,42,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Stout,American Stout,"Initial low to medium malt sweetness with a degree of caramel, chocolate and/or roasted coffee flavor with a distinctive dryroasted bitterness in the finish. Coffee-like roasted barley and roasted malt aromas are prominent. Some slight roasted malt acidity is permissible and a medium- to full-bodied mouthfeel is appropriate. Hop bitterness may be moderate to high. Hop aroma and flavor is moderate to high, often with American citrus-type and/or resiny hop character. The perception of fruity esters is low. Roasted malt/barley astringency may be low but not excessive. Diacetyl (butterscotch) should be negligible or not perceived. Head retention is excellent.",35,60,5.7,8.8,40,40,1.05,1.01,1.022,2012-03-21 20:06:46,2015-04-07 15:28:43,,,,,,,2014,
44neoC,17,17,"17 is an Imperial Stout brewed with huge amounts of chocolate malts, cacao nibs, and mint leaves. This hearty stout boasts 10% ABV and big chocolate aromas and flavors with a hint of fresh mint. This beer is perfect for the last cold months of the winter. However, it may be enjoyed right away, or allowed to age in the bottle.",10,,,2,43,Y,https://s3.amazonaws.com/brewerydbapi/beer/44neoC/upload_tu8Dvu-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/44neoC/upload_tu8Dvu-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/44neoC/upload_tu8Dvu-large.png,verified,Verified,,2015-06-12 15:16:39,2016-04-29 15:26:08,,,,2,Limited,Limited availability.,43,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Imperial Stout,American Imperial Stout,"Black in color, American-style imperial stouts typically have a high alcohol content. Generally characterized as very robust. The extremely rich malty flavor and aroma are balanced with assertive hopping and fruity-ester characteristics. Bitterness should be moderately high to very high and balanced with full sweet malt character. Roasted malt astringency and bitterness can be moderately perceived but should not overwhelm the overall character. Hop aroma is usually moderately-high to overwhelmingly hop-floral, -citrus or -herbal. Diacetyl (butterscotch) levels should be absent.",50,80,7,12,40,40,1.08,1.02,1.03,2012-03-21 20:06:46,2015-04-07 15:28:49,41,,,41,Over 40,000000,,
nhWaz0,17 @ 17 IPA,17 @ 17 IPA,"American India Pale Ale. Distinct “West Coast” IPA flavors, including pine, citrus rind and hints of pineapple. Highlighting the flavor and aroma of Zythos hops.",6.8,62,,,30,N,https://s3.amazonaws.com/brewerydbapi/beer/nhWaz0/upload_ChoC3o-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/nhWaz0/upload_ChoC3o-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/nhWaz0/upload_ChoC3o-large.png,verified,Verified,1.065,2015-08-13 19:43:07,2015-12-18 03:24:24,,,,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,,
s95tMN,17 Anniversary,17 Anniversary,,8.5,,,3,132,N,https://s3.amazonaws.com/brewerydbapi/beer/s95tMN/upload_FR54mv-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/s95tMN/upload_FR54mv-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/s95tMN/upload_FR54mv-large.png,verified,Verified,,2012-09-06 12:44:39,2015-12-16 19:18:11,,,,3,Not Available,Beer is not available.,132,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Wood- and Barrel-Aged Beer,BBL Aged,"A wood- or barrel-aged beer is any lager, ale or hybrid beer, either a traditional style or a unique experimental beer that has been aged for a period of time in a wooden barrel or in contact with wood. This beer is aged with the intention of imparting the particularly unique character of the wood and/or what has previously been in the barrel. New wood character can be characterized as a complex blend of vanillin and/or other unique wood character, but wood aged is not necessarily synonymous with imparting wood-flavors. Used sherry, rum, bourbon, scotch, port, wine and other barrels are often used, imparting complexity and uniqueness to beer. Ultimately a balance of flavor, aroma and mouthfeel are sought with the marriage of new beer with wood and/or barrel flavors. Beers in this style may or may not have Brettanomyces character. Brewers when entering this category should specify type of barrel and/or wood used and any other special treatment or ingredients used. Competition managers may create style subcategories to differentiate between high alcohol and low alcohol beers and very dark and lighter colored beer as well as for fruit beers and non-fruit beers. Competitions may develop guidelines requesting brewers to specify what kind of wood (new or used oak, other wood varieties) and/or barrel (whiskey, port, sherry, wine, etc.) was used in the process. The brewer may be asked to explain the special nature (wood used, base beer style(s) and achieved character) of the beer.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:46:27,,,,,,,,
w6nBIz,17 Anniversary Götterdämmerung IPA,17 Anniversary Götterdämmerung IPA,"Our latest anniversary beer, starring an all-German cast of malt and hops, is yet one more glorious example of a Stone IPA brewed outside the box. Our brewers have brought their experiments with German hops to fruition, leaving convention behind to create this hefty IPA entirely with pilsner malts. These provide a superbly crisp mouthfeel, while a unique mix of noble and new-school hop varieties adds layers of bright, bitter flavors. Despite the daunting name, this beer isn't designed to bring about the end of the world, but it just might destroy some of your preconceived notions of what an IPA can be.",9.5,102,8,2,30,N,https://s3.amazonaws.com/brewerydbapi/beer/w6nBIz/upload_lcOQuJ-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/w6nBIz/upload_lcOQuJ-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/w6nBIz/upload_lcOQuJ-large.png,verified,Verified,,2013-08-25 12:18:43,2015-12-17 05:22:09,8,Tulip,2012-01-03 02:41:33,2,Limited,Limited availability.,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,,
e6qtst,175,175,,4.2,,5,,93,N,https://s3.amazonaws.com/brewerydbapi/beer/e6qtst/upload_xQvk8W-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/e6qtst/upload_xQvk8W-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/e6qtst/upload_xQvk8W-large.png,verified,Verified,,2013-11-29 16:45:42,2015-12-17 08:27:06,5,Pint,2012-01-03 02:41:33,,,,93,8,8,North American Lager,2012-03-21 20:06:46,American-Style Lager,American Lager,"Light in body and very light to straw in color, American lagers are very clean and crisp and aggressively carbonated. Flavor components should b e subtle and complex, with no one ingredient dominating the others. Malt sweetness is light to mild. Corn, rice, or other grain or sugar adjuncts are often used. Hop bitterness, flavor and aroma are negligible to very light. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,13,3.8,5,2,4,1.04,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:39:26,,,,,,,,
cG6leo,18 Mile Rye Pale Ale,18 Mile Rye Pale Ale,"We wanted to make rye based beer that highlighted the rye malts unique spicy taste but without the overpowering earthy tones that can come along. We found mashing the base malt at a higher temperature created the perfect balance. We then hopped in with everything under the sun and found our favorite combination came from using predominantly European noble hops that balanced the spiciness from the rye malt and the sweetness from the mashing technique, to make an easy drinking pale ale.",6,,5,1,117,N,https://s3.amazonaws.com/brewerydbapi/beer/cG6leo/upload_GXLPkT-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/cG6leo/upload_GXLPkT-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/cG6leo/upload_GXLPkT-large.png,verified,Verified,,2014-02-20 13:58:38,2015-12-17 11:05:21,5,Pint,2012-01-03 02:41:33,1,Year Round,Available year round as a staple beer.,117,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Rye Ale or Lager with or without Yeast,Rye Ale,"Rye beers can be made using either ale or lager yeast. It should be brewed with at least 20 percent rye malt, and low to medium perception of hop bitterness. Hop aroma and flavor can be low to medium-high. These are often versions of classic styles that contain noticeable rye character in balance with other qualities of the beer. A spicy, fruity-estery aroma and flavor are typical but at low levels; however, phenolic, clove-like characteristics should not be perceived. Color is straw to amber, and the body should be light to medium in character. Diacetyl should not be perceived. If this style is packaged and served without yeast, no yeast characters should be evident in mouthfeel, flavor, or aroma. A low level of tannin derived astringency may be perceived. If this style is served with yeast, the character should portray a full yeasty mouthfeel and appear hazy to very cloudy. Yeast flavor and aroma should be low to medium but not overpowering the balance and character of rye and barley malt and hops. Darker versions of this style will be dark amber to dark brown, and the body should be light to medium in character. Roasted malts are optionally evident in aroma and flavor with a low level of roast malt astringency acceptable when appropriately balanced with malt sweetness. Roast malts may be evident as a cocoa/chocolate or caramel character. Aromatic toffee-like, caramel, or biscuit-like characters may be part of the overall flavor/aroma profile. As in the lighter colored versions, diacetyl should not be perceived. Competition directors may create specific styles of rye beer, such as Rye Pale Ale or Rye Brown Ale. A statement by the brewer indicating if the beer is based on a classic style is essential for accurate judging.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:44:12,,,,,,,,
aeeemz,1803 Fat Ox Ale,1803 Fat Ox Ale,"Historically inspired, 1803 Fat Ox Ale is craft-brewed using old wold traditions and ingredients brought to New York by early settlers.  Toasted malt and carmel notes highlight this complex, small batch brew.",,,5,2,13,N,https://s3.amazonaws.com/brewerydbapi/beer/aeeemz/upload_YUp4AI-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/aeeemz/upload_YUp4AI-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/aeeemz/upload_YUp4AI-large.png,verified,Verified,,2012-01-03 02:42:36,2015-12-16 13:43:19,5,Pint,2012-01-03 02:41:33,2,Limited,Limited availability.,13,1,1,British Origin Ales,2012-03-21 20:06:45,Old Ale,Old Ale,"Dark amber to brown in color, old ales are medium to full bodied with a malty sweetness. Hop aroma should be minimal and flavor can vary from none to medium in character intensity. Fruity-ester flavors and aromas can contribute to the character of this ale. Bitterness should be minimal but evident and balanced with malt and/or caramel-like sweetness. Alcohol types can be varied and complex. A distinctive quality of these ales is that they undergo an aging process (often for years) on their yeast either in bulk storage or through conditioning in the bottle, which contributes to a rich, wine-like and often sweet oxidation character. Complex estery characters may also emerge. Some very low diacetyl character may be evident and acceptable. Wood aged characters such as vanillin and other woody characters are acceptable. Horsey, goaty, leathery and phenolic character evolved from Brettanomyces organisms and acidity may be present but should be at low levels and balanced with other flavors Residual flavors that come from liquids previously aged in a barrel such as bourbon or sherry should not be present. Chill haze is acceptable at low temperatures. (This style may often be split into two categories, strong and very strong. Brettanomyces organisms and acidic characters reflect historical character. Competition organizers may choose to distinguish these types of old ale from modern versions.)",30,65,6,9,12,30,1.058,1.014,1.03,2012-03-21 20:06:45,2015-04-07 15:21:03,,,,,,,,
vpqpqA,1809,1809,,5,,,1,46,N,https://s3.amazonaws.com/brewerydbapi/beer/vpqpqA/upload_TfgHbV-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/vpqpqA/upload_TfgHbV-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/vpqpqA/upload_TfgHbV-large.png,verified,Verified,,2014-04-01 20:11:20,2015-12-17 12:09:21,,,,1,Year Round,Available year round as a staple beer.,46,4,4,German Origin Ales,2012-03-21 20:06:46,Berliner-Style Weisse (Wheat),Berlinerweisse,"This is very pale in color and the lightest of all the German wheat beers. The unique combination of yeast and lactic acid bacteria fermentation yields a beer that is acidic, highly attenuated, and very light bodied. The carbonation of a Berliner Weisse is high, and hop rates are very low. Clarity may be hazy or cloudy from yeast or chill haze. Hop character should not be perceived. Fruity esters will be evident. No diacetyl should be perceived.",3,6,2.8,3.4,2,4,1.028,1.004,1.006,2012-03-21 20:06:46,2015-04-07 15:29:14,,,,,,,,
9XmyZr,1811 Lager,1811 Lager,"Two centuries ago, on the site of what is now the Fort George Brewery block, fur magnate John Jacob Astor’s expedition boldly built a trading post they called Astoria—the first US settlement west of the Rocky Mountains. Today, we’re proud to craft the Official Bicentennial Beer of Astoria.
 Many West Coast brewers in the 19th century had no ice, so they improvised an effervescent beer by brewing lager yeasts at higher-than-normal temperatures. Described as a “refreshing drink, much consumed by the laboring classes,” it’s the inspiration for 1811 lager.

More flavorful than most modern lagers, and fermented at warmer temperatures, 1811 is lovingly concocted from 2 row malted barley and cracked maize; corn was a popular beer ingredient in pre-Prohibition days. 1811’s hop character gives it a distinctive Northwest style worthy of Astoria’s 200-year history.",5.1,,,1,128,N,https://s3.amazonaws.com/brewerydbapi/beer/9XmyZr/upload_Bgommh-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/9XmyZr/upload_Bgommh-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/9XmyZr/upload_Bgommh-large.png,verified,Verified,,2015-03-03 16:40:27,2015-12-17 23:28:08,,,,1,Year Round,Available year round as a staple beer.,128,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Indigenous Beer (Lager or Ale),Indigenous Beer,"This beer style is unusual in that its impetus is to commemorate combinations of ingredients and/or techniques adopted by or unique to a particular region. At least one regional combination of ingredients and/or techniques must be unique and differentiated from ingredients and/or techniques commonly used by brewers throughout the world.  There are many excellent and popular beers that are brewed with either non-traditional or traditional ingredients and/or processes yet their character may distinctively vary from all other styles currently defined or included in these guidelines. These grain-based beers are brewed reflecting local beer culture (process, ingredients, climate, etc.). This category recognizes uniquely local or regional beer types and beers distinctively not defined in any recognized style in these guidelines. They may be light or dark, strong or weak, hoppy or not hoppy. They may have characters which are unique to yeast, fermentation techniques, aging conditions, carbonation level - or higher or lower levels of profound characters normally associated with other beer types. Examples of indigenous beers might include current day versions of highly regional and/or historic styles which are not represented elsewhere in these guidelines, such as Finnish-style sahti, S American chicha, African sorghum based beers, and others. Other examples might include beers made wholly unique by use of multiple local ingredients and/or techniques, with the resulting beer being highly representative of location, as well as differentiated from traditional beer style categories. Beers brewed with non-traditional hop varieties, grains, malt, yeast or other ingredient that still closely approximate an existing classical category would be more appropriately entered into the classical category. New and innovative beers that do not represent locally adopted techniques or grown ingredients would be more appropriately entered into the experimental category. Proper evaluation of entries in this category requires the need to provide  judges with additional information about the beer.  A written summary illustrating the intent, background, history, design and/or development of the beer as well as  describing any regional and/or stylistic context, choice of ingredients, process and any other unique information, helps establish a basis for comparison between highly diverse entries. Entering brewers must provide a statement of 100 words or less illustrating the above and why it is an indigenous beer without revealing the company's identity. This statement should be carefully crafted and will be evaluated by judges and carry significant weight in their decisions. Statements that contain information which might identify or otherwise create bias towards the entry will be modified by the Competition Manager. Entries not accompanied by this information will be at a profound disadvantage during judging.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:45:15,,,,,,,,
kWXWGC,1812 Amber Ale,1812 Amber Ale,"Awarded a Silver Medal in the World Beer Championships in the Amber Ale category for 1998, this is our flagship ale. It has a nutty malt flavor which is balanced by a citris hop flavor and a classic ale fruitiness. We distribute this ale on draft and in bottles throughout Northern & Central New York.",5.2,,5,1,32,N,https://s3.amazonaws.com/brewerydbapi/beer/kWXWGC/upload_4D0vj0-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/kWXWGC/upload_4D0vj0-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/kWXWGC/upload_4D0vj0-large.png,verified,Verified,,2012-01-03 02:42:36,2015-12-16 08:22:08,5,Pint,2012-01-03 02:41:33,1,Year Round,Available year round as a staple beer.,32,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,"American amber/red ales range from light copper to light brown in color. They are characterized by American-variety hops used to produce the perception of medium hop bitterness, flavor, and medium aroma. Amber ales have medium-high to high maltiness with medium to low caramel character. They should have medium to medium-high body. The style may have low levels of fruityester flavor and aroma. Diacetyl can be either absent or barely perceived at very low levels. Chill haze is allowable at cold temperatures. Slight yeast haze is acceptable for bottle-conditioned products.",30,40,4.5,6,11,18,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,,,,,,,,
wevPSI,1814 ESB,1814 ESB,After the Battle of Bladensburg the British Army burned Washington to the ground....we ain't bitter! We've realized the best revenge is living well. Please enjoy our British-style session bitter's smooth maltiness and finely balanced hops.,6.1,17,5,1,5,N,https://s3.amazonaws.com/brewerydbapi/beer/wevPSI/upload_MJsnV6-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/wevPSI/upload_MJsnV6-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/wevPSI/upload_MJsnV6-large.png,verified,Verified,1.054,2012-01-03 02:42:36,2015-12-16 11:52:11,5,Pint,2012-01-03 02:41:33,1,Year Round,Available year round as a staple beer.,5,1,1,British Origin Ales,2012-03-21 20:06:45,Extra Special Bitter,ESB,"Extra special bitter possesses medium to strong hop aroma, flavor, and bitterness. The residual malt and defining sweetness of this richly flavored, full-bodied bitter is more pronounced than in other styles of bitter. It is light amber to copper colored with medium to medium-high bitterness. Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity-ester character is acceptable in aroma and flavor. Diacetyl (butterscotch character) is acceptable and characteristic when at very low levels. The absence of diacetyl is also acceptable. Chill haze is allowable at cold temperatures. English or American hops may be used. (English and American hop character may be specified in subcategories.)",30,45,4.8,5.8,8,14,1.046,1.01,1.016,2012-03-21 20:06:45,2015-04-07 15:19:20,,,,,,,,
