id,name,nameDisplay,description,abv,ibu,glasswareId,srmId,availableId,styleId,isOrganic,year,labels/icon,labels/medium,labels/large,status,statusDisplay,originalGravity,createDate,updateDate,glass/id,glass/name,glass/createDate,srm/id,srm/name,srm/hex,available/id,available/name,available/description,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,style/createDate,style/updateDate,servingTemperature,servingTemperatureDisplay
c4f2KE,'Murican Pilsner,'Murican Pilsner,,5.5,,4,,,98,N,,https://s3.amazonaws.com/brewerydbapi/beer/c4f2KE/upload_jjKJ7g-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/c4f2KE/upload_jjKJ7g-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/c4f2KE/upload_jjKJ7g-large.png,verified,Verified,,2013-08-19 11:58:12,2015-12-17 06:02:53,4,Pilsner,2012-01-03 02:41:33,,,,,,,98,8,8,North American Lager,2012-03-21 20:06:46,American-Style Pilsener,American Pilsener,"This classic and unique pre-Prohibition American-style Pilsener is straw to deep gold in color. Hop bitterness, flavor and aroma are medium to high, and use of noble-type hops for flavor and aroma is preferred. Up to 25 percent corn and/or rice in the grist should be used. Malt flavor and aroma are medium. This is a light-medium to medium-bodied beer. Sweet corn-like dimethylsulfide (DMS), fruity esters and American hop-derived citrus flavors or aromas should not be perceived. Diacetyl is not acceptable. There should be no chill haze. Competition organizers may wish to subcategorize this style into rice and corn subcategories.",25,40,5,6,3,6,1.045,1.012,1.018,2012-03-21 20:06:46,2015-04-07 15:40:08,,
EPLPz5,'n Toeback,'n Toeback,"'n Toeback is a top fermenting 'Kempense Quattro'.
Legend says that after drinking a toeback quattro one of the 'Wildemannen' takes the Sint-Katharina church of Hoogstraten out for a walk. He can carry a 105 meter tower, weighing 100 metric tons on his back! A magic beer, that 'toeback'!",9.5,,,,,63,N,,https://s3.amazonaws.com/brewerydbapi/beer/EPLPz5/upload_WLs95w-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/EPLPz5/upload_WLs95w-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/EPLPz5/upload_WLs95w-large.png,verified,Verified,,2012-11-06 12:28:06,2015-12-16 19:40:08,,,,,,,,,,63,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Pale Strong Ale,Belgian Pale Strong,"Belgian pale strong ales are pale to golden in color with relatively light body for a beer of its alcoholic strength. Often brewed with light colored Belgian ""candy"" sugar, these beers are well attenuated. The perception of hop bitterness is medium-low to medium -high, with hop flavor and aroma also in this range. These beers are highly attenuated and have a perceptively deceiving high alcoholic character-being light to medium bodied rather than full bodied. The intensity of malt character should be low to medium, often surviving along with a complex fruitiness. Very little or no diacetyl is perceived. Herbs and spices are sometimes used to delicately flavor these strong ales. Low levels of phenolic spiciness from yeast byproducts may also be perceived. Chill haze is allowable at cold temperatures.",20,50,7,11,4,10,1.064,1.012,1.024,2012-03-21 20:06:46,2015-04-07 15:32:16,,
IkRF2B,'Nother Day in Paradise,'Nother Day in Paradise,,,,,,3,125,N,,https://s3.amazonaws.com/brewerydbapi/beer/IkRF2B/upload_pe8G4j-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/IkRF2B/upload_pe8G4j-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/IkRF2B/upload_pe8G4j-large.png,verified,Verified,,2012-03-30 12:27:35,2015-12-16 16:13:22,,,,,,,3,Not Available,Beer is not available.,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,,
i51yaD,'t Smisje Kirst,'t Smisje Kirst,,11,,,,,64,N,,https://s3.amazonaws.com/brewerydbapi/beer/i51yaD/upload_1WsEQd-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/i51yaD/upload_1WsEQd-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/i51yaD/upload_1WsEQd-large.png,verified,Verified,,2014-07-14 19:55:57,2015-12-17 15:18:38,,,,,,,,,,64,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Dark Strong Ale,Belgian Dark Strong,"Belgian dark strong ales are amber to dark brown in color. Often, though not always, brewed with dark Belgian ""candy"" sugar, these beers can be well attenuated, ranging from medium to full-bodied. The perception of hop bitterness is low to medium, with hop flavor and aroma also in this range. Fruity complexity along with the soft flavors of roasted malts add distinct character. The alcohol strength of these beers can often be deceiving to the senses. The intensity of malt character can be rich, creamy, and sweet with intensities ranging from medium to high. Very little or no diacetyl is perceived. Herbs and spices are sometimes used to delicately flavor these strong ales. Low levels of phenolic spiciness from yeast byproducts may also be perceived. Chill haze is allowable at cold temperatures.",20,50,7,11,9,35,1.064,1.012,1.024,2012-03-21 20:06:46,2015-04-07 15:32:23,,
qbRV90,'tis the Saison,'tis the Saison,A Saison brewed with rye malt and three types of peppercorn.  This is Bart’s first NoDable Series brew so come out and enjoy!,7,30,5,7,2,72,N,,https://s3.amazonaws.com/brewerydbapi/beer/qbRV90/upload_OhEPYR-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/qbRV90/upload_OhEPYR-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/qbRV90/upload_OhEPYR-large.png,verified,Verified,,2012-04-11 01:58:50,2015-12-16 16:20:18,5,Pint,2012-01-03 02:41:33,7,7,F39C00,2,Limited,Limited availability.,72,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,French & Belgian-Style Saison,Saison,"Beers in this category are golden to deep amber in color. There may be quite a variety of characters within this style. Generally: They are light to medium in body. Malt aroma is low to medium-low. Esters are medium to high in  aroma, while, complex alcohols, herbs, spices, low Brettanomyces character and even clove and smoke-like phenolics may or may not be evident in the overall balanced beer. Hop aroma and flavor may be at low to medium levels. Malt flavor is low but provides foundation for the overall balance. Hop bitterness is moderate to moderately assertive. Herb and/or spice flavors, including black pepper-like notes, may or may not be evident. Fruitiness from fermentation is generally in character. A balanced small amount of sour or acidic flavors is acceptable when in balance with other components. Earthy, cellar-like, musty aromas are okay. Diacetyl should not be perceived. Chill or slight yeast haze is okay. Often bottle conditioned with some yeast character and high carbonation. French & Belgian-Style Saison may have Brettanomyces characters that are slightly acidity, fruity, horsey, goaty and/or leather-like.",20,40,4.5,8.5,4,14,1.055,1.004,1.016,2012-03-21 20:06:46,2015-04-07 15:34:55,,
GMWSAD,(401) India Pale Ale,(401) India Pale Ale,,,,,,,30,N,,https://s3.amazonaws.com/brewerydbapi/beer/GMWSAD/upload_3dlRGl-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/GMWSAD/upload_3dlRGl-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/GMWSAD/upload_3dlRGl-large.png,verified,Verified,,2013-07-22 23:17:15,2015-12-17 04:43:34,,,,,,,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,
tciJOF,(512) ALT,(512) ALT,"(512) ALT is a German-style amber ale that is fermented cooler than typical ales and cold conditioned like a lager. ALT means ""old"" in German and refers to a beer style made using ale yeast after many German brewers had switched to newly discovered lager yeast. This ale has a very smooth, yet pronounced, hop bitterness with a malty backbone and a characteristic German yeast character. Made with 98% Organic 2-row and Munch malts and US noble hops.",6,36,5,21,5,55,N,,https://s3.amazonaws.com/brewerydbapi/beer/tciJOF/upload_cdbSIJ-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/tciJOF/upload_cdbSIJ-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/tciJOF/upload_cdbSIJ-large.png,verified,Verified,,2012-01-03 02:42:36,2015-12-16 05:20:58,5,Pint,2012-01-03 02:41:33,21,21,952D00,5,Spring,Available during the spring months.,55,4,4,German Origin Ales,2012-03-21 20:06:46,German-Style Altbier,Altbier,"German-Style Altbiers are copper to dark brown ales, originally from the Düsseldorf area. No chill haze should be perceived. A variety of malts including wheat may be used to produce medium-low to medium malt aroma. Fruityester aroma can be low. No diacetyl aroma should be perceived. Hop aroma is low to medium. A variety of malts including wheat may be used to produce medium-low to medium level malty flavor. Hop flavor is low to medium. Hop bitterness is medium to very high (although the 25 to 35 IBU range is more normal for the majority of Altbiers from Düsseldorf). Fruity-ester flavors can be low. No diacetyl should be perceived. The overall impression is clean, crisp, and flavorful often with a dry finish. Body is medium.",25,52,4.3,5.5,11,19,1.044,1.008,1.014,2012-03-21 20:06:46,2015-04-07 17:08:31,cold,Cold - (4-7C/39-45F)
6PPnT2,(512) Black IPA,(512) Black IPA,"An entirely new creation from organic 2-row, organic Crystal 60 and Carafa III, a huskless black malt that gives this beer it’s black color with notes of coffee and chicory without any tannic bitterness. The hop additions are many and generous, featuring Apollo, Horizon, and Nugget, clocking the beer in at 70 IBU. Over 11 pounds per batch of Nugget hops are added directly to the fermenter yielding a resiny herbal and spicy aroma. A hybrid style for dark beer fans who love hops.",7.5,70,5,41,5,125,N,,https://s3.amazonaws.com/brewerydbapi/beer/6PPnT2/upload_Cnl1UJ-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/6PPnT2/upload_Cnl1UJ-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/6PPnT2/upload_Cnl1UJ-large.png,verified,Verified,,2012-01-03 02:42:36,2015-12-16 07:13:40,5,Pint,2012-01-03 02:41:33,41,Over 40,000000,5,Spring,Available during the spring months.,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,cold,Cold - (4-7C/39-45F)
VwR7Xg,(512) Bruin (A.K.A. Brown Bear),(512) Bruin (A.K.A. Brown Bear),"At once cuddly and ferocious, (512) BRUIN combines a smooth, rich maltiness and mahogany color with a solid hop backbone and stealthy 7.6% alcohol. Made with Organic 2 Row and Munich malts, plus Chocolate and Crystal malts, domestic hops, and a touch of molasses, this brew has notes of raisins, dark sugars, and cocoa, and pairs perfectly with food and the crisp fall air.",7.6,30,5,21,7,37,N,,https://s3.amazonaws.com/brewerydbapi/beer/VwR7Xg/upload_MiNs9j-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/VwR7Xg/upload_MiNs9j-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/VwR7Xg/upload_MiNs9j-large.png,verified,Verified,,2012-01-03 02:42:36,2015-12-16 05:30:35,5,Pint,2012-01-03 02:41:33,21,21,952D00,7,Fall,Available during the fall months.,37,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Brown Ale,American Brown,"American brown ales range from deep copper to brown in color. Roasted malt caramel-like and chocolate-like characters should be of medium intensity in both flavor and aroma. American brown ales have evident low to medium hop flavor and aroma, medium to high hop bitterness, and a medium body. Estery and fruity-ester characters should be subdued. Diacetyl should not be perceived. Chill haze is allowable at cold temperatures.",25,45,4,6.4,15,26,1.04,1.01,1.018,2012-03-21 20:06:46,2015-04-07 15:27:35,cold,Cold - (4-7C/39-45F)
SqP18Z,(512) Cascabel Cream Stout,(512) Cascabel Cream Stout,"Smooth and roasty, and black as night, (512) Cascabel Cream Stout is brewed to a hair under 6% abv using almost 90% Organic Two Row and Crystal Malts, Chocolate Malt, and Roasted Barley. Non-fermentable Brewers Lactose is added for lasting sweetness, and over 20 pounds of Guajillo Chiles are added to warm you up when the night gets “chile”.",6,20,5,41,8,20,N,,https://s3.amazonaws.com/brewerydbapi/beer/SqP18Z/upload_8FxcuW-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/SqP18Z/upload_8FxcuW-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/SqP18Z/upload_8FxcuW-large.png,verified,Verified,,2012-01-03 02:42:36,2015-12-16 06:24:47,5,Pint,2012-01-03 02:41:33,41,Over 40,000000,8,Winter,Available during the winter months.,20,1,1,British Origin Ales,2012-03-21 20:06:45,Sweet or Cream Stout,Sweet Stout,"Sweet stouts, also referred to as cream stouts, have less roasted bitter flavor and a full-bodied mouthfeel. The style can be given more body with milk sugar (lactose) before bottling. Malt sweetness, chocolate, and caramel flavor should dominate the flavor profile and contribute to the aroma. Hops should balance and suppress some of the sweetness without contributing apparent flavor or aroma. The overall impression should be sweet and full-bodied.",15,25,3,6,40,40,1.045,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:24:41,cool,Cool - (8-12C/45-54F)
SV7JCk,(512) FIVE,(512) FIVE,"(512) FIVE is the culmination of our experience thus far and features a lineup of some of our favorite ingredients. Organic American two-row and English Maris Otter malts lay the foundation, while a generous dose of English roasted barley, black malt and chocolate malt create layers of roasty, dark complexity. American and Belgian crystal malts give balance and depth to the roasted character. Multiple additions of UK Fuggle hops impart an earthy, spicy finish to this deep, dark Imperial Stout.",10.1,45,6,41,8,43,N,,https://s3.amazonaws.com/brewerydbapi/beer/SV7JCk/upload_RNljF3-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/SV7JCk/upload_RNljF3-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/SV7JCk/upload_RNljF3-large.png,verified,Verified,,2015-06-19 16:03:18,2015-12-18 02:19:48,6,Snifter,2012-01-03 02:41:33,41,Over 40,000000,8,Winter,Available during the winter months.,43,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Imperial Stout,American Imperial Stout,"Black in color, American-style imperial stouts typically have a high alcohol content. Generally characterized as very robust. The extremely rich malty flavor and aroma are balanced with assertive hopping and fruity-ester characteristics. Bitterness should be moderately high to very high and balanced with full sweet malt character. Roasted malt astringency and bitterness can be moderately perceived but should not overwhelm the overall character. Hop aroma is usually moderately-high to overwhelmingly hop-floral, -citrus or -herbal. Diacetyl (butterscotch) levels should be absent.",50,80,7,12,40,40,1.08,1.02,1.03,2012-03-21 20:06:46,2015-04-07 15:28:49,cool,Cool - (8-12C/45-54F)
oJFZwK,(512) FOUR,(512) FOUR,"For our 4th anniversary, we turned to one of our greatest inspirations, the rich brewing tradition of Great Britain.

(512) FOUR is a classic English-style Strong Ale. The biscuity Maris Otter and caramelly Crystal malts contribute notes of toast, toffee, and dried fruits, which are perfectly balanced with a blend of authentic UK Fuggle and East Kent Golding hops. Dry-hopped with Northdown, (512) FOUR is a complex and satisfying ale.",7.5,35,5,8,2,14,N,,https://s3.amazonaws.com/brewerydbapi/beer/oJFZwK/upload_B40pzO-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/oJFZwK/upload_B40pzO-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/oJFZwK/upload_B40pzO-large.png,verified,Verified,,2013-10-07 22:14:45,2015-12-17 06:36:42,5,Pint,2012-01-03 02:41:33,8,8,EA8F00,2,Limited,Limited availability.,14,1,1,British Origin Ales,2012-03-21 20:06:45,Strong Ale,Strong Ale,"Light amber to mid-range brown in color, strong ales are medium to full bodied with a malty sweetness and may have low levels of roast malt character. Hop aroma should be minimal and flavor can vary from none to medium in character intensity. Fruity-ester flavors and aromas can contribute to the character of this ale. Bitterness should be minimal but evident and balanced with malt and/or caramel-like sweetness. Alcohol types can be varied and complex. A rich, often sweet and complex estery character may be evident. Very low levels of diacetyl are acceptable. Chill haze is acceptable at low temperatures. (This style may often be split into two categories, strong and very strong.)",30,65,7,11,8,21,1.06,1.014,1.04,2012-03-21 20:06:45,2015-04-07 15:21:05,cold,Cold - (4-7C/39-45F)
ezGh5N,(512) IPA,(512) IPA,"(512) India Pale Ale is a big, aggressively dry-hopped American IPA with smooth bitterness (~65 IBU) balanced by medium maltiness. Organic 2-row malted barley, loads of hops, and great Austin water create an ale with apricot and vanilla aromatics that lure you in for more.",7,65,5,8,1,30,N,,https://s3.amazonaws.com/brewerydbapi/beer/ezGh5N/upload_r8SNni-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/ezGh5N/upload_r8SNni-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/ezGh5N/upload_r8SNni-large.png,verified,Verified,,2012-01-03 02:42:36,2015-12-16 04:42:39,5,Pint,2012-01-03 02:41:33,8,8,EA8F00,1,Year Round,Available year round as a staple beer.,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,cold,Cold - (4-7C/39-45F)
s8rdpK,(512) ONE,(512) ONE (2009),"Our first anniversary release is a Belgian-style strong ale that is amber in color, with a light to medium body. Subtle malt sweetness is balanced with just enough hops. Soft honey aromas lead the way into rich raisin and mildly spicy, cake-like flavors. Made with 80% Organic Malted Barley, Belgian Specialty grains, Forbidden Fruit yeast, domestic hops and Round Rock local wildflower honey, this beer’s strength can be deceiving.",8,22,8,8,2,63,N,2009,https://s3.amazonaws.com/brewerydbapi/beer/s8rdpK/upload_seL9LP-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/s8rdpK/upload_seL9LP-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/s8rdpK/upload_seL9LP-large.png,verified,Verified,,2012-01-13 20:15:42,2015-12-16 15:16:19,8,Tulip,2012-01-03 02:41:33,8,8,EA8F00,2,Limited,Limited availability.,63,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Pale Strong Ale,Belgian Pale Strong,"Belgian pale strong ales are pale to golden in color with relatively light body for a beer of its alcoholic strength. Often brewed with light colored Belgian ""candy"" sugar, these beers are well attenuated. The perception of hop bitterness is medium-low to medium -high, with hop flavor and aroma also in this range. These beers are highly attenuated and have a perceptively deceiving high alcoholic character-being light to medium bodied rather than full bodied. The intensity of malt character should be low to medium, often surviving along with a complex fruitiness. Very little or no diacetyl is perceived. Herbs and spices are sometimes used to delicately flavor these strong ales. Low levels of phenolic spiciness from yeast byproducts may also be perceived. Chill haze is allowable at cold temperatures.",20,50,7,11,4,10,1.064,1.012,1.024,2012-03-21 20:06:46,2015-04-07 15:32:16,cold,Cold - (4-7C/39-45F)
2fXsvw,(512) Pale,(512) Pale,"(512) Pale is a copper colored American Pale Ale that balances earthy hop bitterness and bright hop flavor with a rich malty body. Made with Organic 2-row malt and US grown hops like all (512) ales, this beer is refreshing and not to be missed.",6,30,5,7,1,25,N,,https://s3.amazonaws.com/brewerydbapi/beer/2fXsvw/upload_c0Trtt-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/2fXsvw/upload_c0Trtt-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/2fXsvw/upload_c0Trtt-large.png,verified,Verified,,2012-01-03 02:42:36,2015-12-16 05:31:49,5,Pint,2012-01-03 02:41:33,7,7,F39C00,1,Year Round,Available year round as a staple beer.,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,cold,Cold - (4-7C/39-45F)
NZYBId,(512) Peach Sour,(512) Peach Sour (2014),"We produced Peach Sour using a sour mash technique. We encouraged the naturally occurring wild yeast and bacteria that come in with the organic barley and wheat to spontaneously ferment at warm temperatures over a three day period. Fermentation was completed in stainless and racked to a 1,000 gallon Foeder (large oak barrel) for aging. After being on the wood for two months, we added 200 pounds of fresh peaches and allowed it to age another 12 months before packaging it for you. We hope you enjoy!",6.2,8,8,,2,136,N,2014,https://s3.amazonaws.com/brewerydbapi/beer/NZYBId/upload_fZwIL9-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/NZYBId/upload_fZwIL9-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/NZYBId/upload_fZwIL9-large.png,verified,Verified,,2014-10-28 13:32:24,2015-12-17 19:22:18,8,Tulip,2012-01-03 02:41:33,,,,2,Limited,Limited availability.,136,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Wood- and Barrel-Aged Sour Beer,BBL Aged Sour,"A wood- or barrel-aged sour beer is any lager, ale or hybrid beer, either a traditional style or a unique experimental beer that has been aged for a period of time in a wooden barrel or in contact with wood and has developed a bacterial induced natural acidity. This beer is aged in wood with the intention of introducing the micro flora present in the wood. Sometimes wood aging is intended to impart the particularly unique character of the wood, but wood-aged is not necessarily synonymous with imparting wood-flavors. Wood character can be characterized as a complex blend of vanillin and unique wood character. Wood-derived character can also be characterized by flavors of the product that was in the barrel during prior use. These wood-derived flavors, if present in this style, can be very low in character and barely perceived or evident or assertive as wood-derived flavors. Any degree of woodderived flavors should be in balance with other beer character. Fruit and herb/spiced versions may take on the hue, flavors and aromas of added ingredients.  Usually bacteria and ""wild"" yeasts fermentation contributes complex esters and results in a dry to very dry beer. Ultimately a balance of flavor, aroma and mouthfeel are sought with the marriage of acidity, complex esters, and new beer with wood and/or barrel flavors. Beers in this style may or may not have Brettanomyces character.  Brewers when entering this category should specify type of barrel used and any other special treatment or ingredients used. Competition managers may create style subcategories to differentiate between high alcohol and low alcohol beers and very dark and lighter colored beer as well as for fruit beers and non-fruit beers. Competitions may develop guidelines requesting brewers to specify what kind of wood (new or used oak, other wood varieties). The brewer may be asked to explain the special nature (wood used, base beer style(s) and achieved character) of the beer.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:46:56,cool,Cool - (8-12C/45-54F)
9O3QPg,(512) SIX,(512) SIX,"(512) SIX is a Belgian Style Dubbel with as many organic Belgian ingredients as possible. Castle Pale, Special B and Cara-Munich lend unique Belgian terrior based flavors of dark fruits like plum, raisin and chocolate. Candi sugar cranks the alcohol without increasing the body. This low hopped malty beast from the dungeons of (512) will make a cold day warmer and our 6th Anniversary event one for the books.",7.5,25,8,28,2,58,N,,https://s3.amazonaws.com/brewerydbapi/beer/9O3QPg/upload_GIORHy-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/9O3QPg/upload_GIORHy-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/9O3QPg/upload_GIORHy-large.png,verified,Verified,,2012-01-03 02:42:36,2015-12-16 05:41:29,8,Tulip,2012-01-03 02:41:33,28,28,6A0E00,2,Limited,Limited availability.,58,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Dubbel,Belgian Dubbel,"This medium-bodied, red to dark brown colored ale has a malty sweetness and chocolate-like caramel aroma. A light hop flavor and/or aroma is acceptable. Dubbels are also characterized by low-medium to medium bitterness. No diacetyl is acceptable. Yeastgenerated fruity esters (especially banana) are appropriate at low levels. Head retention is dense and mousse-like. Chill haze is acceptable at low serving temperatures. Often bottle conditioned a slight yeast haze and flavor may be evident.",20,30,6.25,7.5,16,36,1.06,1.012,1.016,2012-03-21 20:06:46,2015-04-07 15:31:45,cool,Cool - (8-12C/45-54F)
