id,name,nameDisplay,description,abv,ibu,glasswareId,availableId,styleId,isOrganic,labels/icon,labels/medium,labels/large,status,statusDisplay,createDate,updateDate,glass/id,glass/name,glass/createDate,available/id,available/name,available/description,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,style/createDate,style/updateDate,srmId,srm/id,srm/name,srm/hex,servingTemperature,servingTemperatureDisplay,originalGravity,foodPairings,beerVariationId,year,beerVariation/id,beerVariation/name,beerVariation/nameDisplay,beerVariation/description,beerVariation/abv,beerVariation/glasswareId,beerVariation/availableId,beerVariation/styleId,beerVariation/isOrganic,beerVariation/year,beerVariation/status,beerVariation/statusDisplay,beerVariation/createDate,beerVariation/updateDate,beerVariation/glass/id,beerVariation/glass/name,beerVariation/glass/createDate,beerVariation/available/id,beerVariation/available/name,beerVariation/available/description,beerVariation/style/id,beerVariation/style/categoryId,beerVariation/style/category/id,beerVariation/style/category/name,beerVariation/style/category/createDate,beerVariation/style/name,beerVariation/style/shortName,beerVariation/style/description,beerVariation/style/ibuMin,beerVariation/style/ibuMax,beerVariation/style/abvMin,beerVariation/style/abvMax,beerVariation/style/srmMin,beerVariation/style/srmMax,beerVariation/style/ogMin,beerVariation/style/fgMin,beerVariation/style/fgMax,beerVariation/style/createDate,beerVariation/style/updateDate
NiPIhq,100 Barrel Series #41 Catamount Maple Wheat,100 Barrel Series #41 Catamount Maple Wheat,"Catamount Maple Wheat is a full-bodied, smooth wheat ale made with genuine Vermont maple syrup. The original version of this beer was brewed in the winter of 2009 by Harpoon Vermont sales representative John Baker.",6.8,21,,2,112,N,https://s3.amazonaws.com/brewerydbapi/beer/NiPIhq/upload_rCaaNB-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/NiPIhq/upload_rCaaNB-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/NiPIhq/upload_rCaaNB-large.png,verified,Verified,2012-03-21 01:52:05,2015-12-16 16:10:46,,,,2,Limited,Limited availability.,112,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Light American Wheat Ale or Lager with Yeast,Wheat Ale,"This beer can be made using either ale or lager yeast. It can be brewed with 30 to 75 percent wheat malt, and hop rates may be low to medium. Hop characters may be light to moderate in bitterness, flavor and aroma. Fruity-estery aroma and flavor are typical but at low levels however, phenolic, clove-like characteristics should not be perceived. Color is usually straw to light amber, and the body should be light to medium in character. Diacetyl should not be perceived. Because this style is served with yeast the character should portray a full yeasty mouthfeel and appear hazy to very cloudy. Chill haze is also acceptable. Yeast flavor and aroma should be low to medium but not overpowering the balance and character of malt and hops. These beers are typically served with the yeast in the bottle, and are cloudy when served.",10,35,3.5,5.5,4,10,1.036,1.006,1.018,2012-03-21 20:06:46,2015-04-07 15:42:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vcVFBM,100 Barrel Series #45 - Directors' Cut,100 Barrel Series #45 - Directors' Cut,"With a malty sweetness, subtile hops, and a hint of smoke, this beer blends tow distinct styles, pale ale and stout to make one phenomenal beer.",6.25,38,,2,44,N,https://s3.amazonaws.com/brewerydbapi/beer/vcVFBM/upload_8DGHpn-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/vcVFBM/upload_8DGHpn-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/vcVFBM/upload_8DGHpn-large.png,verified,Verified,2012-11-16 14:59:15,2015-12-16 20:54:09,,,,2,Limited,Limited availability.,44,3,3,North American Origin Ales,2012-03-21 20:06:45,Specialty Stouts,Stout,"See British Origin American-Style Imperial Porter Imperial porters are very dark brown to black in color. No roast barley or strong burnt/astringent black malt character should be perceived. Medium malt, caramel and cocoa-like sweetness should be in harmony with medium-low to medium hop bitterness. This is a full bodied beer. Ale-like fruity esters should be evident but not overpowering and compliment malt derived sweetness and hop character. Hop flavor and aroma may vary from being low to medium-high. Diacetyl (butterscotch) levels should be absent.",35,50,7,12,40,40,1.08,1.02,1.03,2012-03-21 20:06:46,2015-04-07 15:28:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hwDQYE,100 Barrel Series #46 - Hoppy Belgian Blonde Ale,100 Barrel Series #46 - Hoppy Belgian Blonde Ale,,6.5,53,8,2,61,N,https://s3.amazonaws.com/brewerydbapi/beer/hwDQYE/upload_a74vxj-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/hwDQYE/upload_a74vxj-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/hwDQYE/upload_a74vxj-large.png,verified,Verified,2013-03-03 20:53:00,2015-12-16 23:37:38,8,Tulip,2012-01-03 02:41:33,2,Limited,Limited availability.,61,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Blonde Ale,Belgian Blonde,"Belgian-style blond ales are characterized by low yet evident hop bitterness, flavor, and sometimes aroma. Light to medium body and low malt aroma with a sweet, spiced and a low to medium fruity-ester character orchestrated in flavor and aroma. Sugar may be used to lighten perceived body. They are blonde to golden in color. Noble-type hops are commonly used. Low levels of phenolic spiciness from yeast byproducts may be perceived. Diacetyl should not be perceived. Acidic character should not be present. Chill haze is allowable at cold temperatures.",15,30,6,7.8,4,7,1.054,1.008,1.014,2012-03-21 20:06:46,2015-04-07 15:32:01,,,,,,,1.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glgkX4,100 Barrel Series #50 - Citra Victorious,100 Barrel Series #50 - Citra Victorious,,5.8,45,,2,25,N,https://s3.amazonaws.com/brewerydbapi/beer/glgkX4/upload_iSuaDG-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/glgkX4/upload_iSuaDG-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/glgkX4/upload_iSuaDG-large.png,verified,Verified,2014-03-21 12:22:20,2015-12-17 11:35:55,,,,2,Limited,Limited availability.,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,,,,,,1.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pZSYFY,100 Barrel Series #54 Nordic Saison,100 Barrel Series #54 Nordic Saison,"When Anders Kissmeyer of Kissmeyer Beer & Brewing asked us to join his Saison experiment – brewing the same recipe at select craft breweries – Harpoon’s Jaime Schier jumped at the chance. Together with longtime friend Will Meyers of Cambridge Brewing Company, the three fashioned the Harpoon 100 Barrel Series #54 – Nordic Saison.   

This light-bodied golden Saison has a distinctly floral, herbal character, a refreshing tartness, and a sublimely dry finish.",6.1,30,8,,72,N,https://s3.amazonaws.com/brewerydbapi/beer/pZSYFY/upload_bcTeLI-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/pZSYFY/upload_bcTeLI-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/pZSYFY/upload_bcTeLI-large.png,verified,Verified,2015-08-20 15:46:18,2015-12-18 04:24:57,8,Tulip,2012-01-03 02:41:33,,,,72,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,French & Belgian-Style Saison,Saison,"Beers in this category are golden to deep amber in color. There may be quite a variety of characters within this style. Generally: They are light to medium in body. Malt aroma is low to medium-low. Esters are medium to high in  aroma, while, complex alcohols, herbs, spices, low Brettanomyces character and even clove and smoke-like phenolics may or may not be evident in the overall balanced beer. Hop aroma and flavor may be at low to medium levels. Malt flavor is low but provides foundation for the overall balance. Hop bitterness is moderate to moderately assertive. Herb and/or spice flavors, including black pepper-like notes, may or may not be evident. Fruitiness from fermentation is generally in character. A balanced small amount of sour or acidic flavors is acceptable when in balance with other components. Earthy, cellar-like, musty aromas are okay. Diacetyl should not be perceived. Chill or slight yeast haze is okay. Often bottle conditioned with some yeast character and high carbonation. French & Belgian-Style Saison may have Brettanomyces characters that are slightly acidity, fruity, horsey, goaty and/or leather-like.",20,40,4.5,8.5,4,14,1.055,1.004,1.016,2012-03-21 20:06:46,2015-04-07 15:34:55,4,4,4,FFBF42,cool,Cool - (8-12C/45-54F),1.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCLW18,100% Organic Ale,100% Organic Ale,,,,,,,Y,https://s3.amazonaws.com/brewerydbapi/beer/eCLW18/upload_sqpaWo-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/eCLW18/upload_sqpaWo-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/eCLW18/upload_sqpaWo-large.png,verified,Verified,2013-01-05 19:05:33,2013-01-06 10:00:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKyIaa,1000 IBU,1000 IBU,,12.2,1000,8,2,31,N,https://s3.amazonaws.com/brewerydbapi/beer/LKyIaa/upload_UF44Eu-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/LKyIaa/upload_UF44Eu-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/LKyIaa/upload_UF44Eu-large.png,verified,Verified,2013-02-08 12:04:20,2015-12-16 22:42:49,8,Tulip,2012-01-03 02:41:33,2,Limited,Limited availability.,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6hzBLo,100th Meridian,100th Meridian,"An American-style 100% organic craft lager, brewed entirely from ingredients west of the 100th Meridian. Our brewmaster, Joel Manning, met the farmers that grow our organic barley in the Great Plains of Canada. A fine folk that have taken a step back, returning to their roots and doing things the right way.",5,,,,93,N,https://s3.amazonaws.com/brewerydbapi/beer/6hzBLo/upload_TEsH9o-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/6hzBLo/upload_TEsH9o-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/6hzBLo/upload_TEsH9o-large.png,verified,Verified,2014-10-15 14:58:15,2015-12-17 19:02:02,,,,,,,93,8,8,North American Lager,2012-03-21 20:06:46,American-Style Lager,American Lager,"Light in body and very light to straw in color, American lagers are very clean and crisp and aggressively carbonated. Flavor components should b e subtle and complex, with no one ingredient dominating the others. Malt sweetness is light to mild. Corn, rice, or other grain or sugar adjuncts are often used. Hop bitterness, flavor and aroma are negligible to very light. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,13,3.8,5,2,4,1.04,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:39:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mu8uqf,1020 Pale Ale,1020 Pale Ale,"1020 Pale Ale has a magnificent citrus aroma with underlying tones of pine and grapefruit zest that inhabit the flavor, while a smooth, light body and crisp, clean bitterness from Magnum, Cascade and Chinook hops leave your palate both refreshed and liberated.",5.3,40,5,1,25,N,https://s3.amazonaws.com/brewerydbapi/beer/mu8uqf/upload_JB5IDR-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/mu8uqf/upload_JB5IDR-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/mu8uqf/upload_JB5IDR-large.png,verified,Verified,2015-09-14 18:30:06,2015-12-18 04:26:15,5,Pint,2012-01-03 02:41:33,1,Year Round,Available year round as a staple beer.,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,12,12,12,CF6900,,,,"Wide range of food: meat pie, English cheese; great with a burger!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JLdrrZ,10th Noel,10th Noel (2012),"A rich, ruby coloured ale. Roasted malts and American hops combine to release rich berry fruit flavours.",5.7,,6,8,14,N,https://s3.amazonaws.com/brewerydbapi/beer/JLdrrZ/upload_h00Aza-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/JLdrrZ/upload_h00Aza-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/JLdrrZ/upload_h00Aza-large.png,verified,Verified,2012-12-21 17:36:20,2015-12-16 21:49:41,6,Snifter,2012-01-03 02:41:33,8,Winter,Available during the winter months.,14,1,1,British Origin Ales,2012-03-21 20:06:45,Strong Ale,Strong Ale,"Light amber to mid-range brown in color, strong ales are medium to full bodied with a malty sweetness and may have low levels of roast malt character. Hop aroma should be minimal and flavor can vary from none to medium in character intensity. Fruity-ester flavors and aromas can contribute to the character of this ale. Bitterness should be minimal but evident and balanced with malt and/or caramel-like sweetness. Alcohol types can be varied and complex. A rich, often sweet and complex estery character may be evident. Very low levels of diacetyl are acceptable. Chill haze is acceptable at low temperatures. (This style may often be split into two categories, strong and very strong.)",30,65,7,11,8,21,1.06,1.014,1.04,2012-03-21 20:06:45,2015-04-07 15:21:05,,,,,,,,,AIoIJs,2012,AIoIJs,1st Noel,1st Noel (2003),"Rich ruby coloured ale, roasted malts and American hops combine to release rich berry fruit flavours.",4.8,6,8,14,N,2003,verified,Verified,2012-12-21 17:48:25,2012-12-21 18:09:35,6,Snifter,2012-01-03 02:41:33,8,Winter,Available during the winter months.,14,1,1,British Origin Ales,2012-03-21 20:06:45,Strong Ale,Strong Ale,"Light amber to mid-range brown in color, strong ales are medium to full bodied with a malty sweetness and may have low levels of roast malt character. Hop aroma should be minimal and flavor can vary from none to medium in character intensity. Fruity-ester flavors and aromas can contribute to the character of this ale. Bitterness should be minimal but evident and balanced with malt and/or caramel-like sweetness. Alcohol types can be varied and complex. A rich, often sweet and complex estery character may be evident. Very low levels of diacetyl are acceptable. Chill haze is acceptable at low temperatures. (This style may often be split into two categories, strong and very strong.)",30,65,7,11,8,21,1.06,1.014,1.04,2012-03-21 20:06:45,2015-04-07 15:21:05
jsf8kz,10°,10°,Quad brewed a year before being released in bottles. Giving this robust beer time to age properly was essential in bringing the dark specialty malts forward and allowing the alcohol to mellow.,9.8,,,,60,N,https://s3.amazonaws.com/brewerydbapi/beer/jsf8kz/upload_BHlulj-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/jsf8kz/upload_BHlulj-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/jsf8kz/upload_BHlulj-large.png,verified,Verified,2015-01-10 00:37:28,2015-12-17 19:34:50,,,,,,,60,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Quadrupel,Belgian Quad,"Quadrupels or ""Quads"" are characterized by the immense presence of alcohol and balanced flavor, bitterness and aromas. Its color is deep amber to rich chestnut/garnet brown. Often characterized by a mousse-like dense, sometimes amber head will top off a properly poured and served quad. Complex fruity aroma and flavor emerge reminiscent of raisins, dates, figs, grapes, plums often accompanied with a hint of winy character. Caramel, dark sugar and malty sweet flavors and aromas can be intense, not cloying, while complementing fruitiness. Though well attenuated it usually has a full, creamy body. Hop characters do not dominate; low to low-medium bitterness is perceived. Perception of alcohol can be extreme. Clove-like phenolic flavor and aroma should not be evident. Chill haze is acceptable at low serving temperatures. Diacetyl and DMS should not be perceived. Well balanced with savoring/sipping drinkability. Oxidative character if evident in aged Quads should be mild and pleasant.",25,50,9,14,8,20,1.084,1.014,1.02,2012-03-21 20:06:46,2015-04-07 15:33:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uBUilT,10° Below,10° Below,,7.4,22,,4,52,N,https://s3.amazonaws.com/brewerydbapi/beer/uBUilT/upload_lI8InY-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/uBUilT/upload_lI8InY-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/uBUilT/upload_lI8InY-large.png,verified,Verified,2015-03-18 17:54:16,2015-12-17 23:56:39,,,,4,Seasonal,"Available at the same time of year, every year.",52,4,4,German Origin Ales,2012-03-21 20:06:46,South German-Style Dunkel Weizen / Dunkel Weissbier,Dunkelweizen,"This beer style is characterized by a distinct sweet maltiness and a chocolate-like character from roasted malt. Estery and phenolic elements of this Weissbier should be evident but subdued. Color can range from copper-brown to dark brown. Dunkel Weissbier is well attenuated and very highly carbonated, and hop bitterness is low. Hop flavor and aroma are absent. Usually dark barley malts are used in conjunction with dark cara or color malts, and the percentage of wheat malt is at least 50 percent. If this is served with yeast, the beer may be appropriately very cloudy. No diacetyl should be perceived.",10,15,4.8,5.4,10,19,1.048,1.008,1.016,2012-03-21 20:06:46,2015-04-07 15:30:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DyNPlC,11/11 India Pale Ale,11/11 India Pale Ale,,,,,,30,N,https://s3.amazonaws.com/brewerydbapi/beer/DyNPlC/upload_71zbue-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/DyNPlC/upload_71zbue-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/DyNPlC/upload_71zbue-large.png,verified,Verified,2014-05-06 13:08:12,2015-12-17 11:48:16,,,,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ySo6qj,110K+OT Batch #1,110K+OT Batch #1,Der Rauch Gott (Imperial Smoked Ale),11.4,,,2,129,N,https://s3.amazonaws.com/brewerydbapi/beer/ySo6qj/upload_L6NBT9-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/ySo6qj/upload_L6NBT9-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/ySo6qj/upload_L6NBT9-large.png,verified,Verified,2012-01-03 02:42:36,2015-12-16 08:15:01,,,,2,Limited,Limited availability.,129,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Smoke Beer (Lager or Ale),Smoke Beer,Any style of beer can be smoked; the goal is to reach a balance between the style's character and the smoky properties. Type of wood or other sources of smoke should be specified as well as the style the beer is based upon.,,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:45:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1QEd4I,110K+OT Batch #2,110K+OT Batch #2,I.R.I.S (India Russian Imperial Stout),11.4,,,2,43,N,https://s3.amazonaws.com/brewerydbapi/beer/1QEd4I/upload_JCw6qU-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/1QEd4I/upload_JCw6qU-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/1QEd4I/upload_JCw6qU-large.png,verified,Verified,2013-02-12 11:44:06,2015-12-17 01:01:56,,,,2,Limited,Limited availability.,43,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Imperial Stout,American Imperial Stout,"Black in color, American-style imperial stouts typically have a high alcohol content. Generally characterized as very robust. The extremely rich malty flavor and aroma are balanced with assertive hopping and fruity-ester characteristics. Bitterness should be moderately high to very high and balanced with full sweet malt character. Roasted malt astringency and bitterness can be moderately perceived but should not overwhelm the overall character. Hop aroma is usually moderately-high to overwhelmingly hop-floral, -citrus or -herbal. Diacetyl (butterscotch) levels should be absent.",50,80,7,12,40,40,1.08,1.02,1.03,2012-03-21 20:06:46,2015-04-07 15:28:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
djxRDj,110K+OT Batch #3,110K+OT Batch #3,,10,110,,2,31,N,https://s3.amazonaws.com/brewerydbapi/beer/djxRDj/upload_NKTg88-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/djxRDj/upload_NKTg88-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/djxRDj/upload_NKTg88-large.png,verified,Verified,2013-02-12 11:44:26,2015-12-16 22:49:22,,,,2,Limited,Limited availability.,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3gFNA,110K+OT Batch #4,110K+OT Batch #4,,10.1,,,2,32,N,https://s3.amazonaws.com/brewerydbapi/beer/G3gFNA/upload_1kSx6r-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/G3gFNA/upload_1kSx6r-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/G3gFNA/upload_1kSx6r-large.png,verified,Verified,2013-02-12 11:45:03,2015-12-16 22:50:39,,,,2,Limited,Limited availability.,32,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,"American amber/red ales range from light copper to light brown in color. They are characterized by American-variety hops used to produce the perception of medium hop bitterness, flavor, and medium aroma. Amber ales have medium-high to high maltiness with medium to low caramel character. They should have medium to medium-high body. The style may have low levels of fruityester flavor and aroma. Diacetyl can be either absent or barely perceived at very low levels. Chill haze is allowable at cold temperatures. Slight yeast haze is acceptable for bottle-conditioned products.",30,40,4.5,6,11,18,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mtFCP5,11th Hour IPA,11th Hour IPA,"Hop aroma and flavor dominate this IPA. However, the malt character of this deep amber colored ale nicely balances the hop component thus avoiding a harsh bitterness. Pure hoppiness!",,,5,1,30,N,https://s3.amazonaws.com/brewerydbapi/beer/mtFCP5/upload_Z9H8Xl-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/mtFCP5/upload_Z9H8Xl-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/mtFCP5/upload_Z9H8Xl-large.png,verified,Verified,2012-01-03 02:42:36,2015-12-16 14:29:52,5,Pint,2012-01-03 02:41:33,1,Year Round,Available year round as a staple beer.,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q6sk76,12 Apostles,12 Apostles,Kolsch style light German Ale,6.1,23,,,45,N,https://s3.amazonaws.com/brewerydbapi/beer/q6sk76/upload_o8fJy3-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/q6sk76/upload_o8fJy3-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/q6sk76/upload_o8fJy3-large.png,verified,Verified,2014-09-10 20:27:55,2015-12-17 17:04:13,,,,,,,45,4,4,German Origin Ales,2012-03-21 20:06:46,German-Style Kölsch / Köln-Style Kölsch,Kölsch,"Kölsch is warm fermented and aged at cold temperatures (German ale or alt-style beer). Kölsch is characterized by a golden to straw color and a slightly dry, subtly sweet softness on the palate, yet crisp. Good, dense head retention is desirable. Light pearapple-Riesling wine-like fruitiness may be apparent, but is not necessary for this style. Caramel character should not be evident. The body is light to medium-light. This beer has low hop flavor and aroma with medium bitterness. Wheat can be used in brewing this beer. Ale yeast is used for fermentation, though lager yeast is sometimes used in the bottle or final cold conditioning process. Fruity esters should be minimally perceived, if at all. Chill haze should be absent.",18,25,4.8,5.3,4,6,1.042,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:29:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
